# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "/work/02260/grovesd/lonestar/human_genome/Homo_sapiens.GRCh38.99.gff3" "-p" "-t" "gene" "-g" "ID" "-o" "feature_counts_out.tsv" "-T" "48" "--primary" "human60705_heartReclassedAsLiver_rna_dupsRemoved.bam" "human60705_kidney_rna_dupsRemoved.bam" "human60705_liver_rna_dupsRemoved.bam" "human60705_lung_rna_dupsRemoved.bam" "human61317_heart_rna_dupsRemoved.bam" "human61317_kidney_rna_dupsRemoved.bam" "human61317_liver_rna_dupsRemoved.bam" "human61317_lung_rna_dupsRemoved.bam" "human62789_heart_rna_dupsRemoved.bam" "human62789_kidney_rna_dupsRemoved.bam" "human62789_liver_rna_dupsRemoved.bam" "human62789_lung_rna_dupsRemoved.bam" "human62905_heart_rna_dupsRemoved.bam" "human62905_kidney_rna_dupsRemoved.bam" "human62905_liver_rna_dupsRemoved.bam" "human62905_lung_rna_dupsRemoved.bam" 
Geneid	Chr	Start	End	Strand	Length	human60705_heartReclassedAsLiver_rna_dupsRemoved.bam	human60705_kidney_rna_dupsRemoved.bam	human60705_liver_rna_dupsRemoved.bam	human60705_lung_rna_dupsRemoved.bam	human61317_heart_rna_dupsRemoved.bam	human61317_kidney_rna_dupsRemoved.bam	human61317_liver_rna_dupsRemoved.bam	human61317_lung_rna_dupsRemoved.bam	human62789_heart_rna_dupsRemoved.bam	human62789_kidney_rna_dupsRemoved.bam	human62789_liver_rna_dupsRemoved.bam	human62789_lung_rna_dupsRemoved.bam	human62905_heart_rna_dupsRemoved.bam	human62905_kidney_rna_dupsRemoved.bam	human62905_liver_rna_dupsRemoved.bam	human62905_lung_rna_dupsRemoved.bam
gene:ENSG00000255855	11	95049422	95051338	+	1917	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
gene:ENSG00000263465	11	95067197	95071224	+	4028	815	805	621	600	528	599	543	933	129	929	546	719	437	930	492	1212
gene:ENSG00000149218	11	95089846	95132645	+	42800	300	986	242	789	402	530	322	882	130	949	116	921	433	1174	232	1686
gene:ENSG00000149212	11	95165513	95232541	-	67029	255	634	175	591	276	705	278	2251	60	1150	626	1655	256	992	301	1980
gene:ENSG00000077458	11	95768953	95790409	-	21457	934	506	625	482	219	185	465	644	39	397	379	850	357	659	770	1189
gene:ENSG00000166037	11	95789965	95832693	+	42729	1508	847	1020	721	377	402	961	865	91	978	524	1393	726	1290	1644	1674
gene:ENSG00000087053	11	95832882	95925315	-	92434	241	812	170	574	417	530	331	1024	87	808	115	1031	526	1081	318	1475
gene:ENSG00000184384	11	95976598	96343195	-	366598	181	1229	160	1009	420	638	274	1714	140	1388	160	3081	515	1104	447	2030
gene:ENSG00000149231	11	96352769	96389956	-	37188	732	761	432	724	454	406	449	797	68	730	394	1145	738	1051	545	2151
gene:ENSG00000183340	11	96389989	96507574	+	117586	94	322	82	206	249	268	314	504	29	296	127	293	233	434	199	678
gene:ENSG00000149972	11	99020949	100358885	+	1337937	97	126	94	113	64	78	148	111	53	188	79	197	109	162	417	272
gene:ENSG00000165895	11	100687288	100993941	+	306654	782	511	515	568	271	120	406	597	84	384	304	1553	385	587	679	1422
gene:ENSG00000082175	11	101029624	101129813	-	100190	52	120	19	190	321	46	94	275	54	193	30	649	439	293	75	673
gene:ENSG00000137672	11	101451564	101872562	-	420999	113	205	61	1008	65	105	87	933	70	479	84	2416	151	450	173	2771
gene:ENSG00000187151	11	101890674	101916522	-	25849	5	3	3	18	33	2	5	38	3	6	6	38	54	8	22	116
gene:ENSG00000110318	11	101915010	102001062	+	86053	26	245	30	447	132	201	65	418	33	298	44	927	164	291	88	989
gene:ENSG00000137691	11	102047437	102084554	+	37118	8	125	9	128	23	64	22	74	7	89	8	182	25	80	23	194
gene:ENSG00000137693	11	102110447	102233424	+	122978	1422	1807	1108	1897	1431	1612	1221	3352	253	2207	1069	3618	1394	2837	1139	4388
gene:ENSG00000023445	11	102317450	102339403	+	21954	270	866	217	889	230	513	828	2507	32	252	151	3381	447	1484	2806	2060
gene:ENSG00000110330	11	102347211	102378670	+	31460	1040	931	719	868	852	755	1185	1345	112	1110	825	1644	1013	1606	1209	2169
gene:ENSG00000152558	11	102396332	102470384	-	74053	3396	2071	2743	2076	1376	1680	3583	2679	224	2185	2560	3435	1525	2656	2522	3696
gene:ENSG00000137673	11	102520508	102530750	-	10243	28	1659	36	97	2	449	73	38	0	226	110	83	2	1074	59	314
gene:ENSG00000137674	11	102576832	102625332	-	48501	5	6	1	8	3	2	9	6	2	18	4	8	3	11	21	10
gene:ENSG00000137675	11	102691487	102705769	-	14283	2	2	4	5	0	2	8	3	0	1	0	2	0	1	7	2
gene:ENSG00000118113	11	102711796	102727050	-	15255	27	9	23	246	1	4	26	26	0	0	3	24	46	7	385	235
gene:ENSG00000166670	11	102770502	102780628	-	10127	0	1	1	3	0	17	6	10	0	0	0	27	1	0	2	11
gene:ENSG00000196611	11	102789919	102798160	-	8242	8	10	7	18	2	24	14	77	2	31	2	36	6	28	16	43
gene:ENSG00000149968	11	102835801	102843609	-	7809	0	15	1	1	0	1	2	10	2	7	0	3	1	4	3	123
gene:ENSG00000262406	11	102862736	102874982	-	12247	0	9	1	10	1	34	3	5	0	29	1	10	3	110	3	21
gene:ENSG00000137745	11	102942995	102955732	-	12738	0	0	1	5	0	1	2	4	1	2	2	13	1	10	1	8
gene:ENSG00000137692	11	103050686	103092194	-	41509	436	567	318	403	437	213	277	493	59	682	165	518	371	904	272	917
gene:ENSG00000187240	11	103109410	103479863	+	370454	229	621	143	461	362	533	228	473	189	925	254	990	311	1203	406	1134
gene:ENSG00000170962	11	103907189	104164379	-	257191	140	339	121	361	556	142	288	272	128	443	225	190	835	435	341	365
gene:ENSG00000170967	11	104036640	104039196	+	2557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSG00000204403	11	104885718	104898670	-	12953	4	29	6	146	49	8	27	319	5	67	7	281	27	13	16	353
gene:ENSG00000196954	11	104942866	104969366	-	26501	812	803	571	1016	1041	758	1648	1521	141	647	436	1704	757	1091	1736	2745
gene:ENSG00000137757	11	104994235	105023168	-	28934	24	15	14	42	30	27	60	51	8	11	8	77	22	21	38	146
gene:ENSG00000137752	11	105025443	105035250	-	9808	208	360	104	659	287	194	364	1187	79	193	237	1443	235	288	479	1746
gene:ENSG00000204397	11	105041326	105101431	-	60106	48	108	57	256	109	66	151	379	42	86	48	488	101	100	208	551
gene:ENSG00000255221	11	105092469	105101431	-	8963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSG00000255501	11	105137714	105531697	-	393984	40	37	25	31	18	15	46	44	10	26	38	39	29	36	114	51
gene:ENSG00000152578	11	105609994	105982092	+	372099	33	526	18	43	17	26	39	41	9	47	15	57	44	195	95	77
gene:ENSG00000170903	11	105995623	106022403	-	26781	220	459	137	318	533	279	250	587	53	450	215	290	400	547	133	854
gene:ENSG00000182359	11	106051098	106077459	-	26362	140	187	85	127	95	162	110	209	19	260	73	152	144	229	92	277
gene:ENSG00000149313	11	106075501	106098699	+	23199	977	780	667	405	606	417	622	611	46	908	480	604	807	1229	453	1269
gene:ENSG00000152402	11	106674012	107018524	-	344513	499	566	450	947	410	170	345	704	160	559	226	2876	890	541	448	3341
gene:ENSG00000152404	11	107326345	107457844	-	131500	339	339	232	354	266	236	356	631	54	565	159	796	295	497	359	996
gene:ENSG00000137760	11	107502726	107565746	-	63021	369	235	190	201	116	124	146	215	29	306	155	172	131	254	141	431
gene:ENSG00000110675	11	107591091	107666779	+	75689	30	45	34	43	26	52	55	46	14	83	25	55	45	167	56	125
gene:ENSG00000170290	11	107707378	107719693	-	12316	2	3	2	49	64	16	3	117	26	2	1	6	77	2	5	54
gene:ENSG00000110660	11	107790991	107928293	-	137303	238	900	206	307	344	382	268	627	105	579	190	387	237	770	416	811
gene:ENSG00000179331	11	107928448	107963482	+	35035	22	14	21	29	10	10	25	27	11	32	9	28	14	20	67	56
gene:ENSG00000166266	11	108008898	108107761	+	98864	1099	915	740	690	585	591	517	837	87	1421	573	1101	710	1582	649	1760
gene:ENSG00000075239	11	108116695	108147603	+	30909	2844	1625	2373	833	1142	1261	1865	1048	419	2257	2074	1038	1987	2352	1991	1461
gene:ENSG00000149308	11	108157215	108222638	-	65424	367	293	243	291	213	197	267	445	48	380	144	782	342	447	309	936
gene:ENSG00000149311	11	108222484	108369102	+	146619	140	103	87	143	81	228	209	171	19	223	81	469	175	414	217	621
gene:ENSG00000166323	11	108308519	108467531	-	159013	96	51	65	55	21	54	46	51	13	67	34	74	38	102	81	73
gene:ENSG00000178202	11	108472112	108498384	-	26273	591	607	414	804	436	406	460	941	93	1035	286	978	573	1190	322	1921
gene:ENSG00000110723	11	108505435	108593768	-	88334	490	180	324	172	34	278	134	693	12	415	361	864	64	420	222	471
gene:ENSG00000178105	11	108665069	108940927	+	275859	393	489	286	326	272	203	282	435	52	645	162	488	258	504	308	725
gene:ENSG00000185742	11	109422190	109429167	+	6978	1	0	2	2	1	2	0	0	3	4	0	3	0	6	3	3
gene:ENSG00000137710	11	109864295	110296712	-	432418	2033	1102	1512	1310	1068	819	1427	2177	204	1927	1368	3546	1354	2044	1571	3095
gene:ENSG00000149289	11	110093392	110171841	+	78450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSG00000137714	11	110429948	110464884	+	34937	1015	512	738	401	483	476	798	665	67	1023	713	808	621	919	590	588
gene:ENSG00000137727	11	110577042	110713189	-	136148	153	33	73	279	27	34	88	366	8	83	94	691	40	46	103	709
gene:ENSG00000150750	11	111245726	111286401	+	40676	10	2	8	6	2	5	16	5	0	10	7	16	5	10	33	11
gene:ENSG00000214290	11	111298555	111308735	+	10181	80	259	37	79	63	317	59	193	8	596	74	252	56	454	25	157
gene:ENSG00000110777	11	111352255	111455630	-	103376	67	160	51	462	44	85	182	373	2	40	19	525	30	235	125	299
gene:ENSG00000137707	11	111467526	111512354	-	44829	4	2	3	19	0	4	6	3	3	7	0	54	0	4	11	11
gene:ENSG00000183644	11	111514785	111537031	+	22247	2	5	0	158	1	0	2	74	0	4	2	262	2	8	1	180
gene:ENSG00000204381	11	111540280	111561745	+	21466	22	193	20	187	127	31	41	568	45	137	25	702	139	123	47	719
gene:ENSG00000170145	11	111602449	111730855	+	128407	2137	1180	1495	1169	895	675	1813	2313	192	963	578	3834	1351	2055	1985	3349
gene:ENSG00000137713	11	111726908	111766389	-	39482	2429	694	1552	403	407	700	2817	820	67	751	1081	949	801	1334	3476	1419
gene:ENSG00000086848	11	111782195	111871581	-	89387	202	185	138	142	103	68	71	122	20	186	118	158	98	165	93	217
gene:ENSG00000258529	11	111786286	111879425	-	93140	0	1	2	1	1	2	0	0	0	1	2	1	1	0	1	2
gene:ENSG00000255561	11	111874056	111881243	-	7188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSG00000137720	11	111878935	111885975	+	7041	258	241	173	117	119	190	140	125	37	360	158	137	186	328	112	152
gene:ENSG00000109846	11	111908564	111923722	-	15159	313	2310	147	1305	3004	1758	931	2920	1466	1407	147	808	2695	2380	522	2442
gene:ENSG00000170276	11	111912734	111914093	+	1360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSG00000254445	11	111912736	111926871	+	14136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSG00000149300	11	111918032	111926871	+	8840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSG00000150764	11	111927144	112022653	+	95510	699	775	504	465	457	524	358	887	69	604	460	1089	513	754	466	1342
gene:ENSG00000150768	11	112024814	112064390	+	39577	798	838	671	477	735	643	514	745	124	1226	909	723	1505	1477	440	1290
gene:ENSG00000150773	11	112064010	112074274	-	10265	20	137	16	65	34	89	17	50	15	175	7	150	59	169	33	163
gene:ENSG00000150776	11	112074086	112085150	+	11065	442	604	308	440	467	456	481	496	75	723	246	470	510	729	280	880
gene:ENSG00000150779	11	112084800	112086798	-	1999	379	291	297	170	392	193	242	218	123	317	220	154	470	312	234	276
gene:ENSG00000204370	11	112086824	112120016	+	33193	1	0	0	0	0	0	0	2	0	1	0	0	0	2	0	2
gene:ENSG00000255292	11	112086903	112193805	+	106903	16	27	20	32	22	28	35	43	11	37	22	26	16	42	47	68
gene:ENSG00000150782	11	112143253	112164096	-	20844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSG00000150783	11	112167372	112172556	+	5185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSG00000197580	11	112175510	112224699	+	49190	2287	279	1492	175	1219	231	564	401	195	302	794	378	2168	596	1105	483
gene:ENSG00000150787	11	112226367	112269955	+	43589	1293	755	930	440	276	373	769	585	80	664	475	560	406	669	836	728
gene:ENSG00000188771	11	112248153	112260860	-	12708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSG00000149294	11	112961247	113278436	+	317190	225	131	144	164	2670	87	281	171	565	180	209	439	3022	132	402	753
gene:ENSG00000149292	11	113314529	113383544	+	69016	481	738	351	591	128	303	128	391	80	943	211	774	348	966	201	933
gene:ENSG00000170209	11	113387779	113400416	+	12638	16	43	10	53	6	19	16	63	2	44	5	58	21	58	14	102
gene:ENSG00000149295	11	113409605	113475691	-	66087	10	12	3	22	4	17	5	9	4	215	1	9	15	369	19	21
gene:ENSG00000166682	11	113687547	113706373	-	18827	61	62	40	62	45	33	20	48	9	50	38	84	56	64	28	131
gene:ENSG00000086827	11	113733187	113773735	-	40549	431	308	352	300	210	205	260	371	36	406	195	346	194	432	211	628
gene:ENSG00000228607	11	113779747	113780500	+	754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSG00000048028	11	113797874	113875570	-	77697	467	430	299	362	936	371	417	665	234	667	421	791	2014	873	412	1335
gene:ENSG00000149305	11	113904677	113949078	+	44402	28	22	13	14	6	25	16	22	6	32	12	23	13	41	30	25
gene:ENSG00000166736	11	113974881	113990313	+	15433	9	7	5	3	5	4	3	10	1	3	5	7	4	10	4	9
gene:ENSG00000109906	11	114059711	114256765	+	197055	4463	2597	3540	3762	3680	907	3473	10527	206	323	514	1908	3737	2203	2661	10359
gene:ENSG00000166741	11	114257787	114313285	+	55499	6631	1643	4783	1273	1476	546	4157	1305	58	64	480	1019	1494	821	4618	2385
gene:ENSG00000180425	11	114391443	114400511	-	9069	336	217	220	163	127	257	291	155	35	407	204	215	177	306	321	254
gene:ENSG00000076053	11	114400030	114414203	+	14174	1	1	2	1	2	1	0	3	0	0	1	2	0	1	1	3
gene:ENSG00000255663	11	114400682	114443932	+	43251	26	30	19	9	29	13	42	26	4	39	37	62	16	43	31	71
gene:ENSG00000076043	11	114439386	114450279	+	10894	407	624	314	511	611	514	365	585	149	779	196	741	782	906	200	1013
gene:ENSG00000095110	11	114521645	114559895	-	38251	17	13	11	19	11	9	14	17	7	19	10	24	14	25	31	29
gene:ENSG00000137634	11	114570591	114595786	-	25196	36	39	28	32	14	47	24	46	4	35	8	35	16	45	10	77
gene:ENSG00000204361	11	114678527	114707069	+	28543	0	3	2	0	4	4	6	4	0	5	2	7	5	11	8	8
gene:ENSG00000182985	11	115169218	115504957	-	335740	999	572	739	1049	376	1009	526	2109	96	1416	887	3329	747	1114	829	2764
gene:ENSG00000279771	11	115659168	115661417	+	2250	1	4	0	0	1	0	2	0	0	2	0	0	5	0	0	0
gene:ENSG00000279818	11	115731942	115734742	-	2801	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1
gene:ENSG00000278945	11	116609995	116610094	-	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSG00000137656	11	116748170	116772987	-	24818	329	425	268	426	210	166	250	527	70	359	196	445	283	442	170	975
gene:ENSG00000109917	11	116773799	116788039	-	14241	443	488	349	447	470	261	433	620	57	464	429	524	314	498	248	800
gene:ENSG00000110243	11	116789367	116792420	-	3054	1965	10	1646	47	43	5	1025	5	2	2	2227	7	84	5	1456	8
gene:ENSG00000110244	11	116820700	116823304	-	2605	230	0	159	6	4	0	276	1	0	0	54	0	6	0	147	0
gene:ENSG00000110245	11	116829706	116833072	+	3367	1579	156	1420	407	494	85	1295	74	38	235	2253	45	521	119	1243	59
gene:ENSG00000118137	11	116835751	116837950	-	2200	1916	231	1857	654	515	65	1587	90	90	63	2064	41	963	57	1716	181
gene:ENSG00000160584	11	116843402	117098437	-	255036	2348	1437	1759	1409	1672	1227	1605	1941	319	1800	1377	3150	1576	2295	2340	3797
gene:ENSG00000168092	11	117144284	117176894	+	32611	863	1101	618	943	989	747	680	1428	200	1127	648	1357	1014	1384	630	2159
gene:ENSG00000149577	11	117178736	117197445	+	18710	1130	1038	965	1522	530	796	940	2077	204	961	852	2184	1193	1500	707	2937
gene:ENSG00000149591	11	117199370	117207464	+	8095	1000	2067	1043	1938	833	736	923	1653	304	1088	406	2259	1002	1490	770	1862
gene:ENSG00000160613	11	117204337	117232525	-	28189	573	617	438	600	288	229	257	817	91	498	216	1193	672	894	421	2156
gene:ENSG00000280143	11	117204967	117210292	+	5326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSG00000167257	11	117232625	117286454	+	53830	419	499	304	360	231	267	345	496	64	424	220	526	273	474	249	697
gene:ENSG00000186318	11	117285207	117316259	-	31053	1326	1006	1142	1029	545	646	776	981	170	1386	923	1346	734	1604	509	1957
gene:ENSG00000110274	11	117314557	117413266	+	98710	880	1184	630	882	385	683	502	1137	143	1160	593	1366	635	1372	529	2140
gene:ENSG00000177103	11	117427772	117817525	-	389754	81	577	86	145	105	509	257	286	74	710	103	625	261	825	292	315
gene:ENSG00000279586	11	117611101	117612017	-	917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSG00000137731	11	117800844	117828698	-	27855	2	110	5	0	3	203	20	4	2	121	1	8	6	119	7	20
gene:ENSG00000255245	11	117820163	117876667	-	56505	15	215	8	33	45	714	49	69	30	727	3	121	111	974	32	164
gene:ENSG00000137726	11	117836976	117877486	-	40511	1	1	1	1	0	1	0	1	0	1	0	3	2	1	0	2
gene:ENSG00000137747	11	117900641	117929459	-	28819	6	28	9	74	2	61	29	149	2	42	18	342	6	19	15	83
gene:ENSG00000110324	11	117986348	118003037	+	16690	499	476	453	1565	118	56	293	997	33	109	228	1599	294	460	803	3643
gene:ENSG00000255274	11	118003634	118088299	-	84666	40	35	24	23	13	19	40	33	7	111	25	41	24	88	44	53
gene:ENSG00000137648	11	118077012	118121890	+	44879	11	1817	13	53	6	553	7	19	2	801	5	120	9	1021	22	78
gene:ENSG00000177098	11	118133377	118152888	-	19512	15	115	36	118	272	32	29	159	603	158	47	1728	960	81	53	1212
gene:ENSG00000149575	11	118157849	118176639	-	18791	3	10	0	26	153	29	3	46	42	51	1	210	429	75	8	228
gene:ENSG00000160593	11	118193725	118225094	-	31370	161	335	107	1016	39	23	162	443	14	94	189	1098	195	205	647	2707
gene:ENSG00000160588	11	118226690	118252365	-	25676	245	225	152	230	106	159	199	944	10	205	253	1366	143	299	605	1165
gene:ENSG00000149573	11	118253416	118264536	-	11121	563	837	385	726	376	335	181	1959	17	329	402	1740	683	1219	284	1843
gene:ENSG00000280032	11	118264593	118266817	+	2225	1	9	0	13	1	0	0	14	0	4	0	33	1	8	0	10
gene:ENSG00000198851	11	118304730	118316175	+	11446	44	125	40	331	9	4	54	210	4	37	121	388	28	117	196	686
gene:ENSG00000167286	11	118338954	118342744	-	3791	15	60	14	147	3	1	9	70	1	13	25	232	11	26	56	238
gene:ENSG00000160654	11	118344344	118355161	+	10818	11	28	5	75	1	1	18	46	2	6	18	100	9	31	46	198
gene:ENSG00000110344	11	118359585	118399211	+	39627	1629	834	1135	826	870	868	1057	1109	154	1332	904	1342	1216	1737	934	2530
gene:ENSG00000285827	11	118401602	118482737	+	81136	3	9	3	4	41	10	13	6	6	4	2	6	36	3	13	6
gene:ENSG00000167283	11	118401606	118431496	+	29891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSG00000118058	11	118436490	118526832	+	90343	1013	1126	678	1165	992	1193	1048	1713	258	1567	899	2684	1296	1855	935	3647
gene:ENSG00000172425	11	118527472	118531197	+	3726	632	89	467	43	15	29	186	4	3	242	503	9	24	144	432	19
gene:ENSG00000149582	11	118531041	118547280	+	16240	422	624	288	242	227	447	369	547	59	758	386	461	285	874	187	549
gene:ENSG00000118096	11	118544528	118572970	-	28443	293	424	242	307	264	301	161	311	75	511	188	429	357	484	156	612
gene:ENSG00000095139	11	118572390	118603033	+	30644	1699	1336	1346	1318	1250	864	1224	2171	250	1776	897	2110	1382	1936	869	2719
gene:ENSG00000019144	11	118606440	118658031	+	51592	500	4124	545	2193	2248	632	727	2723	1045	2362	193	4920	4020	2001	739	7083
gene:ENSG00000118094	11	118657316	118679690	-	22375	145	105	110	19	31	55	39	20	10	524	129	49	121	322	35	54
gene:ENSG00000110367	11	118747763	118791164	-	43402	1361	1280	961	1362	1199	1139	1005	1794	274	1798	801	2355	1503	1861	921	3131
gene:ENSG00000160683	11	118883892	118897787	+	13896	4	4	1	14	1	5	3	8	0	7	2	36	9	7	7	17
gene:ENSG00000186174	11	118893875	118925608	-	31734	452	1065	448	815	1141	359	313	2307	162	519	250	2040	682	1010	265	2452
gene:ENSG00000110375	11	118925164	118958559	+	33396	11	24	7	18	10	12	12	14	8	25	15	38	12	25	44	51
gene:ENSG00000176302	11	118971712	118981287	+	9576	2	3	0	4	3	4	4	8	0	2	2	7	3	1	14	4
gene:ENSG00000186166	11	118998138	119015793	+	17656	519	1049	427	884	329	254	347	1132	157	520	404	1048	457	511	485	1207
gene:ENSG00000118181	11	119015712	119018691	-	2980	628	701	552	680	479	408	502	662	276	584	451	696	581	604	519	793
gene:ENSG00000196655	11	119018763	119025454	+	6692	263	529	226	282	261	241	210	359	78	458	155	402	299	546	271	532
gene:ENSG00000137700	11	119024114	119030906	-	6793	893	571	802	140	54	155	264	122	21	450	359	138	52	654	252	255
gene:ENSG00000149428	11	119044188	119057227	-	13040	1955	1383	1846	745	1647	1264	1906	1913	164	1123	744	1095	733	2032	862	1451
gene:ENSG00000160695	11	119067692	119081978	+	14287	338	557	282	492	260	278	304	607	166	596	215	569	354	644	237	806
gene:ENSG00000256269	11	119084866	119093549	+	8684	517	349	415	207	210	215	277	261	81	350	314	180	205	300	197	212
gene:ENSG00000188486	11	119093854	119095467	-	1614	137	192	111	111	419	179	197	438	62	187	113	186	168	250	120	214
gene:ENSG00000172269	11	119096503	119108331	-	11829	617	572	530	371	545	497	702	764	89	556	371	540	356	631	311	807
gene:ENSG00000172375	11	119102198	119118544	+	16347	288	391	209	436	513	371	535	728	92	517	291	731	362	962	290	1018
gene:ENSG00000172273	11	119121580	119136059	+	14480	368	607	256	360	457	487	444	673	111	470	273	504	360	772	246	963
gene:ENSG00000172350	11	119149052	119162653	+	13602	1	4	4	4	9	9	11	8	9	30	5	10	33	13	20	19
gene:ENSG00000160703	11	119166568	119184016	+	17449	455	530	391	298	408	265	169	431	126	597	324	342	554	582	150	548
gene:ENSG00000172367	11	119185457	119190223	+	4767	17	565	18	4	17	30	20	58	3	1115	10	18	18	1328	20	42
gene:ENSG00000248712	11	119189638	119196769	-	7132	21	48	12	96	25	36	11	55	10	49	23	191	16	64	28	140
gene:ENSG00000110395	11	119206298	119313926	+	107629	323	499	217	667	540	367	497	993	152	649	303	1586	721	1160	773	3427
gene:ENSG00000076706	11	119308529	119321521	-	12993	36	169	44	242	236	45	73	527	116	117	25	790	448	145	167	1223
gene:ENSG00000173456	11	119334527	119337309	+	2783	521	492	451	242	349	328	363	517	50	459	392	457	246	599	188	479
gene:ENSG00000223953	11	119338942	119340940	-	1999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSG00000235718	11	119338942	119346705	-	7764	0	0	0	0	2	2	2	1	0	0	1	9	1	1	0	5
gene:ENSG00000036672	11	119355215	119381711	-	26497	425	424	297	99	1241	625	89	266	365	791	313	400	3603	1211	163	312
gene:ENSG00000154096	11	119417378	119424985	-	7608	43	985	68	385	17	569	62	438	86	2308	90	544	59	2404	172	1199
gene:ENSG00000110400	11	119623408	119729200	-	105793	165	227	144	178	244	173	175	280	120	584	234	310	383	596	154	437
gene:ENSG00000137699	11	120111286	120185529	-	74244	67	319	64	170	7	46	45	143	3	48	121	735	14	51	31	245
gene:ENSG00000184232	11	120211032	120230334	+	19303	4807	2630	4029	727	1159	1049	2443	1195	560	1634	3109	786	883	2556	1787	884
gene:ENSG00000137709	11	120236640	120319945	+	83306	16	40	11	21	7	29	18	171	2	43	12	129	15	64	71	52
gene:ENSG00000181264	11	120325129	120333682	+	8554	36	361	39	190	432	143	80	579	64	278	35	541	554	346	58	771
gene:ENSG00000196914	11	120336413	120489937	+	153525	4111	2425	2877	2176	2072	2559	3047	3122	516	4455	1757	6495	2525	5795	2501	7208
gene:ENSG00000149403	11	120511700	120988904	+	477205	67	80	41	265	48	62	78	355	29	76	79	676	70	91	247	681
gene:ENSG00000154114	11	121024072	121090775	+	66704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSG00000285509	11	121024125	121113108	+	88984	29	23	14	25	11	14	24	28	5	24	21	28	22	34	20	28
gene:ENSG00000109927	11	121101173	121191493	+	90321	100	103	60	54	27	42	56	49	8	129	46	95	102	143	223	156
gene:ENSG00000109929	11	121292681	121313410	+	20730	2671	902	2162	591	427	718	1696	1950	64	1353	2135	1168	606	1655	1575	1627
gene:ENSG00000137642	11	121452314	121633763	+	181450	3846	1099	2800	1177	202	1780	1842	913	40	3063	2254	1990	697	4265	3057	6061
gene:ENSG00000259571	11	122115340	122116215	-	876	0	0	0	0	0	0	1	2	0	0	0	1	0	1	0	1
gene:ENSG00000154127	11	122655722	122814473	+	158752	140	240	93	539	75	73	130	424	26	119	94	566	121	134	306	1192
gene:ENSG00000109943	11	122838500	122872643	+	34144	13	13	14	51	7	5	13	93	2	9	31	229	12	8	18	105
gene:ENSG00000109944	11	122882683	122963862	+	81180	72	436	62	303	93	363	96	394	30	728	57	475	131	629	113	513
gene:ENSG00000188909	11	122977570	122981834	-	4265	1	1	3	2	0	1	1	0	0	0	1	3	2	2	3	2
gene:ENSG00000109971	11	123057489	123063230	-	5742	2364	2457	2212	1920	3657	3276	4466	6132	1391	3422	2267	4138	2699	4490	4347	5127
gene:ENSG00000166250	11	123069872	123195248	-	125377	73	172	59	657	524	117	177	918	50	395	59	634	413	174	203	756
gene:ENSG00000023171	11	123358428	123627774	+	269347	286	315	237	311	449	363	374	361	207	1376	297	479	727	2065	425	762
gene:ENSG00000166257	11	123629187	123655244	-	26058	4	72	11	66	186	22	24	102	29	62	4	75	136	42	22	86
gene:ENSG00000166261	11	123723914	123741675	-	17762	253	277	128	246	415	243	305	253	67	278	200	191	274	376	198	669
gene:ENSG00000221931	11	123753488	123754545	-	1058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSG00000196099	11	123805335	123806387	-	1053	0	0	0	0	1	0	0	0	0	2	1	0	0	0	3	0
gene:ENSG00000204300	11	123882920	123885670	-	2751	0	0	0	0	0	2	2	0	0	0	0	0	0	0	8	2
gene:ENSG00000181518	11	123902167	123909229	+	7063	0	0	0	0	1	0	0	0	0	1	0	0	0	1	2	2
gene:ENSG00000171014	11	123939543	123940637	+	1095	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
gene:ENSG00000181499	11	123942785	123943873	-	1089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSG00000196248	11	123976661	123977781	-	1121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
