# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "/work/02260/grovesd/lonestar/honeybee_genome/GCF_003254395.2_Amel_HAv3.1_genomic.gff" "-p" "-t" "gene" "-g" "ID" "-o" "feature_counts_out.tsv" "-T" "36" "--primary" "SRR445999_dupsRemoved.bam" "SRR446000_dupsRemoved.bam" "SRR446001_dupsRemoved.bam" "SRR446002_dupsRemoved.bam" "SRR446003_dupsRemoved.bam" "SRR446004_dupsRemoved.bam" "SRR446005_dupsRemoved.bam" "SRR446006_dupsRemoved.bam" "SRR446007_dupsRemoved.bam" "SRR446008_dupsRemoved.bam" "SRR446009_dupsRemoved.bam" "SRR446010_dupsRemoved.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR445999_dupsRemoved.bam	SRR446000_dupsRemoved.bam	SRR446001_dupsRemoved.bam	SRR446002_dupsRemoved.bam	SRR446003_dupsRemoved.bam	SRR446004_dupsRemoved.bam	SRR446005_dupsRemoved.bam	SRR446006_dupsRemoved.bam	SRR446007_dupsRemoved.bam	SRR446008_dupsRemoved.bam	SRR446009_dupsRemoved.bam	SRR446010_dupsRemoved.bam
gene-LOC412008	NC_037639.1	3937503	3941094	+	3592	9524	14385	6070	6007	6095	9814	8535	9980	3213	6697	6776	5022
gene-LOC552105	NC_037639.1	3944722	3945811	-	1090	2887	4026	2555	2505	2611	3597	2602	3092	2326	2794	3192	2374
gene-LOC724716	NC_037639.1	3946089	3949142	+	3054	3129	4729	2885	2999	2985	4206	2995	3462	2328	3269	3759	2480
gene-LOC107964039	NC_037639.1	3959472	3961785	-	2314	176	567	178	150	144	212	124	279	115	135	192	139
gene-LOC724736	NC_037639.1	3961515	4366097	-	404583	2656	9031	1205	1800	1262	1210	2986	3552	2614	2787	2514	1816
gene-LOC107964040	NC_037639.1	4177532	4179238	-	1707	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102654107	NC_037639.1	4275288	4281848	+	6561	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102654330	NC_037639.1	4362968	4366208	+	3241	17	31	32	14	14	39	9	11	4	14	18	11
gene-LOC113218593	NC_037639.1	4364034	4364580	+	547	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC413279	NC_037639.1	4371254	4373395	-	2142	1081	1688	511	502	595	958	881	1112	391	729	749	571
gene-LOC413278	NC_037639.1	4373609	4376925	+	3317	10254	14850	8246	8732	8735	13650	9500	10853	5250	8289	9717	7109
gene-LOC551690	NC_037639.1	4380446	4382640	+	2195	10087	13593	9156	9111	9206	13001	8890	10618	7201	9450	10396	8416
gene-LOC413146	NC_037639.1	4383128	4387376	-	4249	5559	8253	4407	4285	4705	7351	5282	6348	2884	4610	5268	3999
gene-LOC102656852	NC_037639.1	4419924	4433438	+	13515	953	1528	567	457	586	793	817	1363	642	1078	1144	756
gene-LOC409791	NC_037639.1	4464679	4468976	-	4298	4713	11559	3723	3414	2558	3842	3888	6781	5225	6314	7593	3766
gene-LOC102656798	NC_037639.1	4469673	4470735	+	1063	172	225	145	159	147	288	134	134	120	132	184	149
gene-LOC551596	NC_037639.1	4472496	4475150	+	2655	17356	23865	15207	16322	15444	24547	16445	17911	10910	15367	17762	12323
gene-LOC413147	NC_037639.1	4476913	4487785	+	10873	7034	8357	5904	5191	6481	8649	6497	8548	4319	7384	7717	5585
gene-LOC113218583	NC_037639.1	4478220	4481203	-	2984	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC551536	NC_037639.1	4488742	4491593	+	2852	6721	9419	5831	5851	6272	8646	6257	7670	4738	6574	7705	5402
gene-LOC412143	NC_037639.1	4492013	4508321	-	16309	17749	25756	10601	10304	12413	19657	15627	19601	8696	13306	16357	12270
gene-LOC100578537	NC_037639.1	4509622	4513817	+	4196	5495	7607	4167	4137	4574	6633	5127	6303	3433	4760	5868	4218
gene-LOC413869	NC_037639.1	4514526	4516478	-	1953	6278	8451	5465	5573	5331	7533	5981	6861	4454	6134	6714	5006
gene-LOC102655388	NC_037639.1	4517169	4519104	+	1936	1312	1859	1166	1307	1191	1774	1184	1321	879	1187	1367	975
gene-LOC100578498	NC_037639.1	4520080	4545096	-	25017	1417	2955	1114	1075	1140	1772	1366	1699	811	1052	1622	1229
gene-LOC412711	NC_037639.1	4548000	4553434	+	5435	9531	14252	8272	8052	8961	13484	9434	11635	5891	8493	9849	7980
gene-LOC551273	NC_037639.1	4554419	4556928	-	2510	4814	7086	4454	4320	4259	6321	4022	4955	3095	4366	4862	3925
gene-LOC100578429	NC_037639.1	4560329	4566386	-	6058	3002	4458	2331	2515	2569	4607	2852	3293	1452	2269	2836	1923
gene-LOC100579024	NC_037639.1	4566396	4567602	+	1207	2114	2834	1609	1584	1713	2519	1895	2080	1631	1964	2164	1671
gene-LOC725295	NC_037639.1	4568807	4571761	+	2955	3356	5151	3076	3195	3015	4987	3064	3776	2119	2983	3565	2586
gene-LOC100578885	NC_037639.1	4578555	4630712	-	52158	6151	12556	2893	3582	3703	5427	6518	7535	3916	5520	5932	4216
gene-LOC102655792	NC_037639.1	4630732	4632599	+	1868	4423	6706	5210	4630	4725	6857	3273	4974	4245	5364	6464	4255
gene-LOC408716	NC_037639.1	4633633	4650053	-	16421	33008	60217	23039	22392	23978	40584	26858	39237	17147	24979	30418	21295
gene-LOC113218529	NC_037639.1	4651586	4666394	-	14809	802	1608	558	543	573	889	682	1057	454	680	876	667
gene-18-w	NC_037639.1	4677112	4681224	-	4113	661	1725	413	454	315	482	802	1154	427	856	873	706
gene-LOC408717	NC_037639.1	4682600	4685015	+	2416	18526	25105	16461	16611	16176	24342	18007	19998	11098	16734	17609	14785
gene-LOC100578397	NC_037639.1	4685764	4688394	-	2631	4313	5895	4101	3951	4305	6068	4232	5112	3473	4484	5005	3994
gene-LOC408718	NC_037639.1	4691312	4715031	+	23720	11719	22677	4929	3831	4810	8247	11312	16513	6566	10773	10795	9984
gene-LOC100578839	NC_037639.1	4708223	4724409	-	16187	3042	4023	2263	2382	2278	4015	2523	2557	1866	2504	3085	2262
gene-Calpb	NC_037639.1	4719226	4731784	+	12559	29815	40531	22692	21523	25064	33853	31035	32719	20539	28325	29519	26490
gene-LOC725743	NC_037639.1	4732906	4734236	+	1331	2213	3189	2018	2077	2052	3167	1860	2253	1582	2086	2453	1855
gene-LOC411452	NC_037639.1	4733953	4797552	-	63600	2582	3751	1265	1195	1518	2096	2174	2757	1367	2335	2382	1916
gene-LOC100576174	NC_037639.1	4818879	4819702	+	824	802	993	675	653	639	930	647	801	454	690	825	588
gene-LOC410087	NC_037639.1	4820592	4826090	-	5499	14863	14702	13054	11075	10551	22641	8818	10673	10609	8170	16353	9576
gene-LOC724274	NC_037639.1	4823146	4824181	+	1036	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC724367	NC_037639.1	4828926	4829893	+	968	11565	11488	10457	9327	7257	19270	6220	5934	7880	4961	11610	6130
gene-LOC724405	NC_037639.1	4831304	4832577	+	1274	38638	46624	31686	32826	34614	45620	34424	41279	28101	35193	39709	32932
gene-LOC724449	NC_037639.1	4833936	4835076	+	1141	30516	31090	30393	28202	26669	47935	22012	22925	20513	21107	31299	20610
gene-LOC724488	NC_037639.1	4837466	4838343	+	878	25643	21902	22183	20859	15046	40165	13146	12743	18751	11650	25999	10547
gene-LOC411348	NC_037639.1	4839190	4897530	-	58341	6404	12723	4436	4129	4686	6785	4825	8969	3981	5660	6281	5022
gene-Mir12	NC_037639.1	4840914	4840996	-	83	0	0	0	0	0	0	0	0	0	0	0	0
gene-Mir3477	NC_037639.1	4841409	4841507	-	99	0	0	0	0	0	0	0	0	0	0	0	0
gene-Mir283	NC_037639.1	4842179	4842278	-	100	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC408715	NC_037639.1	4979145	5295404	+	316260	31637	59663	26076	24412	24727	38273	28006	42575	26511	33847	35268	29048
gene-LOC102656562	NC_037639.1	5116398	5119071	+	2674	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC551009	NC_037639.1	5317805	5320083	+	2279	4685	7101	3957	4070	4031	5822	4403	5368	3263	4223	4682	3709
gene-LOC412824	NC_037639.1	5322948	5325770	-	2823	9770	14695	8436	8745	8481	12722	9208	10140	5230	7993	8941	6588
gene-LOC100578420	NC_037639.1	5329094	5383658	+	54565	1710	3968	1080	1115	1148	2160	1300	2090	976	1572	1714	1590
gene-LOC107964054	NC_037639.1	5331264	5336051	-	4788	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC107964083	NC_037639.1	5368471	5371948	-	3478	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC408714	NC_037639.1	5383715	5481762	-	98048	934	2008	364	538	399	546	1106	1201	655	1022	935	790
gene-LOC102654245	NC_037639.1	5499878	5501505	+	1628	1	5	0	0	0	1	0	0	1	1	1	3
gene-LOC100578727	NC_037639.1	5502188	5525609	-	23422	1051	1371	424	384	608	717	519	1052	463	537	771	649
gene-LOC100577598	NC_037639.1	5537142	5544491	-	7350	314	639	238	293	257	529	343	403	181	249	338	251
gene-LOC100576249	NC_037639.1	5547277	5555198	+	7922	2340	3921	1562	1286	1468	2565	1924	2667	1365	2023	2164	1846
gene-LOC410897	NC_037639.1	5554807	5556737	-	1931	2471	3272	2009	2153	2068	3098	2248	2546	1612	2261	2529	1741
gene-LOC408713	NC_037639.1	5556309	5557601	+	1293	453	648	350	398	366	553	386	487	300	432	499	354
gene-LOC410896	NC_037639.1	5557601	5564305	-	6705	2998	3617	1997	1847	1978	2974	2766	3004	1832	2902	2572	2353
gene-LOC408712	NC_037639.1	5565358	5569585	+	4228	8118	12280	7929	8198	8086	12627	7446	10013	6185	7880	10132	7108
gene-LOC552020	NC_037639.1	5569428	5659362	+	89935	59384	93729	39871	35880	37781	56631	47007	70734	36817	52611	57888	41630
gene-LOC113218591	NC_037639.1	5641383	5643742	+	2360	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC408711	NC_037639.1	5659573	5660873	+	1301	2105	2854	1840	1885	1966	2746	1805	2191	1604	1979	2331	1752
gene-LOC410895	NC_037639.1	5660899	5727162	+	66264	5376	12103	3138	3026	3139	4816	4297	7407	3104	4967	5428	4368
gene-LOC107964043	NC_037639.1	5713202	5714459	+	1258	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC113218592	NC_037639.1	5723322	5724033	-	712	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC107964042	NC_037639.1	5724284	5725539	-	1256	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC410894	NC_037639.1	5729391	5731286	-	1896	328	490	191	210	261	343	220	328	168	256	335	208
gene-LOC410893	NC_037639.1	5731860	5956116	+	224257	556	1033	343	398	423	457	453	791	385	496	663	435
gene-LOC408710	NC_037639.1	5860584	5964574	-	103991	4452	7081	3270	3222	3455	5817	3576	5076	2457	3616	4793	3209
gene-LOC726303	NC_037639.1	5965027	5966261	+	1235	1141	1603	1095	1068	1036	1686	1043	1176	790	996	1300	868
gene-LOC551849	NC_037639.1	5966097	5969428	-	3332	869	1363	954	939	832	1479	700	882	513	692	808	703
gene-LOC410888	NC_037639.1	5983316	6164093	+	180778	320	1009	169	191	146	169	425	594	327	395	420	244
gene-Mir6045	NC_037639.1	6042045	6042122	+	78	0	0	0	0	0	0	0	0	0	0	0	0
gene-Mir9864	NC_037639.1	6044313	6044403	+	91	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC107964069	NC_037639.1	6104705	6186357	-	81653	970	2220	1195	999	968	1526	822	1347	947	1242	1650	913
gene-LOC107964103	NC_037639.1	6208072	6215003	-	6932	242	371	177	193	146	292	183	224	173	218	263	174
gene-LOC408705	NC_037639.1	6216225	6225696	-	9472	21657	30405	15217	15156	16892	26154	18356	25678	14078	20286	23266	17757
gene-LOC551773	NC_037639.1	6226645	6231218	+	4574	6287	9794	4950	5040	5445	8734	5892	7266	3376	5171	6068	4444
gene-LOC551743	NC_037639.1	6232869	6235749	+	2881	2567	3737	2022	2222	2371	3359	2432	2872	1691	2069	3001	2045
gene-LOC724162	NC_037639.1	6238738	6244108	+	5371	4379	6141	3871	3691	3881	5466	3946	5024	3087	4178	4551	3611
gene-LOC413265	NC_037639.1	6244132	6260685	+	16554	9377	14574	6056	5463	5898	10123	8127	10469	5241	8004	8883	7274
gene-LOC113218582	NC_037639.1	6254168	6256308	+	2141	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC552307	NC_037639.1	6256125	6258205	-	2081	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC552346	NC_037639.1	6261230	6264676	-	3447	7613	11884	6558	6720	6572	10211	7028	8309	4570	6849	7359	6081
gene-LOC724424	NC_037639.1	6265273	6267980	+	2708	1783	2766	1547	1431	1656	2509	1636	2314	1229	1709	2053	1461
gene-LOC411955	NC_037639.1	6268363	6275046	-	6684	10505	13536	7920	7623	7041	10192	9023	9820	5044	8395	8068	7325
gene-LOC100579003	NC_037639.1	6275926	6283396	-	7471	6345	9123	5220	5005	5623	8388	5719	7394	4120	5949	7130	5368
gene-LOC552405	NC_037639.1	6283670	6285863	+	2194	3349	5029	3281	3179	3206	4772	3064	3902	2381	3051	3536	2725
gene-LOC552422	NC_037639.1	6285523	6288358	-	2836	5188	7971	4728	4693	4859	7216	4897	5872	3811	4671	5776	4563
gene-LOC724598	NC_037639.1	6288610	6292334	+	3725	4682	6710	3948	3802	3889	6239	4395	4929	2768	3855	4456	3533
gene-LOC410127	NC_037639.1	6292742	6329045	+	36304	9663	17430	5620	5573	6174	8755	7778	12193	5905	9392	9474	6911
gene-LOC413928	NC_037639.1	6330986	6332319	+	1334	2255	3229	2017	2124	2156	2880	1995	2515	1763	2206	2567	1847
gene-LOC552471	NC_037639.1	6332095	6332892	-	798	1282	1786	1186	1154	1132	1836	1117	1361	902	1071	1269	1016
gene-LOC552483	NC_037639.1	6335645	6337778	+	2134	1261	1854	1037	994	1034	1621	1270	1282	600	947	1078	858
gene-LOC411349	NC_037639.1	6343334	6366633	-	23300	3053	6855	1650	1628	1883	2994	2793	4786	1562	2361	2832	2203
gene-LOC102654426	NC_037639.1	6367687	6369388	+	1702	13357	18101	13593	13686	13494	17924	12414	12947	10030	13061	13008	10907
gene-LOC409038	NC_037639.1	6369258	6374896	-	5639	3788	5641	3363	3306	4095	5559	3770	4918	3129	4049	4530	3491
gene-LOC409039	NC_037639.1	6374891	6385035	+	10145	1887	4016	1186	1004	1119	1850	1450	2738	1281	1832	2078	1614
gene-Hiscl1	NC_037639.1	6409564	6416225	+	6662	774	796	351	355	768	458	229	1038	725	429	836	473
gene-LOC725008	NC_037639.1	6424567	6431095	+	6529	767	1370	391	272	321	902	497	1184	358	368	550	585
gene-LOC102654452	NC_037639.1	6431271	6434577	+	3307	601	688	399	283	448	572	611	543	343	601	603	474
gene-LOC725119	NC_037639.1	6440181	6445774	-	5594	4493	7849	4952	5941	5017	8813	4133	5073	2577	3738	5152	3639
gene-LOC725164	NC_037639.1	6449039	6500163	+	51125	10347	32889	7679	8253	6618	11746	14162	16892	8468	11913	12367	8509
gene-LOC413060	NC_037639.1	6513195	6575110	+	61916	264	592	85	138	102	101	314	303	187	342	228	175
gene-LOC100579058	NC_037639.1	6585445	6601401	+	15957	11	26	3	5	2	5	10	13	9	15	11	7
gene-LOC410891	NC_037639.1	6595967	6607710	-	11744	3363	5311	2308	2390	2616	4426	3106	3849	1634	2391	3038	2308
gene-LOC113218585	NC_037639.1	6602904	6603316	+	413	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC410890	NC_037639.1	6608378	6609369	+	992	559	965	525	623	504	908	496	594	411	510	585	438
gene-LOC725396	NC_037639.1	6609711	6612128	+	2418	4863	7933	4653	4768	4721	7524	4134	5262	3207	4642	5434	3828
gene-LOC408708	NC_037639.1	6612928	6615023	-	2096	5046	7438	4842	5090	4836	7096	4466	5496	3790	4777	5534	4137
gene-LOC725429	NC_037639.1	6614714	6616159	+	1446	2578	3942	2429	2448	2190	3731	2349	2735	1625	2168	2441	1969
gene-LOC410889	NC_037639.1	6616334	6618432	+	2099	2142	3146	2029	1838	1979	3095	1922	2299	1536	1989	2391	1776
gene-LOC725530	NC_037639.1	6618400	6621012	-	2613	5316	7531	5420	5355	5508	7613	4716	5692	4085	5416	5867	4700
gene-LOC100576320	NC_037639.1	6623137	6630797	-	7661	43	94	16	29	26	34	25	26	19	22	21	15
gene-LOC107963989	NC_037639.1	6624881	6627105	-	2225	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC725506	NC_037639.1	6626916	6628243	-	1328	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC113218596	NC_037639.1	6630834	6637947	+	7114	2	10	2	1	3	5	0	2	3	2	1	1
gene-LOC725588	NC_037639.1	6656261	6688554	+	32294	280	735	144	138	157	221	308	383	204	332	404	287
gene-LOC725625	NC_037639.1	6688745	6735060	-	46316	1622	2830	1055	980	1072	1565	1525	2440	1356	2118	2117	1479
gene-LOC113218610	NC_037639.1	6733826	6742847	+	9022	1002	1526	581	554	629	956	828	907	746	874	1144	809
gene-LOC100576512	NC_037639.1	6742025	6748895	-	6871	3648	5741	1712	1391	1525	3071	3006	3701	1703	2799	3262	2579
gene-LOC113218595	NC_037639.1	6751532	6752516	+	985	8	17	10	1	7	8	4	14	4	7	4	8
gene-LOC725757	NC_037639.1	6754032	6756801	-	2770	2222	3431	2053	2581	2380	4357	1746	2115	1144	1604	2309	1406
gene-LOC725789	NC_037639.1	6758064	6759794	-	1731	3279	5143	3349	3386	3081	4852	2840	3451	2002	2788	3258	2498
gene-LOC725742	NC_037639.1	6761380	6763250	+	1871	1566	2337	1606	1437	1532	2250	1426	1799	1245	1660	1841	1363
gene-LOC408706	NC_037639.1	6762713	6771073	-	8361	37337	42781	25727	28842	27632	51894	31026	33892	18282	25342	31112	24453
gene-LOC725826	NC_037639.1	6771718	6775464	+	3747	4575	6672	3851	3953	4008	6349	4155	5206	3078	4204	5156	4071
gene-LOC725860	NC_037639.1	6774965	6889507	-	114543	11103	19686	7820	7137	7502	12355	9386	13863	7146	10646	12898	8087
gene-LOC725891	NC_037639.1	6859954	6915086	+	55133	1127	2775	399	531	469	807	1145	1676	663	952	1096	753
gene-Mir3798	NC_037639.1	6893624	6893716	-	93	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC412076	NC_037639.1	6921177	6922925	+	1749	4248	5868	3558	4006	4108	5711	4141	4677	3217	4295	5194	3552
gene-LOC412077	NC_037639.1	6923498	6926753	+	3256	7487	10886	5835	5592	5973	9638	6417	8446	4538	7270	8462	5955
gene-LOC726009	NC_037639.1	6926722	6927999	-	1278	2788	4418	2788	2878	2691	4167	2611	3218	2190	2704	3230	2397
gene-LOC551412	NC_037639.1	6930123	6933048	+	2926	2602	3741	2269	2597	2455	4216	2476	2851	1731	2358	2934	2107
gene-LOC726085	NC_037639.1	6933649	6934760	-	1112	3673	5316	3523	3534	3410	4821	3242	4217	2874	3579	3930	3211
gene-LOC551508	NC_037639.1	6937443	6939815	-	2373	1132	2057	927	833	895	1614	1099	1393	684	1027	1159	854
gene-LOC409566	NC_037639.1	6940263	6942902	+	2640	3973	5900	3823	3513	3638	5446	3664	4653	2856	3815	4521	3365
gene-LOC412678	NC_037639.1	6943729	6946494	+	2766	3491	4343	2310	2366	2464	3345	3061	4103	1806	2930	2719	2364
gene-LOC413955	NC_037639.1	6948022	6956944	+	8923	12383	18657	9511	8826	10205	16604	11008	14772	7127	11214	12041	9588
gene-LOC412127	NC_037639.1	6958011	6958919	-	909	1502	2074	1359	1369	1327	1966	1433	1582	1102	1514	1625	1294
gene-LOC410887	NC_037639.1	6959324	6968532	+	9209	21633	31254	16703	16826	18700	28131	21227	24426	12349	18859	22321	16614
gene-LOC726187	NC_037639.1	6969793	6975192	+	5400	54542	70280	46718	46793	50313	70267	50858	61027	36623	49612	57318	43668
gene-LOC726295	NC_037639.1	6975591	6976459	-	869	8407	11145	8888	8892	9194	11971	7851	9040	7236	8607	9220	7890
gene-LOC410886	NC_037639.1	6977041	6984231	+	7191	12328	17157	8376	8965	9583	14152	12090	13591	6363	9566	11456	8308
gene-LOC551254	NC_037639.1	6985285	6998772	+	13488	17668	24573	13493	15289	14966	25782	15558	17447	8997	12598	16195	12016
gene-LOC410885	NC_037639.1	6999842	7009372	+	9531	314	642	298	238	241	623	143	422	140	195	238	211
gene-LOC410884	NC_037639.1	7010413	7013031	-	2619	25	27	13	33	24	12	20	29	21	34	40	29
gene-LOC551123	NC_037639.1	7055159	7794461	+	739303	13394	27916	10765	9236	10147	14002	9039	20273	13112	16774	21171	14184
gene-LOC102654210	NC_037639.1	7365547	7374445	-	8899	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100577125	NC_037639.1	7448468	7467771	-	19304	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC102654085	NC_037639.1	7525973	7532551	-	6579	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC410883	NC_037639.1	7803025	7804283	+	1259	2540	3482	2188	2259	2186	3214	2173	2663	1839	2348	2771	1920
gene-LOC100577268	NC_037639.1	7814438	7838151	+	23714	1619	2572	878	738	987	1791	1149	1982	958	1378	1802	1227
gene-LOC410882	NC_037639.1	7838474	8124798	-	286325	3219	7071	3302	2809	2564	3876	3010	4218	3400	4550	5582	3185
gene-Mir6003	NC_037639.1	7994861	7994930	-	70	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC550665	NC_037639.1	8134184	8135771	+	1588	2085	3114	1983	2035	1949	2833	1854	2322	1584	2071	2297	1775
gene-LOC724553	NC_037639.1	8135640	8138283	-	2644	3846	5416	3257	2889	3132	4519	3734	4308	2617	3729	4025	3087
gene-LOC413933	NC_037639.1	8138721	8141056	+	2336	4858	7143	4342	4418	4349	6933	4623	5381	3175	4087	4899	3603
gene-LOC100576274	NC_037639.1	8142665	8145260	-	2596	1358	1969	1093	1049	1133	1778	1297	1549	967	1237	1497	963
gene-LOC413023	NC_037639.1	8145237	8147881	+	2645	6568	9160	5387	5364	5603	7960	6195	6975	4660	6331	7581	5168
gene-LOC412780	NC_037639.1	8149506	8153676	+	4171	7041	9528	4464	4192	5189	8391	6904	7767	3423	5517	5690	4381
gene-LOC102656247	NC_037639.1	8155907	8159516	-	3610	432	674	434	404	395	746	356	399	206	289	341	299
gene-LOC727293	NC_037639.1	8159010	8161766	+	2757	1415	2370	1598	1550	1408	2212	1272	1593	908	1402	1499	1333
gene-LOC113218590	NC_037639.1	8161875	8162799	-	925	2765	3794	2395	2468	2499	3415	2552	3240	2193	2858	3327	2427
gene-LOC727300	NC_037639.1	8162978	8163904	-	927	2358	3272	1924	2019	1981	2890	2189	2501	1727	2168	2487	1852
gene-LOC410879	NC_037639.1	8164079	8166378	+	2300	1427	2269	1377	1324	1391	2226	1324	1683	1113	1433	1792	1199
gene-LOC727308	NC_037639.1	8167809	8221278	-	53470	3348	5371	2563	2515	2811	4589	2517	3795	2295	2998	3967	3113
gene-LOC113218598	NC_037639.1	8175514	8276169	+	100656	137	264	54	94	57	84	116	155	85	104	120	91
gene-LOC408702	NC_037639.1	8658617	8660460	+	1844	1903	3353	882	704	709	1460	995	2381	799	1383	1609	1001
gene-LOC102654348	NC_037639.1	8747173	8763032	+	15860	7	38	1	4	2	5	11	15	10	8	6	3
gene-LOC100579019	NC_037639.1	9021248	9021916	-	669	14	2	3	2	10	1	12	9	6	1	5	14
gene-LOC408701	NC_037639.1	9030452	9033189	-	2738	3357	4607	2780	2686	2852	4322	3056	3819	2176	3164	3587	2660
gene-LOC725009	NC_037639.1	9033441	9036488	+	3048	1985	2888	1657	1617	1818	2629	1874	2359	1279	1843	2158	1597
gene-LOC100578514	NC_037639.1	9041792	9043573	-	1782	0	21	4	1	2	11	2	2	1	4	2	6
gene-LOC725089	NC_037639.1	9048785	9050117	+	1333	0	4	1	0	1	2	0	1	2	1	1	0
gene-LOC100578611	NC_037639.1	9115461	9355619	+	240159	2860	6836	1475	1483	1493	2252	2893	4001	1727	2551	2776	2422
gene-Mir6037	NC_037639.1	9360681	9360767	-	87	3613	4609	3334	3295	3155	4785	3204	3912	2724	3887	4437	2837
gene-LOC412330	NC_037639.1	9400286	9442444	-	42159	15434	27150	13825	12008	12714	19036	10968	19300	12436	17082	22008	13793
gene-LOC100578715	NC_037639.1	9444470	9447745	-	3276	2134	2961	1758	1722	1882	3041	1810	2316	1194	1662	2229	1484
gene-LOC412331	NC_037639.1	9447965	9452739	+	4775	5200	7202	4094	4197	4375	6973	4881	5785	3064	4573	5257	3770
gene-LOC725325	NC_037639.1	9451803	9459503	-	7701	2524	2446	1270	1331	2297	1817	1243	3991	1104	2320	1990	1713
gene-LOC725357	NC_037639.1	9459472	9460753	+	1282	827	1086	648	657	651	1041	737	779	632	795	827	618
gene-LOC102655463	NC_037639.1	9460411	9462375	-	1965	301	429	279	279	292	436	274	269	191	279	328	202
gene-LOC411871	NC_037639.1	9472913	9503365	-	30453	1291	3719	1094	926	815	1323	1321	1965	1185	1731	1855	975
gene-LOC411870	NC_037639.1	9503534	9505194	+	1661	3065	4442	2820	2942	2769	4088	2581	3132	1957	2588	3198	2357
gene-LOC409246	NC_037639.1	9510008	9524654	+	14647	14279	18145	8516	9382	10048	14407	12927	14404	7159	11431	13314	9798
gene-LOC409092	NC_037639.1	9527884	9531472	-	3589	3319	4885	2715	2750	2918	4251	3199	3820	1993	2915	3596	2465
gene-LOC100578119	NC_037639.1	9532068	9533725	-	1658	3052	4293	2603	2599	2651	3810	2887	3253	2335	2968	3626	2592
gene-Mir279c	NC_037639.1	9533228	9533314	-	87	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC409091	NC_037639.1	9535524	9587462	+	51939	16117	24048	11169	11151	10442	17621	12207	15178	8408	12278	13831	12125
gene-LOC724425	NC_037639.1	9591903	9594507	+	2605	3	8	9	5	7	8	3	4	8	7	5	4
gene-LOC100578084	NC_037639.1	9595975	9597764	-	1790	924	1266	683	855	799	776	534	535	270	604	843	879
gene-LOC413350	NC_037639.1	9598242	9621626	-	23385	1801	3130	1101	1001	896	1847	1136	1979	916	1543	1661	967
gene-LOC413351	NC_037639.1	9621741	9625943	-	4203	7044	9748	5864	5732	6553	9403	6458	8180	4669	6888	7848	5476
gene-Cdc37	NC_037639.1	9626329	9628819	+	2491	13635	16271	10511	11194	10984	17807	11405	13596	9929	11973	14724	10802
gene-LOC724599	NC_037639.1	9629445	9644449	+	15005	18754	27506	12882	12701	14459	22471	16680	20391	11033	16302	18510	14306
gene-LOC552075	NC_037639.1	9646498	9662959	+	16462	24845	37058	22255	21664	22825	33532	23381	27593	15999	22146	24259	20271
gene-LOC113218612	NC_037639.1	9654567	9655240	+	674	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC100577939	NC_037639.1	9664094	9666761	-	2668	208	342	246	153	154	299	154	246	149	244	225	160
gene-LOC551992	NC_037639.1	9667044	9669172	-	2129	1595	2762	1549	1710	1682	2688	1462	2025	1246	1684	1881	1443
gene-LOC412700	NC_037639.1	9670870	9674517	+	3648	11227	15962	9887	10006	10596	15233	10686	12922	7823	10472	12823	9277
gene-LOC724808	NC_037639.1	9674583	9680159	-	5577	10869	14679	9079	9101	9337	13370	9832	11595	7974	9975	11446	8676
gene-LOC724850	NC_037639.1	9678912	9681226	+	2315	1995	2923	1621	1600	1612	2483	1856	2071	1178	1579	1865	1469
gene-LOC551872	NC_037639.1	9683182	9686584	+	3403	4976	6619	3551	3464	4089	5419	4658	5967	3261	4802	5217	4109
gene-LOC413845	NC_037639.1	9688343	9689705	-	1363	5643	7892	5030	5243	4881	7091	5064	5862	3747	5048	5495	4426
gene-LOC409871	NC_037639.1	9690133	9699243	+	9111	7930	11449	7205	7176	7422	11436	6922	7800	4531	6869	8379	5527
