# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "/work/02260/grovesd/lonestar/Ceratina_calcarata_genome_MIN500/GCF_001652005.1_ASM165200v1_genomic.gff" "-p" "-t" "gene" "-g" "ID" "-o" "feature_counts_out.tsv" "-T" "64" "--primary" "SRR6819907_dupsRemoved.bam" "SRR6819908_dupsRemoved.bam" "SRR6819909_dupsRemoved.bam" "SRR6819910_dupsRemoved.bam" "SRR6819911_dupsRemoved.bam" "SRR6819912_dupsRemoved.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR6819907_dupsRemoved.bam	SRR6819908_dupsRemoved.bam	SRR6819909_dupsRemoved.bam	SRR6819910_dupsRemoved.bam	SRR6819911_dupsRemoved.bam	SRR6819912_dupsRemoved.bam
gene-LOC108623058	NW_017147019.1	1075261	1078200	-	2940	1945	1569	1813	1582	1580	1871
gene-LOC108623059	NW_017147019.1	1078536	1080535	+	2000	1520	1326	1433	1271	1316	1486
gene-LOC108623060	NW_017147019.1	1080933	1083135	+	2203	1162	989	1246	1111	1078	1135
gene-LOC108623061	NW_017147019.1	1083725	1086315	+	2591	2273	2023	2314	2192	2127	2524
gene-LOC108623067	NW_017147019.1	1087818	1100975	-	13158	4963	4073	4759	4296	4124	3168
gene-LOC108623068	NW_017147019.1	1101076	1104356	+	3281	1843	1523	1876	1460	1537	1567
gene-LOC108623096	NW_017147019.1	1105148	1106581	+	1434	1980	1846	2101	1739	1855	2278
gene-LOC108623095	NW_017147019.1	1106609	1112809	-	6201	2523	2219	2423	2303	2166	2156
gene-LOC108623093	NW_017147019.1	1113693	1118383	+	4691	4387	3649	4281	3774	3967	4095
gene-LOC108623092	NW_017147019.1	1118417	1122788	-	4372	1822	1526	1791	1772	1705	1753
gene-LOC108623032	NW_017147019.1	1127150	1141891	+	14742	6095	5362	5813	4230	4901	6059
gene-Trnaa-cgc	NW_017147019.1	1141281	1141352	+	72	0	0	0	0	0	0
gene-LOC108623019	NW_017147019.1	1142043	1143322	+	1280	1	1	1	1	1	4
gene-LOC108623094	NW_017147019.1	1143516	1150717	+	7202	7169	6177	6781	6516	6230	6048
gene-LOC108623020	NW_017147019.1	1150737	1151360	-	624	30	24	32	13	19	35
gene-LOC108623034	NW_017147019.1	1151501	1153321	+	1821	1698	1442	1779	1346	1392	1615
gene-LOC108623071	NW_017147019.1	1153423	1158697	+	5275	6207	5433	5631	4901	4742	4625
gene-LOC108623074	NW_017147019.1	1158816	1162341	-	3526	4214	4107	4449	4352	3982	4621
gene-LOC108623073	NW_017147019.1	1162410	1165563	+	3154	2600	2687	2889	2211	2445	2474
gene-LOC108623047	NW_017147019.1	1165862	1170849	+	4988	675	680	589	1014	988	1065
gene-LOC108623021	NW_017147019.1	1173608	1175230	+	1623	8	7	8	6	8	11
gene-LOC108623022	NW_017147019.1	1191094	1194294	-	3201	0	2	0	0	0	0
gene-LOC108623046	NW_017147019.1	1217134	1226962	-	9829	91	67	98	163	104	90
gene-LOC113464081	NW_017147019.1	1258754	1303803	+	45050	2439	2328	2597	2964	3708	2434
gene-LOC113464082	NW_017147019.1	1380318	1381870	+	1553	3	6	5	5	7	7
gene-LOC108623039	NW_017147019.1	1385598	1389495	+	3898	899	644	809	609	693	762
gene-LOC108623050	NW_017147019.1	1389159	1390662	+	1504	907	819	899	995	952	1271
gene-LOC108623048	NW_017147019.1	1390702	1396296	-	5595	2237	2061	2122	3051	2788	3156
gene-LOC108623045	NW_017147019.1	1394214	1395994	+	1781	0	0	0	0	0	0
gene-LOC108623043	NW_017147019.1	1396197	1400378	+	4182	1466	1444	1568	1447	1407	1507
gene-LOC108623044	NW_017147019.1	1400613	1403120	+	2508	1458	1243	1514	1369	1270	1309
gene-LOC108623042	NW_017147019.1	1403345	1407944	+	4600	1618	1578	1474	1397	1316	1377
gene-LOC108623051	NW_017147019.1	1407941	1408937	-	997	342	228	324	262	229	333
gene-LOC108623063	NW_017147019.1	1409080	1424522	+	15443	10925	9680	11271	14515	12409	13281
gene-LOC113464089	NW_017147019.1	1411958	1415128	-	3171	0	0	0	0	0	0
gene-LOC113464088	NW_017147019.1	1424661	1425506	-	846	94	78	116	77	73	71
gene-LOC108623062	NW_017147019.1	1426262	1440446	-	14185	2810	2551	2909	3923	3406	3776
gene-LOC108623038	NW_017147019.1	1440729	1441503	-	775	5067	5665	5128	5074	5493	6328
gene-LOC108623075	NW_017147019.1	1441917	1456331	+	14415	16408	13184	13414	11127	11146	10804
gene-LOC113464087	NW_017147019.1	1457178	1458541	-	1364	16	16	17	13	11	14
gene-LOC108623098	NW_017147019.1	1458268	1483264	+	24997	5760	5118	6722	7736	6573	6579
gene-LOC108623099	NW_017147019.1	1483305	1485858	-	2554	16730	14998	16823	12184	13552	15692
gene-LOC108623035	NW_017147019.1	1486792	1488496	-	1705	2092	1009	1415	325	714	1103
gene-LOC108623115	NW_017147019.1	1489638	1491656	-	2019	3013	2288	2607	3674	2412	2788
gene-LOC108623116	NW_017147019.1	1492331	1493975	-	1645	37219	30812	35521	29652	30562	28513
gene-LOC108623077	NW_017147019.1	1496863	1497917	+	1055	2508	2686	3547	2339	1938	2064
gene-LOC108623076	NW_017147019.1	1498112	1514981	+	16870	1368	1191	2060	1135	924	755
gene-LOC113464080	NW_017147019.1	1503030	1514052	-	11023	0	0	0	0	0	0
gene-LOC108623124	NW_017147031.1	1422	2931	-	1510	344	276	343	32	144	74
gene-LOC108623126	NW_017147127.1	1	482	-	482	1332	1321	1384	1439	1414	1681
gene-LOC108623127	NW_017147182.1	129	3694	+	3566	842	527	912	520	659	510
gene-LOC108623128	NW_017147248.1	143	3762	+	3620	1	2	3	1	5	3
gene-LOC108623129	NW_017147269.1	260	1239	+	980	3672	2386	3289	1504	1720	1429
gene-LOC108623130	NW_017147273.1	5	285	+	281	0	0	0	0	0	0
gene-LOC113464090	NW_017147282.1	1	216	+	216	0	0	0	0	0	0
gene-LOC108623132	NW_017147345.1	60151	75738	+	15588	2088	1789	1999	2258	2427	2461
gene-LOC108623134	NW_017147345.1	75809	254375	-	178567	2280	1877	2352	2273	2460	2073
gene-LOC108623131	NW_017147345.1	393554	401296	-	7743	399	300	315	202	265	267
gene-LOC108623135	NW_017147346.1	329	11994	+	11666	2796	2085	2430	2375	2240	1853
gene-LOC108623140	NW_017147346.1	14598	18045	-	3448	2927	2567	2930	2144	2126	2479
gene-LOC108623137	NW_017147346.1	83981	93439	-	9459	184	128	162	227	219	87
gene-LOC108623139	NW_017147346.1	110144	114969	+	4826	1356	1117	1337	2134	2025	1523
gene-LOC108623138	NW_017147346.1	130145	343208	-	213064	1734	1547	1606	3152	2773	1444
gene-LOC108623136	NW_017147346.1	378827	384039	-	5213	191	128	185	163	215	144
gene-LOC108623141	NW_017147423.1	535	964	-	430	46	39	47	36	34	20
gene-LOC108623142	NW_017147434.1	3791	4243	+	453	0	0	0	0	0	0
gene-LOC108623144	NW_017147456.1	427	9060	+	8634	12	17	24	39	39	21
gene-LOC108623167	NW_017147566.1	22321	40722	-	18402	6776	4869	6279	6279	7118	6338
gene-LOC108623148	NW_017147566.1	30775	32191	+	1417	0	0	0	0	0	0
gene-LOC108623147	NW_017147566.1	40882	42454	-	1573	705	627	814	676	625	886
gene-LOC108623150	NW_017147566.1	42514	54184	+	11671	1518	1245	1814	2002	1839	1923
gene-LOC108623155	NW_017147566.1	53053	57812	-	4760	1219	892	1202	1035	1138	1169
gene-LOC108623149	NW_017147566.1	57728	61106	+	3379	377	260	446	305	319	308
gene-LOC108623156	NW_017147566.1	62608	68136	-	5529	2112	1970	2048	1928	2057	2088
gene-LOC108623152	NW_017147566.1	68203	70244	+	2042	3793	3309	3709	3385	3222	3972
gene-LOC108623154	NW_017147566.1	70939	73749	+	2811	4921	4215	4714	4497	4578	4147
gene-LOC108623153	NW_017147566.1	76567	79446	-	2880	2063	2054	2273	2164	2179	2331
gene-LOC108623162	NW_017147566.1	79650	81004	-	1355	1182	1084	1255	1125	1140	1412
gene-LOC108623145	NW_017147566.1	81180	81908	+	729	1185	952	1164	904	998	1170
gene-LOC108623161	NW_017147566.1	81850	83806	+	1957	9664	8407	9663	7492	8786	10403
gene-LOC108623163	NW_017147566.1	83805	85060	-	1256	3032	2612	3158	2062	2246	2881
gene-LOC113464092	NW_017147566.1	85139	94930	+	9792	27	19	28	21	20	15
gene-LOC108623159	NW_017147566.1	85426	95012	-	9587	95	70	63	67	72	36
gene-LOC108623160	NW_017147566.1	95608	98574	-	2967	1693	1297	1544	1399	1315	1591
gene-LOC113464091	NW_017147566.1	98040	98503	+	464	0	0	0	0	0	0
gene-LOC108623146	NW_017147566.1	100481	104098	+	3618	3423	3232	3990	3578	3567	3953
gene-LOC108623164	NW_017147566.1	110578	115983	-	5406	3800	3270	4189	3109	3389	3386
gene-LOC108623165	NW_017147566.1	116115	117856	+	1742	470	356	509	403	412	389
gene-LOC108623169	NW_017147566.1	119496	121463	-	1968	4640	4085	4597	4397	4610	5226
gene-LOC108623168	NW_017147566.1	121921	126794	+	4874	3363	2928	3388	2526	2580	2620
gene-LOC113464093	NW_017147566.1	127877	130192	+	2316	188	172	237	140	160	187
gene-LOC108623170	NW_017147567.1	3215	5487	+	2273	2	4	1	2	5	3
gene-LOC108623172	NW_017147567.1	5837	7545	+	1709	23672	21880	22198	12564	12840	12063
gene-LOC108623173	NW_017147567.1	8696	10220	+	1525	783	527	848	1021	1561	1117
gene-LOC108623174	NW_017147567.1	13336	17605	+	4270	10134	9926	8291	5774	6996	8325
gene-LOC108623175	NW_017147567.1	28691	34891	+	6201	414	355	319	327	460	353
gene-LOC108623220	NW_017147567.1	36265	54304	-	18040	14463	12314	13432	17432	17406	15133
gene-LOC108623239	NW_017147567.1	54744	56517	+	1774	16100	14145	14985	12974	14401	16505
gene-LOC108623238	NW_017147567.1	56501	58178	-	1678	1244	1050	957	929	885	1050
gene-LOC108623237	NW_017147567.1	58281	61561	+	3281	2151	1796	2330	1824	1917	2189
gene-LOC108623233	NW_017147567.1	72690	136237	-	63548	2895	2218	2567	4054	3697	1757
gene-LOC113464094	NW_017147567.1	146651	280898	-	134248	569	479	452	580	555	271
gene-LOC113464102	NW_017147567.1	286309	287853	+	1545	10	4	3	0	0	2
gene-LOC113464100	NW_017147567.1	406354	453115	+	46762	130	139	126	159	170	153
gene-LOC108623177	NW_017147567.1	609601	615281	-	5681	10	3	5	42	19	21
gene-LOC108623242	NW_017147567.1	633637	647761	-	14125	6309	6762	5446	7296	9206	7809
gene-LOC113464099	NW_017147567.1	641234	647083	+	5850	0	0	0	0	0	0
gene-LOC108623178	NW_017147567.1	649058	650029	-	972	7	10	11	6	15	7
gene-LOC108623232	NW_017147567.1	653500	655933	-	2434	23961	22725	24436	28751	28811	30630
gene-LOC108623186	NW_017147567.1	656720	660783	+	4064	2281	1701	1987	1572	1612	1960
gene-LOC113464108	NW_017147567.1	661152	661999	-	848	5	2	7	10	3	4
gene-LOC108623179	NW_017147567.1	662212	672026	-	9815	152	68	102	213	80	103
gene-LOC108623192	NW_017147567.1	673626	675579	+	1954	18	9	10	18	16	20
gene-LOC108623241	NW_017147567.1	676617	685092	+	8476	13304	11505	13151	13170	12678	12131
gene-LOC108623217	NW_017147567.1	687067	699584	+	12518	2506	2221	2651	3091	3255	2467
gene-LOC108623219	NW_017147567.1	717450	727370	-	9921	38	31	30	33	33	19
gene-LOC108623218	NW_017147567.1	723453	734789	+	11337	120	89	136	152	119	183
gene-LOC113464095	NW_017147567.1	739251	744713	-	5463	11	26	11	13	17	10
gene-LOC108623180	NW_017147567.1	745316	748226	-	2911	2	0	0	7	6	1
gene-LOC108623188	NW_017147567.1	748965	774908	-	25944	990	556	778	316	356	232
gene-LOC113464103	NW_017147567.1	775267	776945	+	1679	39	17	11	16	11	14
gene-LOC108623234	NW_017147567.1	780769	807386	+	26618	56203	52915	54350	30509	35154	38108
gene-LOC108623236	NW_017147567.1	807999	810210	+	2212	3841	3332	3761	2858	3040	3408
gene-LOC108623235	NW_017147567.1	810257	817009	-	6753	6520	5349	6404	5603	5850	5926
gene-LOC108623246	NW_017147567.1	817811	819889	+	2079	3193	2894	3492	3071	3074	3590
gene-LOC108623245	NW_017147567.1	819925	822979	-	3055	1796	1623	1925	1573	1406	1701
gene-LOC108623189	NW_017147567.1	823079	826355	+	3277	1470	1258	1490	1213	1140	1505
gene-LOC108623243	NW_017147567.1	826579	832232	+	5654	4142	3446	4130	3356	3461	3148
gene-LOC108623247	NW_017147567.1	834519	836370	-	1852	4405	3718	4361	3549	3878	4373
gene-LOC108623248	NW_017147567.1	836376	837727	+	1352	527	429	529	435	431	476
gene-LOC108623249	NW_017147567.1	838690	842287	-	3598	7143	5683	6810	4528	5568	5591
gene-LOC108623229	NW_017147567.1	842737	870468	+	27732	11793	10250	12291	10049	12096	10006
gene-LOC108623181	NW_017147567.1	871337	923532	-	52196	230	197	271	304	311	296
gene-LOC113464096	NW_017147567.1	924270	930046	+	5777	1	2	1	1	0	2
gene-LOC108623185	NW_017147567.1	930177	934392	-	4216	2816	2430	2997	1772	1923	2216
gene-LOC108623226	NW_017147567.1	934743	958586	-	23844	15309	13631	15232	16513	18852	17789
gene-LOC108623228	NW_017147567.1	954366	958779	+	4414	43	18	32	22	30	21
gene-LOC108623227	NW_017147567.1	958973	962756	-	3784	2224	2039	2046	2463	2539	2510
gene-LOC108623194	NW_017147567.1	963023	965653	+	2631	2314	1892	2223	2279	2086	2310
gene-LOC108623195	NW_017147567.1	978555	1009378	-	30824	4471	3363	4165	6505	5725	2641
gene-LOC108623193	NW_017147567.1	1000542	1007661	+	7120	0	0	0	0	0	0
gene-LOC108623231	NW_017147567.1	1009575	1012135	-	2561	27546	26204	29651	28789	29816	30828
gene-LOC108623197	NW_017147567.1	1012654	1021745	-	9092	22686	19274	20376	13877	14543	12909
gene-LOC108623202	NW_017147567.1	1022223	1024047	+	1825	2112	1905	2176	1746	1686	1976
gene-LOC108623204	NW_017147567.1	1024203	1028748	+	4546	1280	888	1217	1295	1303	1170
gene-LOC108623200	NW_017147567.1	1028478	1033488	-	5011	3091	2782	3152	3345	3305	3610
gene-LOC108623199	NW_017147567.1	1033624	1035627	+	2004	1468	1190	1447	1091	1134	1327
gene-LOC108623201	NW_017147567.1	1035588	1036974	-	1387	1872	1738	2000	1884	1827	2263
gene-LOC108623206	NW_017147567.1	1036967	1037862	-	896	956	782	992	1089	948	1085
gene-LOC108623203	NW_017147567.1	1037937	1040191	+	2255	2749	2395	2782	2427	2410	2833
gene-LOC108623182	NW_017147567.1	1040292	1044373	+	4082	185	135	144	121	132	154
gene-LOC108623209	NW_017147567.1	1044505	1057556	-	13052	15968	13047	14317	16166	17520	13441
gene-LOC108623208	NW_017147567.1	1058899	1064097	-	5199	1707	1477	1655	1648	1846	1524
gene-LOC108623207	NW_017147567.1	1064249	1068294	+	4046	182	150	189	186	155	172
gene-LOC108623211	NW_017147567.1	1068208	1069094	-	887	6339	5980	6457	5860	5955	6808
gene-LOC108623216	NW_017147567.1	1069791	1072288	+	2498	3617	3334	3445	3236	3185	3521
gene-LOC108623212	NW_017147567.1	1072385	1081519	-	9135	6832	5795	6630	8001	8395	6380
gene-LOC108623214	NW_017147567.1	1081596	1084693	+	3098	1850	1696	1943	1942	1912	2178
gene-LOC108623213	NW_017147567.1	1084962	1090493	-	5532	6217	5078	5886	4752	5091	4203
gene-LOC108623183	NW_017147567.1	1090563	1094259	+	3697	648	571	547	349	471	471
gene-LOC108623224	NW_017147567.1	1094270	1096897	-	2628	2777	2320	2698	2015	2100	2326
gene-LOC108623223	NW_017147567.1	1096918	1099713	+	2796	4210	4130	4608	4834	4654	5674
gene-LOC108623225	NW_017147567.1	1099816	1102769	+	2954	3101	2484	3448	2778	3320	3767
gene-LOC108623222	NW_017147567.1	1103722	1110027	-	6306	4021	3504	3559	3441	3494	3136
gene-LOC108623184	NW_017147567.1	1112398	1117235	+	4838	21	1175	72	29	23	22
gene-LOC113464097	NW_017147567.1	1117215	1117521	+	307	3	83	5	1	2	3
gene-LOC108623191	NW_017147567.1	1119988	1124956	+	4969	5927	4974	5233	7556	8719	8547
gene-LOC113464104	NW_017147567.1	1125477	1127849	-	2373	65	38	45	64	52	63
gene-LOC108623190	NW_017147567.1	1133449	1141505	+	8057	9825	8691	9565	13231	15492	15155
gene-LOC108623250	NW_017147568.1	326	721	+	396	109	83	97	74	81	62
gene-LOC113464109	NW_017147579.1	5060	5845	-	786	9	2	8	0	1	1
gene-Trnam-cau-2	NW_017147614.1	96	168	-	73	0	0	0	0	0	0
gene-LOC113464110	NW_017147622.1	1190	1810	+	621	0	0	0	0	0	0
gene-LOC113464112	NW_017147622.1	1807	2693	-	887	17	7	10	7	12	5
gene-LOC113464113	NW_017147676.1	21473	67227	-	45755	91	65	70	86	97	43
gene-LOC113464114	NW_017147679.1	166	2850	-	2685	13	18	10	22	21	18
gene-LOC113464115	NW_017147774.1	105	1355	-	1251	3	1	5	7	9	3
gene-LOC108623257	NW_017147785.1	1213	5461	+	4249	3929	2576	5926	1889	2207	1970
gene-LOC108623256	NW_017147785.1	5508	17753	-	12246	10574	10739	11602	14745	15060	16244
gene-LOC108623255	NW_017147785.1	20116	21257	+	1142	1465	1258	1295	1134	1173	1450
gene-LOC108623254	NW_017147785.1	21366	29630	+	8265	846	612	871	762	732	922
gene-LOC108623252	NW_017147785.1	29680	30819	-	1140	4594	3974	4538	3741	3990	4593
gene-LOC108623258	NW_017147819.1	1280	2522	-	1243	2818	2545	2888	24	772	44
gene-LOC108623259	NW_017147830.1	8	1664	+	1657	154	92	162	132	176	111
gene-LOC108623261	NW_017147841.1	1831	2898	-	1068	177	40	67	3	42	3
gene-LOC108623262	NW_017147896.1	433	1425	+	993	0	1	1	0	1	0
gene-LOC108623263	NW_017148003.1	204	10663	-	10460	1080	821	1098	827	874	830
gene-LOC113464118	NW_017148003.1	7510	8492	+	983	0	0	0	0	0	0
gene-LOC108623269	NW_017148003.1	11855	20012	-	8158	1165	903	1175	927	1056	1104
gene-LOC108623270	NW_017148003.1	14858	16191	+	1334	0	0	0	0	0	0
gene-LOC113464119	NW_017148003.1	16516	17659	+	1144	0	0	0	0	0	0
gene-LOC108623267	NW_017148003.1	20033	25416	+	5384	7790	6584	7640	7053	7107	7381
gene-LOC108623265	NW_017148003.1	30235	32781	-	2547	1702	1588	1918	1816	1727	1882
gene-LOC108623273	NW_017148003.1	37338	60198	+	22861	5376	5478	5355	6591	7359	7240
gene-Trnar-ucg-2	NW_017148003.1	53315	53387	+	73	0	0	0	0	0	0
gene-LOC108623274	NW_017148003.1	60777	62315	-	1539	7288	6157	6705	5621	6547	7632
gene-LOC108623277	NW_017148003.1	62937	69594	+	6658	1626	1396	1532	1470	1635	1540
gene-LOC113464117	NW_017148003.1	64064	67613	-	3550	0	0	0	0	0	0
gene-LOC108623264	NW_017148003.1	72982	75524	-	2543	941	801	851	677	724	780
gene-LOC113464116	NW_017148003.1	75612	77786	-	2175	1445	1202	1519	1733	1434	1614
gene-LOC108623272	NW_017148003.1	77791	79917	+	2127	646	534	636	711	563	652
gene-LOC108623271	NW_017148003.1	80429	92753	+	12325	525	429	591	988	861	901
gene-LOC108623266	NW_017148003.1	92925	95379	-	2455	6110	8195	5333	17603	13790	17694
gene-LOC108623276	NW_017148003.1	102815	105595	-	2781	2849	2298	2828	2806	2834	3496
gene-LOC108623275	NW_017148003.1	105242	110022	+	4781	2182	1831	2270	2019	2094	2250
gene-LOC108623280	NW_017148004.1	15256	51292	-	36037	2323	1944	2220	2563	2654	2669
gene-LOC108623284	NW_017148004.1	51540	53420	+	1881	998	848	1031	918	909	1072
gene-LOC108623283	NW_017148004.1	53515	60444	+	6930	1732	1479	1702	1557	1592	1665
gene-LOC108623285	NW_017148004.1	60704	70970	+	10267	4160	3570	3781	3940	4130	2835
gene-LOC108623281	NW_017148004.1	92684	93291	+	608	1	3	0	1	0	5
gene-LOC108623282	NW_017148004.1	119380	122952	+	3573	13	21	17	42	29	23
gene-LOC108623296	NW_017148112.1	3296	56597	+	53302	85	74	94	116	111	56
gene-LOC113464121	NW_017148112.1	7776	7867	+	92	0	0	0	0	0	0
gene-LOC113464120	NW_017148112.1	17339	58889	-	41551	0	6	0	1	1	0
gene-LOC108623298	NW_017148112.1	56675	58994	+	2320	8	4	9	4	5	8
gene-LOC108623301	NW_017148112.1	59202	64412	+	5211	2687	2296	2659	2437	2558	2510
gene-LOC108623302	NW_017148112.1	64388	67512	-	3125	2265	1905	2304	2013	2227	2468
gene-LOC108623311	NW_017148112.1	68102	73397	-	5296	1896	1632	1824	1859	1864	1664
gene-LOC108623306	NW_017148112.1	73505	75056	+	1552	1973	1714	1867	1650	1720	2024
gene-LOC108623305	NW_017148112.1	75149	80289	+	5141	3931	3440	3834	3237	3099	3175
gene-LOC108623288	NW_017148112.1	80430	83373	+	2944	1709	1509	1677	1653	1646	1807
gene-LOC108623303	NW_017148112.1	83806	88235	+	4430	9690	8106	9900	8162	8166	8602
gene-LOC108623304	NW_017148112.1	92217	96753	+	4537	14033	17550	15089	26673	23865	22827
gene-LOC108623310	NW_017148112.1	97166	102953	+	5788	2646	2208	2694	2501	2491	2355
gene-LOC108623300	NW_017148112.1	103710	110807	+	7098	29279	28946	32526	34250	33636	33656
gene-LOC108623299	NW_017148112.1	110846	115979	-	5134	236	245	267	202	257	334
gene-LOC108623309	NW_017148112.1	117325	132999	+	15675	4163	4024	4980	3866	4413	3862
gene-LOC108623289	NW_017148112.1	133101	139028	+	5928	1438	1319	1501	1697	1485	1747
gene-LOC108623287	NW_017148112.1	139119	144763	-	5645	15	17	17	41	32	50
gene-LOC108623307	NW_017148112.1	145897	150650	+	4754	531	500	624	577	692	714
gene-LOC108623308	NW_017148112.1	150674	153057	-	2384	1823	1647	1767	1963	1853	2009
gene-LOC108623290	NW_017148112.1	153346	155212	+	1867	1882	1504	1895	1552	1639	1583
gene-LOC108623293	NW_017148112.1	156359	159378	-	3020	1511	1332	1735	1065	1208	1232
gene-LOC108623295	NW_017148112.1	159672	160510	+	839	819	641	835	702	748	626
gene-LOC108623292	NW_017148112.1	160493	164629	+	4137	6214	5121	5848	5383	5276	5658
gene-LOC108623294	NW_017148112.1	164379	165663	-	1285	3707	3556	3413	6254	5299	5542
gene-LOC108623291	NW_017148112.1	165876	173125	-	7250	8531	6808	7606	16413	13641	10996
gene-LOC108623312	NW_017148113.1	432	2169	-	1738	3601	3190	2889	2287	2531	2738
gene-LOC108623313	NW_017148113.1	2392	3851	+	1460	88	71	85	42	42	84
gene-LOC108623353	NW_017148113.1	5200	7080	+	1881	4920	5479	8452	5960	5520	3263
gene-LOC108623352	NW_017148113.1	7061	10297	-	3237	4078	3860	4174	2867	3236	3340
gene-LOC108623321	NW_017148113.1	13744	16251	+	2508	80	52	100	78	48	133
gene-LOC108623347	NW_017148113.1	20999	29277	-	8279	2606	2152	2520	2331	2492	2413
gene-LOC108623355	NW_017148113.1	29395	30216	+	822	114	157	136	90	93	78
gene-LOC108623354	NW_017148113.1	30228	34764	+	4537	2312	1683	2057	1837	2009	2212
gene-LOC108623344	NW_017148113.1	38308	46777	-	8470	3176	2584	3021	3739	3534	2384
gene-LOC108623356	NW_017148113.1	46886	50132	-	3247	6374	5721	6369	4769	5011	5568
gene-LOC108623320	NW_017148113.1	51133	54486	+	3354	2142	1809	2238	1504	1525	1994
gene-Trnag-gcc	NW_017148113.1	54533	54603	-	71	4	7	4	2	1	4
gene-Trnad-guc-2	NW_017148113.1	55815	55886	-	72	5	3	7	5	4	3
gene-LOC108623314	NW_017148113.1	56226	63234	+	7009	16471	14772	15626	12880	13866	15307
gene-LOC108623339	NW_017148113.1	63225	66355	-	3131	1306	1218	1525	1235	1106	1230
gene-LOC108623334	NW_017148113.1	66817	70278	-	3462	724	643	843	715	630	748
gene-LOC108623335	NW_017148113.1	70477	72408	+	1932	643	575	749	645	690	726
gene-LOC108623315	NW_017148113.1	72501	73602	+	1102	66	68	91	54	75	72
gene-LOC108623336	NW_017148113.1	73613	78939	-	5327	5841	5657	6320	5715	5359	5560
gene-LOC108623342	NW_017148113.1	79996	81717	+	1722	1160	1010	1196	972	1012	1124
gene-LOC108623343	NW_017148113.1	81543	84106	-	2564	682	505	607	627	658	522
gene-LOC108623340	NW_017148113.1	84167	87494	+	3328	4330	3897	4692	3450	3794	3871
gene-LOC108623346	NW_017148113.1	88582	90511	+	1930	140	110	140	155	108	152
gene-LOC108623345	NW_017148113.1	90645	113250	-	22606	3690	3046	3065	3335	3985	3667
gene-LOC108623333	NW_017148113.1	116356	119964	+	3609	3979	3481	4197	3723	4147	4363
gene-LOC108623332	NW_017148113.1	119973	132072	-	12100	4527	3664	4190	3887	3713	3385
gene-LOC108623329	NW_017148113.1	132233	146039	+	13807	7240	6594	6896	4691	5490	4843
gene-LOC108623331	NW_017148113.1	140085	141300	-	1216	0	0	0	0	0	0
gene-LOC108623316	NW_017148113.1	146038	160460	-	14423	4365	3891	5737	4043	3406	3234
gene-LOC108623318	NW_017148113.1	160561	163189	-	2629	785	652	907	616	714	857
gene-LOC108623351	NW_017148113.1	163687	169956	+	6270	1679	1367	1468	1534	1703	1064
gene-LOC108623350	NW_017148113.1	176113	179444	+	3332	2436	1897	2174	1773	2062	2274
gene-LOC108623349	NW_017148113.1	179475	182256	-	2782	2804	2314	2782	2246	2339	2515
gene-LOC108623337	NW_017148113.1	183041	225866	+	42826	2842	2477	2669	2993	2931	2539
gene-LOC108623338	NW_017148113.1	226239	232288	+	6050	473	431	495	635	515	538
gene-LOC108623323	NW_017148113.1	232320	233871	-	1552	293	297	331	549	469	439
gene-LOC108623317	NW_017148113.1	234215	248060	+	13846	691	483	659	1022	852	398
gene-LOC108623324	NW_017148113.1	249449	276509	+	27061	10728	11764	11987	14005	13884	12348
gene-LOC113464123	NW_017148113.1	255886	259929	-	4044	0	0	0	0	0	0
gene-LOC113464122	NW_017148113.1	266799	269210	+	2412	0	0	0	0	0	0
gene-LOC108623328	NW_017148113.1	278462	293962	-	15501	735	742	866	921	1026	1078
gene-LOC108623325	NW_017148113.1	282891	289138	+	6248	0	0	0	0	0	0
gene-LOC108623326	NW_017148113.1	290654	293787	+	3134	0	0	0	0	0	0
gene-LOC108623327	NW_017148113.1	294252	298251	-	4000	685	710	730	858	856	890
gene-LOC108623360	NW_017148147.1	2000	2781	-	782	0	0	0	0	0	0
gene-LOC113464124	NW_017148201.1	892	1942	-	1051	2	2	3	3	3	2
gene-LOC113464125	NW_017148212.1	35	806	+	772	14	7	9	6	9	8
gene-LOC108623361	NW_017148224.1	80	1433	+	1354	376	342	415	340	334	302
gene-LOC108623362	NW_017148255.1	7	279	+	273	0	0	0	0	0	0
gene-LOC108623363	NW_017148261.1	7	277	+	271	0	0	0	0	0	0
gene-LOC108623364	NW_017148265.1	5	272	-	268	0	0	0	0	0	0
gene-LOC108623365	NW_017148298.1	18	1526	-	1509	50	60	48	122	154	115
gene-LOC108623366	NW_017148298.1	1623	2516	-	894	873	891	1000	583	754	914
gene-LOC108623367	NW_017148320.1	5	3794	+	3790	1520	1124	1428	1297	1252	1493
gene-LOC108623371	NW_017148331.1	158	2661	+	2504	1929	2045	2183	524	530	740
gene-LOC108623370	NW_017148331.1	2923	12607	-	9685	327	290	329	163	120	211
gene-LOC108623372	NW_017148331.1	15130	62888	+	47759	1593	1399	1519	1170	1279	1431
gene-LOC108623373	NW_017148331.1	16750	25207	-	8458	0	0	0	0	0	0
gene-LOC108623368	NW_017148331.1	66076	144818	+	78743	211	203	213	219	220	207
gene-Trnas-uga-2	NW_017148331.1	113094	113177	-	84	0	0	0	0	0	0
gene-LOC108623378	NW_017148332.1	2733	7334	-	4602	107	95	73	107	109	154
