# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "/work/02260/grovesd/lonestar/chimp_genome/Pan_troglodytes.Pan_tro_3.0.99.gff3" "-p" "-t" "gene" "-g" "ID" "-o" "feature_counts_out.tsv" "-T" "48" "--primary" "chimp4x0516_heart_rna_dupsRemoved.bam" "chimp4x0516_kidney_rna_dupsRemoved.bam" "chimp4x0516_liver_rna_dupsRemoved.bam" "chimp4x0516_lung_rna_dupsRemoved.bam" "chimp4x0519_heart_rna_dupsRemoved.bam" "chimp4x0519_kidney_rna_dupsRemoved.bam" "chimp4x0519_liver_rna_dupsRemoved.bam" "chimp4x0519_lung_rna_dupsRemoved.bam" "chimpYN07-147_heart_rna_dupsRemoved.bam" "chimpYN07-147_kidney_rna_dupsRemoved.bam" "chimpYN07-147_liver_rna_dupsRemoved.bam" "chimpYN07-147_lung_rna_dupsRemoved.bam" "chimpYN07-387_heart_rna_dupsRemoved.bam" "chimpYN07-387_kidney_rna_dupsRemoved.bam" "chimpYN07-387_liver_rna_dupsRemoved.bam" "chimpYN07-387_lung_rna_dupsRemoved.bam" 
Geneid	Chr	Start	End	Strand	Length	chimp4x0516_heart_rna_dupsRemoved.bam	chimp4x0516_kidney_rna_dupsRemoved.bam	chimp4x0516_liver_rna_dupsRemoved.bam	chimp4x0516_lung_rna_dupsRemoved.bam	chimp4x0519_heart_rna_dupsRemoved.bam	chimp4x0519_kidney_rna_dupsRemoved.bam	chimp4x0519_liver_rna_dupsRemoved.bam	chimp4x0519_lung_rna_dupsRemoved.bam	chimpYN07-147_heart_rna_dupsRemoved.bam	chimpYN07-147_kidney_rna_dupsRemoved.bam	chimpYN07-147_liver_rna_dupsRemoved.bam	chimpYN07-147_lung_rna_dupsRemoved.bam	chimpYN07-387_heart_rna_dupsRemoved.bam	chimpYN07-387_kidney_rna_dupsRemoved.bam	chimpYN07-387_liver_rna_dupsRemoved.bam	chimpYN07-387_lung_rna_dupsRemoved.bam
gene:ENSPTRG00000043685	16	707049	712232	-	5184	6	42	7	42	13	38	6	9	6	14	3	4	3	12	6	16
gene:ENSPTRG00000052325	16	713983	719283	-	5301	190	483	192	430	125	380	158	263	171	192	180	288	90	331	265	377
gene:ENSPTRG00000007548	16	719290	730078	+	10789	1215	2440	721	667	631	2160	394	462	886	1116	890	369	679	2016	1108	729
gene:ENSPTRG00000007547	16	721032	721912	-	881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSPTRG00000007549	16	730646	749219	+	18574	592	2959	566	2119	468	2254	460	763	651	1130	312	1142	367	1835	661	1188
gene:ENSPTRG00000007551	16	749586	754861	+	5276	1679	2002	751	1521	1217	1885	729	1507	1432	1263	913	1575	1143	1692	1058	1801
gene:ENSPTRG00000007552	16	755552	759535	+	3984	40	224	13	128	103	387	55	102	88	116	32	106	40	349	35	140
gene:ENSPTRG00000007553	16	761355	763972	+	2618	4	11	9	6	7	14	4	3	6	4	4	7	4	9	9	10
gene:ENSPTRG00000051538	16	761497	763254	-	1758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSPTRG00000045228	16	762879	765846	-	2968	448	588	305	412	322	529	266	303	352	378	296	295	287	415	371	487
gene:ENSPTRG00000007554	16	765977	771704	-	5728	311	551	367	541	290	628	273	349	310	414	304	455	203	497	497	565
gene:ENSPTRG00000007555	16	773773	786837	-	13065	11	44	28	38	20	129	94	19	23	51	80	15	17	65	63	21
gene:ENSPTRG00000043779	16	794560	800566	+	6007	257	518	181	408	266	658	228	228	386	641	467	306	261	745	402	410
gene:ENSPTRG00000007558	16	801403	803477	+	2075	161	208	78	135	100	219	63	94	158	162	105	113	126	192	110	180
gene:ENSPTRG00000044934	16	803469	807554	-	4086	20	267	7	925	55	216	21	208	46	138	12	305	23	197	11	224
gene:ENSPTRG00000007560	16	807818	810613	+	2796	190	367	8	266	161	255	19	97	243	254	15	135	203	381	27	343
gene:ENSPTRG00000007561	16	810651	822312	-	11662	943	1819	721	1787	578	1639	442	765	640	855	403	651	552	1475	675	1069
gene:ENSPTRG00000007563	16	858698	863603	+	4906	26	92	2	3437	16	11	22	1486	99	14	16	1628	6	28	6	3339
gene:ENSPTRG00000007564	16	869487	883686	-	14200	15	22	2	3658	3	11	4	127	5	5	3	202	8	5	5	1121
gene:ENSPTRG00000007565	16	885327	891473	-	6147	223	627	269	581	122	279	70	294	128	146	91	197	77	254	169	323
gene:ENSPTRG00000043562	16	888479	898166	+	9688	134	432	163	402	100	186	82	271	14	8	8	37	79	171	95	388
gene:ENSPTRG00000043935	16	898950	904441	-	5492	12	71	11	82	4	12	2	5	1	2	0	5	8	7	4	17
gene:ENSPTRG00000007568	16	905878	914296	+	8419	18	44	9	21	18	60	10	24	29	34	16	18	14	20	12	28
gene:ENSPTRG00000007569	16	968813	1106698	-	137886	1055	1881	394	1811	1007	2158	867	1365	1359	1853	834	2594	1017	2104	1173	2517
gene:ENSPTRG00000007570	16	1117336	1122626	+	5291	105	34	1	7	131	27	6	8	118	44	4	9	43	20	6	16
gene:ENSPTRG00000044619	16	1230019	1232482	+	2464	31	4	1	1	0	0	0	0	1	1	0	0	0	0	0	0
gene:ENSPTRG00000007577	16	1244151	1247700	-	3550	0	0	0	4	1	0	0	0	0	0	2	1	0	0	0	2
gene:ENSPTRG00000007580	16	1352666	1379093	+	26428	750	785	254	1137	626	266	1002	759	579	354	1442	610	487	229	2602	786
gene:ENSPTRG00000052026	16	1379887	1383389	-	3503	53	48	1	81	46	17	5	34	48	19	17	36	23	8	8	54
gene:ENSPTRG00000007584	16	1385872	1393542	-	7671	202	93	2	277	711	59	48	823	599	144	102	783	148	127	22	1155
gene:ENSPTRG00000007587	16	1464698	1484396	+	19699	1761	2778	920	2989	1485	2013	1030	1890	1723	1643	846	2785	1140	1973	1236	2725
gene:ENSPTRG00000007588	16	1492009	1505700	+	13692	167	241	232	244	117	307	272	232	189	277	772	558	173	266	680	285
gene:ENSPTRG00000007589	16	1506452	1509119	-	2668	141	179	110	117	118	218	122	149	153	175	159	139	109	173	154	144
gene:ENSPTRG00000007590	16	1507244	1545455	+	38212	796	1505	764	1044	606	1428	748	790	772	1032	745	1130	448	1146	876	1003
gene:ENSPTRG00000049802	16	1544944	1545378	-	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSPTRG00000007591	16	1545309	1594836	-	49528	1032	1089	516	1359	684	763	407	544	868	598	334	1347	550	697	461	1001
gene:ENSPTRG00000007592	16	1599764	1601147	-	1384	140	272	166	148	150	208	111	135	223	151	110	141	127	177	141	201
gene:ENSPTRG00000052156	16	1612661	1613452	+	792	1	2	0	0	1	0	0	0	0	0	0	0	0	1	0	1
gene:ENSPTRG00000023886	16	1614440	1624794	-	10355	89	167	20	90	150	327	129	226	163	244	105	347	69	267	98	277
gene:ENSPTRG00000007594	16	1624885	1655995	-	31111	1485	3266	1504	2618	1381	2718	1403	1947	1355	1893	1272	2797	901	2569	1993	3323
gene:ENSPTRG00000007595	16	1665937	1669748	-	3812	5	5	1	8	14	24	4	10	6	5	1	18	2	6	6	11
gene:ENSPTRG00000007596	16	1673687	1699299	+	25613	444	718	278	591	475	770	297	662	425	502	313	770	260	673	352	772
gene:ENSPTRG00000007600	16	1699786	1796679	-	96894	873	2184	381	2278	895	2621	642	2066	1256	2031	566	2582	664	2004	552	2562
gene:ENSPTRG00000031314	16	1722086	1746119	+	24034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSPTRG00000007602	16	1802098	1867586	+	65489	1729	2387	845	2758	1399	2158	969	1520	1730	1647	645	2983	1060	1765	1016	2574
gene:ENSPTRG00000034459	16	1867827	1891364	+	23538	754	2367	839	1246	853	2206	1182	1007	1218	1818	867	1147	578	1795	946	1398
gene:ENSPTRG00000007603	16	1896313	1958744	+	62432	2666	5742	1731	3834	2326	3581	1551	1765	2277	2523	1384	3462	1795	2883	1880	2930
gene:ENSPTRG00000007605	16	1960217	1961645	-	1429	301	472	163	465	315	524	165	430	404	392	300	518	296	554	238	586
gene:ENSPTRG00000007606	16	1961786	1963036	-	1251	685	754	556	592	521	814	511	592	670	664	641	461	551	740	695	754
gene:ENSPTRG00000007607	16	1963086	1966522	+	3437	109	324	96	188	60	250	70	81	82	158	72	148	53	181	87	156
gene:ENSPTRG00000007608	16	1966607	1972361	-	5755	1373	2375	1200	2419	984	2594	986	1746	1242	1690	1134	1701	949	2037	1286	1998
gene:ENSPTRG00000007609	16	1972920	1979113	+	6194	550	853	519	630	402	852	415	627	583	655	668	617	348	693	637	826
gene:ENSPTRG00000007610	16	1980341	1984804	-	4464	22	137	860	98	70	157	1114	156	10	76	1447	34	44	96	2253	138
gene:ENSPTRG00000007611	16	1998921	2026321	-	27401	1502	2346	2828	1437	1525	2703	2010	1324	1713	1890	2258	1468	1490	2256	2702	1568
gene:ENSPTRG00000046890	16	2026357	2038350	+	11994	770	1587	1133	454	596	1559	756	509	756	1529	807	567	658	1353	1068	655
gene:ENSPTRG00000007612	16	2033002	2071859	-	38858	329	489	195	249	230	376	149	184	322	356	242	234	226	293	156	163
gene:ENSPTRG00000024355	16	2135762	2139817	-	4056	312	749	461	136	177	585	378	176	178	383	474	181	152	459	446	212
gene:ENSPTRG00000007617	16	2141225	2151643	-	10419	1911	8	6	8	1388	31	0	13	1583	3	8	11	1564	6	5	61
gene:ENSPTRG00000007618	16	2156213	2158494	+	2282	976	916	527	664	871	1056	472	778	981	831	527	614	785	740	522	700
gene:ENSPTRG00000052871	16	2158647	2161413	-	2767	1075	1156	931	1415	936	1318	1004	1439	1051	973	891	1387	820	930	830	1223
gene:ENSPTRG00000007620	16	2163234	2165582	+	2349	1	11	14	9	2	11	13	5	10	9	14	11	11	15	13	13
gene:ENSPTRG00000007621	16	2168768	2175292	+	6525	537	812	506	695	472	836	414	742	485	560	412	764	344	630	585	937
gene:ENSPTRG00000023021	16	2175518	2179357	-	3840	6	76	45	50	8	92	33	13	11	35	65	9	7	81	70	41
gene:ENSPTRG00000045515	16	2178403	2184346	+	5944	598	1062	455	748	434	1006	391	490	477	663	558	450	345	716	605	606
gene:ENSPTRG00000007624	16	2186406	2190895	+	4490	7	87	7	43	32	63	11	37	26	44	10	36	3	53	13	51
gene:ENSPTRG00000007625	16	2194279	2206435	-	12157	903	1638	1157	1862	777	1452	886	1357	845	799	970	1947	595	1304	1469	1737
gene:ENSPTRG00000007626	16	2217924	2219105	+	1182	1	1	0	0	0	7	9	3	3	5	13	1	2	3	3	4
gene:ENSPTRG00000007627	16	2225092	2237715	+	12624	3273	2223	1642	2515	2104	1816	1156	3849	5517	2717	2171	4581	2207	2144	1907	3705
gene:ENSPTRG00000007628	16	2238504	2246600	-	8097	319	366	204	548	191	287	179	481	312	317	406	517	184	308	364	567
gene:ENSPTRG00000031311	16	2247307	2294194	+	46888	2577	4206	2281	3146	1833	4197	1604	2347	2498	2980	1797	3909	1737	3213	2368	3419
gene:ENSPTRG00000050693	16	2295303	2327365	-	32063	4316	3514	829	3806	3571	2770	996	3648	4353	1636	748	4500	2686	1969	1204	4862
gene:ENSPTRG00000007634	16	2343734	2353075	+	9342	356	352	228	153	370	316	637	100	592	173	1402	187	564	275	1025	179
gene:ENSPTRG00000007635	16	2354692	2375693	+	21002	887	1839	1208	1967	1002	1790	1436	1914	1036	1305	1601	2309	610	1376	1977	2079
gene:ENSPTRG00000007645	16	2376122	2394005	-	17884	21	25	4	5	31	17	5	5	12	10	5	10	15	16	4	8
gene:ENSPTRG00000007637	16	2402224	2406995	+	4772	519	669	273	536	400	678	244	469	517	491	362	496	364	556	403	592
gene:ENSPTRG00000007638	16	2406827	2409162	-	2336	82	117	14	102	89	227	54	178	152	145	46	165	89	221	41	218
gene:ENSPTRG00000038980	16	2409557	2412397	-	2841	421	327	157	251	242	207	78	159	297	198	106	143	303	231	116	211
gene:ENSPTRG00000007641	16	2420044	2432302	+	12259	1037	1508	638	1601	780	1345	517	1146	810	797	560	1520	582	1143	819	1574
gene:ENSPTRG00000007643	16	2433377	2435000	+	1624	11	26	2	17	45	104	25	72	55	60	35	92	17	88	15	77
gene:ENSPTRG00000007644	16	2436473	2448418	-	11946	1213	1139	780	649	765	1422	528	526	938	999	833	619	678	971	818	676
gene:ENSPTRG00000031310	16	2449920	2465439	-	15520	909	1359	498	1514	778	1236	712	1108	896	909	457	1457	575	1007	588	1214
gene:ENSPTRG00000007646	16	2450245	2452721	+	2477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSPTRG00000007647	16	2476436	2558034	-	81599	578	745	41	11586	443	623	85	6173	615	347	81	3236	313	411	78	7497
gene:ENSPTRG00000007649	16	2659613	2687184	+	27572	233	252	23	85	458	614	167	271	531	455	236	345	455	442	196	355
gene:ENSPTRG00000007650	16	2690245	2695147	+	4903	31	58	6	13	39	91	30	56	71	48	25	33	33	73	22	71
gene:ENSPTRG00000007651	16	2701940	2704792	+	2853	0	3	0	2	10	11	3	5	4	4	5	11	2	13	7	5
gene:ENSPTRG00000007652	16	2705754	2736369	+	30616	466	2028	550	1149	508	1972	986	1052	629	1676	1005	1286	345	1950	1390	1777
gene:ENSPTRG00000007653	16	2744342	2750803	+	6462	984	1444	687	1333	952	1773	746	1430	829	1235	653	1377	823	1532	1010	1603
gene:ENSPTRG00000007654	16	2750932	2761246	+	10315	446	1230	371	729	487	2042	543	944	451	1059	327	980	241	1348	590	1280
gene:ENSPTRG00000007655	16	2830442	2871638	+	41197	1457	2947	840	2349	1016	2325	881	1267	1419	1951	663	2291	960	2500	1258	2258
gene:ENSPTRG00000007659	16	2900543	2927079	+	26537	921	1117	375	1353	510	915	424	628	716	788	299	973	361	665	357	838
gene:ENSPTRG00000007661	16	2930384	2938616	-	8233	13	31	5	48	11	13	7	31	13	15	3	30	12	31	10	48
gene:ENSPTRG00000007662	16	2969550	2989220	+	19671	7705	9425	6972	10140	7639	10829	7373	8565	7977	8654	6327	11194	6460	9740	9402	11565
gene:ENSPTRG00000007663	16	2989279	2995036	-	5758	437	444	292	444	310	463	228	424	357	353	285	292	313	386	275	425
gene:ENSPTRG00000048642	16	3015470	3024119	+	8650	932	1825	684	1740	1034	1366	630	1237	900	855	618	1326	560	1086	754	1422
gene:ENSPTRG00000047880	16	3033817	3039280	+	5464	2	2	1	2	2	4	1	4	1	2	3	3	1	4	1	16
gene:ENSPTRG00000007666	16	3050599	3055154	+	4556	0	0	2	5	0	10	5	4	3	0	0	1	1	0	1	1
gene:ENSPTRG00000044178	16	3056089	3056403	-	315	0	1	0	1	0	0	2	0	0	0	1	2	0	0	0	0
gene:ENSPTRG00000047203	16	3063323	3065690	+	2368	0	8	4	88	0	0	17	28	0	0	3	15	0	1	2	7
gene:ENSPTRG00000007669	16	3107429	3113328	-	5900	4	228	9	235	3	122	18	82	2	51	12	77	0	118	10	145
gene:ENSPTRG00000007670	16	3143391	3159905	+	16515	418	424	167	488	465	622	194	921	608	436	182	1361	462	516	150	920
gene:ENSPTRG00000007671	16	3172414	3217881	+	45468	1650	2634	758	1454	1301	1945	593	1341	1496	1162	529	1694	1051	1516	761	1726
gene:ENSPTRG00000007672	16	3231878	3236644	+	4767	2	6	2	6	0	1	1	2	4	2	3	8	0	2	1	2
gene:ENSPTRG00000007674	16	3236587	3248672	-	12086	27	96	82	39	26	43	95	65	59	20	53	41	11	38	61	85
gene:ENSPTRG00000040616	16	3237500	3241732	+	4233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSPTRG00000049969	16	3256496	3269018	+	12523	38	64	155	45	26	172	199	50	54	25	140	42	19	68	118	114
gene:ENSPTRG00000043759	16	3280940	3281290	+	351	1	1	1	4	6	7	8	11	5	2	1	4	2	1	4	6
gene:ENSPTRG00000052009	16	3281594	3282247	+	654	1	5	1	2	4	3	17	5	5	0	2	4	2	2	3	3
gene:ENSPTRG00000044381	16	3283379	3284245	-	867	2	0	0	3	0	3	3	2	0	0	0	0	0	1	0	0
gene:ENSPTRG00000007678	16	3288445	3290611	+	2167	256	491	130	672	511	726	557	440	696	168	59	338	300	431	152	565
gene:ENSPTRG00000007679	16	3290853	3292514	-	1662	380	546	82	344	377	501	134	423	330	385	177	281	279	385	141	389
gene:ENSPTRG00000007680	16	3292259	3295978	+	3720	94	291	109	550	147	321	126	402	138	171	122	250	76	210	127	282
gene:ENSPTRG00000007681	16	3295904	3305561	-	9658	0	150	6	557	4	119	29	163	6	22	8	140	2	78	3	307
gene:ENSPTRG00000007682	16	3314432	3328750	+	14319	866	509	363	265	664	386	859	772	903	525	638	1169	423	483	828	876
gene:ENSPTRG00000007683	16	3333366	3352811	+	19446	380	1183	1404	579	619	721	2481	1134	696	781	1538	1039	484	902	1771	1025
gene:ENSPTRG00000007684	16	3359730	3371006	-	11277	7	7	1	6	3	8	7	9	2	1	7	1	2	1	1	7
gene:ENSPTRG00000007686	16	3382375	3391276	+	8902	291	526	206	442	275	467	169	433	368	242	182	253	233	363	220	396
gene:ENSPTRG00000007687	16	3405691	3414262	+	8572	151	258	39	155	92	215	62	134	145	138	82	132	81	132	56	157
gene:ENSPTRG00000007689	16	3486137	3500774	-	14638	168	200	69	214	134	145	98	187	142	109	51	249	53	128	69	211
gene:ENSPTRG00000007690	16	3504642	3520853	-	16212	69	30	71	124	62	42	51	116	20	19	19	487	15	42	70	251
gene:ENSPTRG00000007692	16	3546810	3554869	+	8060	511	961	404	847	542	1023	541	976	620	800	419	1090	358	759	505	914
gene:ENSPTRG00000007693	16	3558843	3560492	-	1650	317	262	103	202	169	328	124	274	213	220	94	304	101	176	66	202
gene:ENSPTRG00000007694	16	3565385	3578427	+	13043	695	1032	378	1118	389	755	397	517	614	750	385	832	392	573	413	640
gene:ENSPTRG00000041438	16	3632548	3632634	-	87	0	2	0	0	0	0	0	0	1	0	0	1	0	1	0	1
gene:ENSPTRG00000007696	16	3642990	3661935	-	18946	631	759	308	701	373	695	316	535	405	445	167	483	235	387	236	452
gene:ENSPTRG00000043340	16	3643809	3644144	+	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSPTRG00000007698	16	3661998	3670309	+	8312	372	486	209	282	303	457	168	236	436	505	288	324	232	315	222	307
gene:ENSPTRG00000007699	16	3696986	3704246	-	7261	41	92	35	138	32	68	47	65	37	46	16	107	21	48	32	73
gene:ENSPTRG00000007700	16	3704656	3745123	+	40468	639	1081	568	772	538	1174	531	552	471	745	465	740	440	1058	954	700
gene:ENSPTRG00000043232	16	3743781	3747157	+	3377	629	1019	748	790	502	1169	514	757	542	733	853	580	414	955	873	898
gene:ENSPTRG00000034133	16	3754027	3755609	-	1583	0	2	0	1	1	2	0	2	1	0	2	0	0	2	0	1
gene:ENSPTRG00000051052	16	3756391	3756972	+	582	47	64	43	56	76	92	33	98	43	43	41	44	62	73	65	88
gene:ENSPTRG00000007702	16	3761136	3796585	+	35450	341	707	141	473	331	770	350	422	463	688	200	493	321	601	239	414
gene:ENSPTRG00000007703	16	3798769	3837622	-	38854	250	311	101	349	266	361	213	474	464	510	198	1324	219	445	175	689
gene:ENSPTRG00000007706	16	3841002	3870799	-	29798	335	319	86	360	206	230	116	204	235	248	145	373	225	281	166	389
gene:ENSPTRG00000007707	16	3870989	3924672	+	53684	152	1171	50	140	146	981	132	159	226	660	129	400	138	629	143	288
gene:ENSPTRG00000007708	16	3917158	3982653	-	65496	1348	1712	1591	969	956	1355	832	544	1053	1048	973	826	895	949	1287	589
gene:ENSPTRG00000007710	16	3990094	4145358	-	155265	2810	4335	1887	4153	2243	3380	1966	2783	2261	2612	1320	4671	1500	2541	2594	4250
gene:ENSPTRG00000007711	16	4229227	4377045	-	147819	1373	1128	432	1201	904	963	799	904	881	702	454	2110	840	672	629	1430
gene:ENSPTRG00000007712	16	4457937	4517100	-	59164	8057	511	53	141	5941	578	103	114	6712	528	156	192	6410	490	108	322
gene:ENSPTRG00000047063	16	4502713	4502924	-	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSPTRG00000007713	16	4526363	4542390	-	16028	234	388	229	485	225	262	154	425	217	264	153	277	100	172	208	269
gene:ENSPTRG00000007716	16	4601420	4685770	-	84351	1505	2585	952	2794	1211	2124	890	2494	1458	1386	757	3076	842	1793	1225	3349
gene:ENSPTRG00000007714	16	4601634	4609337	+	7704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSPTRG00000031304	16	4650361	4652382	+	2022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSPTRG00000007718	16	4694585	4732475	+	37891	1903	2034	1255	1066	1507	1837	1183	921	1650	1501	1155	1147	1540	1528	1675	1285
gene:ENSPTRG00000007719	16	4737441	4750297	-	12857	783	1191	833	748	580	1421	663	874	621	1115	882	940	476	1214	851	936
gene:ENSPTRG00000007720	16	4750414	4790063	+	39650	1274	924	929	1014	673	1004	616	906	736	852	723	675	694	929	830	914
gene:ENSPTRG00000023084	16	4790830	4818943	-	28114	1207	1500	393	996	1254	2454	630	1173	1470	1424	604	1202	1105	1766	758	1411
gene:ENSPTRG00000031302	16	4836545	4880027	+	43483	158	186	106	239	191	255	140	225	149	194	125	203	152	196	166	206
gene:ENSPTRG00000007722	16	4888303	4894423	-	6121	575	759	614	1729	529	1731	728	1325	459	673	446	1690	377	1362	1106	1320
gene:ENSPTRG00000043933	16	4892206	4892717	-	512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSPTRG00000007723	16	4903801	4987913	+	84113	1406	1908	1150	1989	1428	2072	992	1441	1312	1070	877	2409	1050	1812	1798	3074
gene:ENSPTRG00000007724	16	4990346	4994863	+	4518	737	829	419	788	539	1017	381	805	689	699	676	824	615	825	716	1035
gene:ENSPTRG00000007725	16	4995520	5035511	-	39992	633	1525	369	2920	599	1782	467	1752	713	1178	582	2776	382	1472	482	2077
gene:ENSPTRG00000007726	16	5035422	5050597	+	15176	38	105	13	205	17	185	30	40	21	66	25	58	16	111	32	41
gene:ENSPTRG00000051798	16	5049592	5068349	-	18758	545	964	317	742	509	888	305	403	646	658	401	787	326	699	537	756
gene:ENSPTRG00000007728	16	5077836	5088652	-	10817	14	10	7	15	6	7	9	12	4	9	8	13	8	11	8	9
gene:ENSPTRG00000042971	16	5088604	5111032	+	22429	5	117	1	94	8	168	3	87	3	33	16	54	1	156	11	96
gene:ENSPTRG00000007729	16	5111722	5117738	-	6017	2399	1349	1006	856	1247	2129	909	868	1340	1048	1145	840	1390	1558	1533	1015
gene:ENSPTRG00000007730	16	5118000	5162329	-	44330	3678	3587	1627	3617	2211	3007	1641	2154	2247	2546	1357	3226	1916	2585	1902	3093
gene:ENSPTRG00000007731	16	5162430	5197321	+	34892	1992	2697	1428	3855	1398	2197	1183	2057	1378	1762	849	3148	1220	1917	1723	3024
gene:ENSPTRG00000007732	16	5197464	5252069	-	54606	216	2401	1980	5162	362	1947	1798	2506	232	890	1951	2355	106	1301	2797	3910
gene:ENSPTRG00000007733	16	5281872	5345543	+	63672	1692	114	15	66	558	169	19	21	558	319	50	73	1638	281	39	59
gene:ENSPTRG00000007735	16	5351181	5360388	-	9208	242	484	230	391	156	390	199	231	208	279	237	304	113	295	284	432
gene:ENSPTRG00000007736	16	5370452	5393643	-	23192	160	184	20	2791	467	448	48	2469	414	321	53	1801	297	226	66	2612
gene:ENSPTRG00000007737	16	5399148	5414735	+	15588	239	600	464	397	142	415	269	300	193	348	318	253	125	326	391	329
gene:ENSPTRG00000048745	16	5412686	5426257	-	13572	104	344	156	174	72	250	94	84	106	173	158	131	66	181	161	132
gene:ENSPTRG00000050980	16	5469220	5473898	+	4679	593	603	477	590	510	578	484	561	531	486	498	507	499	472	517	608
gene:ENSPTRG00000007744	16	5575044	8088868	+	2513825	2483	1459	322	575	1000	1494	358	570	1370	917	778	774	1554	841	346	505
gene:ENSPTRG00000042208	16	8962482	8983514	-	21033	2	10	3	4	3	4	5	3	33	5	4	7	8	8	1	3
gene:ENSPTRG00000007745	16	9014342	9039133	+	24792	610	712	471	863	435	497	307	442	521	349	258	691	326	360	439	557
gene:ENSPTRG00000007746	16	9105822	9176026	+	70205	256	4503	3331	509	303	4786	2782	307	151	4505	3350	406	192	3658	4103	500
gene:ENSPTRG00000007747	16	9186924	9189513	-	2590	497	491	227	278	304	573	236	276	317	349	188	200	266	328	230	324
gene:ENSPTRG00000007748	16	9189537	9240930	+	51394	837	2038	1116	1543	703	1943	909	1182	736	1171	1077	1332	404	1322	1307	1645
gene:ENSPTRG00000007749	16	9246678	9260235	-	13558	426	1080	920	926	490	1462	835	968	555	961	1033	1516	379	1104	1166	1321
gene:ENSPTRG00000052194	16	9276196	9277147	+	952	0	1	0	0	0	0	0	0	0	1	1	1	0	0	4	0
gene:ENSPTRG00000007750	16	9284565	9353325	-	68761	2405	2728	1603	2931	1704	2598	1778	2127	2033	2233	1345	3063	1532	2285	1849	2648
gene:ENSPTRG00000007751	16	9481726	9510075	+	28350	4358	5060	2678	5073	3176	4091	2955	2985	3452	3566	2170	5358	2982	3939	3242	4166
gene:ENSPTRG00000052839	16	9483759	9483962	-	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSPTRG00000048043	16	10139184	10139407	-	224	6	2	0	0	27	0	0	0	18	0	0	0	4	0	0	0
gene:ENSPTRG00000043433	16	10147770	10148147	-	378	28	2	0	0	25	0	0	0	34	1	0	0	16	0	0	0
gene:ENSPTRG00000007754	16	10148617	10569631	-	421015	305	87	347	115	328	97	398	64	306	81	177	102	173	75	307	60
gene:ENSPTRG00000052185	16	10500534	10501998	+	1465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:ENSPTRG00000007755	16	10815705	10871388	+	55684	871	329	206	486	390	576	507	288	515	666	225	729	391	578	243	379
gene:ENSPTRG00000007756	16	10927112	10979115	-	52004	3118	888	2034	10045	1455	862	896	5864	1629	785	531	9324	1177	553	848	7818
gene:ENSPTRG00000007757	16	11026010	11096704	-	70695	39	68	80	79	28	46	51	51	26	27	57	39	17	21	81	33
gene:ENSPTRG00000007758	16	11146285	11171459	+	25175	755	952	625	809	586	909	557	742	674	652	472	704	415	662	627	764
gene:ENSPTRG00000007759	16	11172364	11220832	-	48469	30	63	31	75	21	31	17	28	18	17	33	26	12	22	22	36
gene:ENSPTRG00000007761	16	11282235	11330918	+	48684	264	749	132	653	513	627	305	944	501	856	129	2019	201	765	221	2035
gene:ENSPTRG00000051593	16	11347830	11348117	-	288	95	105	118	53	78	95	73	73	122	88	127	71	98	86	137	101
gene:ENSPTRG00000007763	16	11350820	11583847	+	233028	943	1349	570	2630	857	1476	752	1881	1077	1313	630	2905	885	1507	1056	2516
gene:ENSPTRG00000045559	16	11647518	11648420	+	903	184	202	151	159	181	231	187	197	208	216	180	250	154	206	178	217
gene:ENSPTRG00000007765	16	11659690	11660325	-	636	12	16	15	58	9	25	64	18	10	17	5	45	25	29	5	101
gene:ENSPTRG00000007766	16	11672678	11674159	-	1482	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	0
gene:ENSPTRG00000007768	16	11680445	11686044	-	5600	0	1	1	3	0	1	2	1	0	1	1	1	0	0	0	1
gene:ENSPTRG00000007770	16	11721623	11755256	+	33634	34	94	23	67	58	98	42	53	77	101	36	63	49	99	29	106
gene:ENSPTRG00000007771	16	11775931	11945278	-	169348	262	175	73	123	94	176	127	145	160	176	111	761	88	141	145	209
gene:ENSPTRG00000007772	16	11969880	12008498	-	38619	1020	2205	1732	1634	1361	2681	2568	2819	1296	2047	1984	3864	945	2383	3076	2812
gene:ENSPTRG00000041691	16	12098625	12098891	+	267	239	128	26	84	140	68	43	47	152	50	15	66	186	76	42	155
