# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "/work/02260/grovesd/lonestar/bumblebee_genome/GCF_000214255.1_Bter_1.0_genomic.gff" "-p" "-t" "gene" "-g" "ID" "-o" "feature_counts_out.tsv" "-T" "64" "--primary" "SRR8929838_dupsRemoved.bam" "SRR8929839_dupsRemoved.bam" "SRR8929840_dupsRemoved.bam" "SRR8929841_dupsRemoved.bam" "SRR8929842_dupsRemoved.bam" "SRR8929843_dupsRemoved.bam" "SRR8929848_dupsRemoved.bam" "SRR8929849_dupsRemoved.bam" "SRR8929852_dupsRemoved.bam" "SRR8929853_dupsRemoved.bam" "SRR8929854_dupsRemoved.bam" "SRR8929855_dupsRemoved.bam" "SRR8929856_dupsRemoved.bam" "SRR8929857_dupsRemoved.bam" "SRR8929858_dupsRemoved.bam" "SRR8929859_dupsRemoved.bam" "SRR8929860_dupsRemoved.bam" "SRR8929861_dupsRemoved.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR8929838_dupsRemoved.bam	SRR8929839_dupsRemoved.bam	SRR8929840_dupsRemoved.bam	SRR8929841_dupsRemoved.bam	SRR8929842_dupsRemoved.bam	SRR8929843_dupsRemoved.bam	SRR8929848_dupsRemoved.bam	SRR8929849_dupsRemoved.bam	SRR8929852_dupsRemoved.bam	SRR8929853_dupsRemoved.bam	SRR8929854_dupsRemoved.bam	SRR8929855_dupsRemoved.bam	SRR8929856_dupsRemoved.bam	SRR8929857_dupsRemoved.bam	SRR8929858_dupsRemoved.bam	SRR8929859_dupsRemoved.bam	SRR8929860_dupsRemoved.bam	SRR8929861_dupsRemoved.bam
gene910	NC_015763.1	4613075	4617179	+	4105	18	17	19	3	16	19	27	11	16	15	15	8	14	16	24	21	18	13
gene911	NC_015763.1	4617316	4623181	+	5866	196	204	206	113	312	342	301	194	155	136	216	234	276	336	218	214	147	301
gene912	NC_015763.1	4623186	4625028	-	1843	23	32	37	20	35	45	42	26	19	25	30	29	36	35	31	39	41	42
gene913	NC_015763.1	4625784	4627445	+	1662	248	232	233	175	207	229	284	220	177	176	217	194	203	233	205	191	257	256
gene914	NC_015763.1	4627550	4630036	-	2487	1906	2094	1443	733	1251	1602	1483	1852	901	1478	1541	1313	1691	1141	2012	1054	1733	1224
gene915	NC_015763.1	4635010	4646125	-	11116	1551	1487	1503	240	956	1396	1209	1237	1181	1388	1242	861	982	988	949	840	1271	928
gene916	NC_015763.1	4649249	4653105	+	3857	508	460	405	284	368	431	482	472	364	370	368	332	399	386	430	307	471	373
gene917	NC_015763.1	4654046	4658709	+	4664	1178	1240	1249	704	806	986	972	986	931	942	930	835	845	992	901	784	1157	872
gene918	NC_015763.1	4661178	4664460	+	3283	2408	2617	4159	3163	3728	7374	4422	3553	3225	3801	5094	4586	8613	3110	5562	1716	3666	2126
gene919	NC_015763.1	4668423	4678857	+	10435	34	29	35	17	34	48	32	28	34	25	31	27	39	25	39	24	48	24
gene920	NC_015763.1	4669512	4677644	-	8133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene921	NC_015763.1	4679496	4683429	-	3934	692	659	505	477	536	556	517	397	555	478	507	482	480	474	542	544	655	517
gene922	NC_015763.1	4683301	4688053	+	4753	461	468	429	317	357	426	505	342	382	426	365	314	339	365	392	351	452	389
gene923	NC_015763.1	4688048	4690939	-	2892	443	480	480	430	396	509	488	394	390	394	440	343	390	436	379	354	437	433
gene924	NC_015763.1	4690973	4692530	+	1558	301	284	273	233	238	303	300	273	228	235	252	232	272	282	278	225	335	272
gene925	NC_015763.1	4696411	4753978	+	57568	447	453	514	195	266	342	365	338	339	325	283	263	267	347	310	225	285	297
gene926	NC_015763.1	4754015	4759542	-	5528	630	618	557	428	462	581	491	414	538	441	500	390	470	448	496	382	520	463
gene927	NC_015763.1	4759533	4760743	-	1211	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
gene928	NC_015763.1	4760186	4761444	+	1259	0	0	1	0	0	0	1	1	0	2	0	1	0	0	0	0	0	0
gene929	NC_015763.1	4761084	4766984	-	5901	616	661	613	436	556	634	634	559	497	561	579	497	489	573	504	474	623	507
gene930	NC_015763.1	4766935	4771456	+	4522	299	342	329	211	260	268	327	244	261	277	258	245	255	246	242	269	298	262
gene931	NC_015763.1	4770846	4789066	-	18221	211	184	416	246	902	1020	816	363	645	743	495	884	985	749	676	457	438	704
gene932	NC_015763.1	4790188	4793013	+	2826	1293	1346	1446	1014	1226	1302	1701	1103	1105	1213	1200	1169	1178	1199	1112	1139	1396	1327
gene933	NC_015763.1	4793489	4801728	+	8240	139	134	123	54	91	125	125	116	115	118	116	98	100	78	120	97	128	104
gene934	NC_015763.1	4800937	4840953	-	40017	4667	5652	5108	2088	5294	4707	5136	4203	4297	5512	4214	4639	4724	4048	5039	5238	6480	5487
gene935	NC_015763.1	4805309	4807660	+	2352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene936	NC_015763.1	4841278	4846890	-	5613	284	273	237	130	193	195	247	194	216	177	200	203	155	181	203	197	221	174
gene937	NC_015763.1	4846984	4850971	+	3988	469	474	494	335	425	452	518	391	393	461	459	419	390	455	376	417	496	460
gene938	NC_015763.1	4850642	4913181	-	62540	540	657	567	75	411	516	543	441	512	635	515	472	378	392	398	466	537	514
gene939	NC_015763.1	4865808	4918657	+	52850	1480	1726	1647	880	1438	1540	1811	1497	1580	1751	1515	1274	1339	1423	1381	1397	1984	1680
gene940	NC_015763.1	4921481	4923407	+	1927	572	580	560	529	497	531	674	445	468	504	519	484	510	522	577	507	677	542
gene941	NC_015763.1	4923408	4924307	+	900	8	20	8	12	9	9	9	7	15	8	7	10	6	7	13	5	12	12
gene942	NC_015763.1	4924607	4926640	+	2034	653	716	664	546	708	735	843	705	577	599	618	610	651	668	610	667	839	792
gene943	NC_015763.1	4926415	4929943	-	3529	296	262	247	189	201	286	280	226	194	220	229	202	230	240	208	210	249	250
gene944	NC_015763.1	4930347	4932823	+	2477	173	176	155	134	124	159	163	133	129	105	159	126	132	136	149	114	161	137
gene945	NC_015763.1	4932816	5010315	-	77500	30151	37694	22263	7167	22775	20624	23963	20844	22010	28565	17020	19121	19056	13580	24347	19396	43599	22226
gene946	NC_015763.1	4969042	4972827	-	3786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene947	NC_015763.1	4969803	4972964	+	3162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene948	NC_015763.1	5019355	5028041	-	8687	1643	1680	1631	1263	1620	1433	1766	1606	1397	1813	1453	1479	1486	1479	1582	1472	1938	1660
gene949	NC_015763.1	5030109	5036514	+	6406	752	740	748	553	695	666	816	622	696	758	603	646	646	647	708	679	883	707
gene950	NC_015763.1	5036888	5040364	+	3477	463	489	449	428	394	377	403	352	347	368	402	319	349	368	377	329	419	372
gene951	NC_015763.1	5045663	5101685	-	56023	942	1039	937	121	550	707	790	637	731	788	686	479	519	421	556	544	689	644
gene952	NC_015763.1	5101768	5104930	+	3163	1613	1637	1386	1005	1117	1396	1333	1146	1313	1150	1176	1074	1250	1153	1228	1091	1524	1142
gene953	NC_015763.1	5105616	5108893	+	3278	537	608	594	384	480	508	595	471	477	452	469	435	507	487	451	409	561	459
gene954	NC_015763.1	5111704	5117101	+	5398	3829	3559	2954	2296	3299	4340	3624	2881	2718	3226	4389	3542	3248	2854	3678	2663	3536	2812
gene955	NC_015763.1	5117420	5177188	+	59769	1205	1220	1093	495	949	1064	1003	879	1000	1118	1028	792	792	838	820	815	1149	972
gene956	NC_015763.1	5178815	5181064	-	2250	340	330	345	344	292	395	440	309	300	274	354	242	313	359	316	274	354	339
gene957	NC_015763.1	5180767	5184394	+	3628	103	125	107	31	94	99	90	85	70	100	109	83	84	79	95	89	108	93
gene958	NC_015763.1	5187468	5193212	-	5745	907	985	964	444	876	950	1108	859	727	828	828	774	793	820	766	780	1009	914
gene959	NC_015763.1	5193796	5201828	+	8033	398	389	364	187	267	393	409	358	295	355	295	252	312	313	303	252	376	321
gene961	NC_015763.1	5201753	5203185	-	1433	286	288	301	257	287	271	359	222	230	214	254	200	235	226	224	289	316	278
gene962	NC_015763.1	5203289	5205182	+	1894	65	70	47	52	59	42	52	41	51	34	52	43	42	48	46	48	64	46
gene963	NC_015763.1	5205974	5210923	-	4950	363	344	343	200	299	333	330	278	287	287	276	256	293	277	294	282	331	297
gene964	NC_015763.1	5215315	5217271	+	1957	237	290	260	167	253	231	292	220	218	224	255	233	233	204	223	217	264	259
gene965	NC_015763.1	5218313	5223256	-	4944	216	253	239	143	199	254	266	236	181	251	234	184	222	212	194	231	275	209
gene966	NC_015763.1	5224372	5228616	+	4245	303	373	267	237	341	266	342	234	339	301	389	244	246	274	213	317	279	295
gene967	NC_015763.1	5229919	5232204	+	2286	27	21	43	96	147	86	107	22	60	86	49	104	103	119	62	92	46	90
gene968	NC_015763.1	5232271	5237378	+	5108	62	76	65	68	82	71	62	55	46	67	64	47	78	67	58	61	74	73
gene969	NC_015763.1	5240111	5243792	-	3682	207	223	172	37	171	190	213	162	162	212	191	140	169	135	172	160	199	175
gene970	NC_015763.1	5250008	5255821	+	5814	378	307	296	147	261	263	292	340	187	231	243	180	297	331	351	205	221	288
gene971	NC_015763.1	5271893	5308761	+	36869	212	199	193	106	164	161	227	151	141	150	155	155	167	174	173	140	175	157
gene972	NC_015763.1	5308551	5309495	-	945	244	218	214	245	238	236	358	198	194	180	215	192	217	216	181	225	260	230
gene973	NC_015763.1	5309722	5314963	+	5242	555	582	520	297	495	448	515	427	446	446	423	456	491	438	495	405	483	421
gene974	NC_015763.1	5315402	5319256	-	3855	280	312	288	194	259	281	352	248	248	245	290	210	287	289	276	242	313	281
gene975	NC_015763.1	5325280	5327415	-	2136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
gene976	NC_015763.1	5440798	5442987	+	2190	1326	2549	3560	16	2010	1766	1069	2891	1131	2430	4533	1002	632	2350	2523	3316	2328	17
gene977	NC_015763.1	5444487	5454447	-	9961	66	100	109	4	80	73	61	131	56	97	174	39	35	73	82	82	80	28
gene978	NC_015763.1	5454654	5457852	+	3199	241	235	244	191	234	254	333	226	216	202	224	186	208	202	217	233	315	245
gene979	NC_015763.1	5457736	5459034	-	1299	80	85	83	72	69	87	98	72	56	65	89	64	62	71	82	63	103	103
gene980	NC_015763.1	5459441	5460813	+	1373	579	588	577	595	526	586	670	484	542	487	575	451	472	507	456	544	618	665
gene981	NC_015763.1	5460971	5522810	-	61840	905	808	745	299	481	574	609	581	669	680	576	524	598	461	618	531	1025	549
gene982	NC_015763.1	5541304	5652646	-	111343	144	166	180	31	99	199	179	171	132	150	146	104	112	79	121	85	141	120
gene983	NC_015763.1	5652707	5658345	-	5639	113	164	145	66	90	165	103	149	104	103	99	99	104	97	128	56	102	87
gene984	NC_015763.1	5661092	5664694	-	3603	395	391	416	279	341	484	396	391	337	349	415	324	343	346	370	282	411	346
gene985	NC_015763.1	5675400	5810871	+	135472	615	603	492	159	367	506	403	422	475	577	579	383	373	339	455	390	580	399
gene986	NC_015763.1	5810890	5815117	-	4228	322	305	257	238	234	331	298	231	228	264	283	191	254	235	253	221	306	238
gene987	NC_015763.1	5815723	5817650	-	1928	535	517	464	401	405	469	557	423	404	385	442	381	343	404	367	350	452	468
gene988	NC_015763.1	5818379	5820006	-	1628	452	356	376	409	321	355	384	307	300	346	373	283	310	369	333	316	400	362
gene989	NC_015763.1	5820360	5820938	+	579	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
gene990	NC_015763.1	5820963	5828701	-	7739	721	750	688	285	531	738	706	725	605	638	617	476	514	550	640	529	769	604
gene991	NC_015763.1	5828918	5830150	-	1233	5	14	7	4	6	8	10	10	4	6	1	7	7	3	4	6	6	10
gene992	NC_015763.1	5830248	5831849	-	1602	2410	2297	1748	1353	1546	2533	2147	2646	1707	1951	1864	1492	2508	1725	2594	1448	2601	1838
gene993	NC_015763.1	5830906	5830977	-	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene994	NC_015763.1	5855839	5876978	+	21140	16055	20870	13388	9423	10855	12495	11513	14119	11305	12960	10287	10893	14145	9031	16005	10230	17963	10366
gene995	NC_015763.1	5878305	5885359	+	7055	9	9	8	9	9	7	8	7	7	9	8	5	8	4	10	6	8	12
gene996	NC_015763.1	5886467	5982613	+	96147	2383	2320	2199	1087	1610	2613	2179	2134	1491	1930	1585	1537	2102	2084	2175	1316	1674	2002
gene997	NC_015763.1	5905459	5905531	-	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene998	NC_015763.1	5982473	5984678	-	2206	23	23	17	18	19	18	21	29	15	19	23	15	11	25	21	13	19	14
gene999	NC_015763.1	5984697	5988279	-	3583	555	580	594	470	539	532	628	505	481	510	520	441	488	494	557	505	647	521
gene1000	NC_015763.1	5989300	6028754	-	39455	1201	1445	1399	861	1002	1431	1294	1213	1089	1287	1095	926	1302	1145	1152	914	1685	1120
gene1001	NC_015763.1	5989979	5991554	+	1576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1002	NC_015763.1	6028496	6029170	+	675	5	11	2	5	7	8	10	10	5	7	9	8	4	6	6	4	7	10
gene1003	NC_015763.1	6046792	6051384	+	4593	1	1	3	1	1	1	2	2	3	0	0	0	1	2	0	3	3	2
gene1004	NC_015763.1	6059773	6064253	+	4481	29	17	14	13	16	25	27	12	13	5	18	9	16	18	25	15	9	21
gene1005	NC_015763.1	6069869	6079144	+	9276	422	409	424	281	283	378	361	302	328	305	281	242	287	336	324	235	313	290
gene1006	NC_015763.1	6082044	6088202	+	6159	390	385	395	155	337	447	381	427	325	449	370	318	407	276	361	311	461	370
gene1007	NC_015763.1	6115135	6120047	+	4913	59	54	52	48	40	32	55	31	41	52	44	38	30	53	29	37	43	54
gene1008	NC_015763.1	6124786	6131751	-	6966	1643	1494	1543	1617	1203	1786	1596	1257	1578	1189	1262	1093	1263	1514	1308	914	1063	1311
gene1009	NC_015763.1	6133303	6135236	-	1934	54	52	122	151	202	245	203	97	191	184	89	252	233	195	184	104	173	162
gene1010	NC_015763.1	6153623	6173409	-	19787	38	41	61	9	35	31	25	61	27	35	71	25	18	28	38	46	39	7
gene1011	NC_015763.1	6198395	6235002	-	36608	1556	1482	1303	411	1081	1256	1155	989	804	1401	1120	940	900	1237	1173	794	1313	1222
gene1012	NC_015763.1	6238980	6261399	-	22420	1409	1217	1050	359	772	1631	1151	1183	813	940	790	677	1053	1052	1058	498	589	1070
gene1013	NC_015763.1	6262285	6264339	-	2055	344	353	406	383	352	419	519	384	351	349	317	305	333	369	347	366	450	395
gene1014	NC_015763.1	6264831	6271438	+	6608	949	928	1052	902	1088	1333	1208	972	1020	1033	976	953	1188	955	924	759	877	920
gene1015	NC_015763.1	6272271	6288749	-	16479	359	394	289	197	344	515	320	519	203	261	330	246	422	274	414	182	349	313
gene1016	NC_015763.1	6302561	6308096	+	5536	0	3	3	1	2	4	4	6	1	0	4	3	1	0	2	1	0	3
gene1017	NC_015763.1	6324210	6335326	+	11117	2	0	1	2	2	0	4	2	2	1	1	2	2	2	2	1	2	2
gene1018	NC_015763.1	6338069	6351964	+	13896	12	24	20	15	15	10	17	12	21	12	24	10	24	14	22	18	23	15
gene1019	NC_015763.1	6353361	6359100	+	5740	3055	2419	2720	2993	2503	1883	3918	2615	1618	2441	2954	3515	2547	2342	3324	2781	4130	3084
gene1020	NC_015763.1	6359766	6362415	+	2650	59108	49051	63371	55129	39361	66372	42221	47211	45020	33742	57362	35978	54122	40591	50060	31519	53806	38649
gene1021	NC_015763.1	6362490	6366583	+	4094	503	437	434	233	389	651	443	553	314	465	387	368	477	509	512	250	392	484
gene1022	NC_015763.1	6366968	6376374	-	9407	2470	2300	2184	1230	1982	2102	2334	2068	1633	2152	1797	1792	2159	2382	2134	1618	2027	2254
gene1023	NC_015763.1	6380598	6382663	-	2066	562	567	592	585	428	424	643	464	419	435	486	456	418	408	452	382	525	460
gene1024	NC_015763.1	6382875	6387175	-	4301	567	517	571	418	357	400	541	382	482	426	420	320	386	380	403	364	523	421
gene1025	NC_015763.1	6384869	6387097	+	2229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1026	NC_015763.1	6389916	6392695	-	2780	336	359	348	236	254	362	332	280	264	287	294	256	282	235	325	228	304	246
gene1027	NC_015763.1	6395271	6492642	+	97372	138	110	135	38	68	101	95	97	102	97	68	59	89	93	120	60	66	71
gene1028	NC_015763.1	6493360	6504896	-	11537	456	614	1246	1948	1803	1284	1866	955	1657	1672	1560	1750	1373	1324	1110	1164	948	1215
gene1029	NC_015763.1	6505134	6513967	+	8834	911	994	845	630	784	783	891	744	730	801	753	686	812	771	782	602	875	798
gene1030	NC_015763.1	6513968	6519406	-	5439	174	172	174	208	179	147	164	123	156	154	159	152	154	252	171	198	179	216
gene1031	NC_015763.1	6519533	6525521	+	5989	7	7	5	1	9	4	16	5	1	7	4	6	2	4	3	2	4	7
gene1032	NC_015763.1	6531789	6692450	-	160662	820	1002	807	106	676	731	834	705	761	855	725	611	527	510	626	610	782	817
gene1033	NC_015763.1	6693138	6717433	-	24296	1611	1712	1418	1074	1384	1404	1590	1299	1322	1373	1412	1193	1282	1334	1346	1191	1579	1399
gene1034	NC_015763.1	6697373	6700910	+	3538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1035	NC_015763.1	6704474	6710925	+	6452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1036	NC_015763.1	6717864	6720286	+	2423	1113	1092	1077	919	1009	1074	1096	1010	877	926	1047	860	922	1038	903	945	1048	936
gene1037	NC_015763.1	6720482	6720553	+	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1038	NC_015763.1	6721036	6722971	+	1936	182	180	194	110	161	174	205	150	141	129	154	134	142	153	142	166	176	197
gene1039	NC_015763.1	6722967	6729360	-	6394	302	274	261	152	217	283	277	255	192	231	207	189	196	244	196	228	280	242
gene1040	NC_015763.1	6729587	6734326	+	4740	165	168	182	202	141	148	213	111	155	137	141	129	134	169	121	122	209	164
gene1041	NC_015763.1	6729772	6733561	+	3790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1042	NC_015763.1	6735295	6749556	+	14262	94	145	185	134	223	156	248	211	222	287	117	192	201	145	127	131	180	143
gene1043	NC_015763.1	6751656	6756568	+	4913	18	30	13	20	22	19	20	23	17	24	22	15	17	25	25	35	34	17
gene1044	NC_015763.1	6756841	6764922	+	8082	431	419	410	247	373	397	424	342	356	353	372	297	336	414	339	325	438	346
gene1045	NC_015763.1	6765036	6766704	+	1669	12	12	19	22	11	11	11	7	13	12	11	10	6	13	9	8	15	8
gene1046	NC_015763.1	6767611	6786951	+	19341	2110	2352	2399	2140	2016	2279	2675	2062	2141	2106	1798	1885	2090	1969	2074	1948	2826	2194
gene1047	NC_015763.1	6792694	7023026	-	230333	224	242	186	87	133	232	180	201	159	166	177	131	148	146	200	116	295	149
gene1048	NC_015763.1	6884311	6888731	-	4421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1049	NC_015763.1	7024461	7099848	-	75388	9864	12669	10242	3760	9744	10735	11046	11766	7892	11520	9246	9281	11423	8149	13346	8820	13658	10850
gene1050	NC_015763.1	7110050	7139611	-	29562	909	1060	1213	502	1369	1185	1399	1419	1420	1826	1269	1301	1185	1067	1467	1214	1628	1236
gene1051	NC_015763.1	7155883	7160677	+	4795	115	311	349	417	1330	588	1005	381	454	571	394	945	667	1100	756	876	404	1193
gene1052	NC_015763.1	7160539	7163340	-	2802	273	223	250	202	226	154	236	195	160	189	208	196	187	204	198	225	267	268
gene1053	NC_015763.1	7163812	7165358	+	1547	1749	1492	1350	1813	1411	1464	1617	1230	1484	1398	1384	1247	1471	1485	1414	1372	1662	1562
gene1054	NC_015763.1	7165811	7167578	+	1768	2470	2149	1918	2272	1937	2114	2120	1819	1991	2121	1982	1725	2039	1990	2088	1799	2391	1978
gene1055	NC_015763.1	7167899	7170122	-	2224	758	741	731	619	664	740	872	714	567	646	760	629	576	651	658	695	846	774
gene1056	NC_015763.1	7170210	7173246	+	3037	349	293	266	162	206	244	315	270	163	205	317	207	229	192	251	179	256	196
gene1057	NC_015763.1	7174250	7177029	-	2780	222	238	281	153	228	234	325	207	199	207	245	194	226	226	208	242	288	274
gene1058	NC_015763.1	7177634	7188252	+	10619	731	745	648	317	516	658	648	547	588	647	540	485	500	571	514	529	671	573
gene1059	NC_015763.1	7187458	7190950	-	3493	160	158	169	114	138	184	196	143	141	162	139	131	115	161	121	131	163	156
gene1060	NC_015763.1	7192309	7200687	-	8379	2870	2587	2370	1696	1735	2760	2370	2107	2125	1814	1896	1436	2128	2470	2151	1163	1436	2044
gene1061	NC_015763.1	7223239	7232748	+	9510	13	17	12	11	9	13	10	10	12	7	12	2	8	12	5	6	14	10
gene1062	NC_015763.1	7234607	7235921	+	1315	1265	1317	1075	883	1060	1261	1411	1332	866	1040	1092	892	1244	1001	1178	1014	1278	1204
gene1063	NC_015763.1	7236358	7240012	-	3655	509	502	521	326	461	480	500	399	430	402	451	397	363	398	424	370	450	443
gene1064	NC_015763.1	7241044	7246512	-	5469	2595	2703	2126	1994	1882	2137	2215	1846	2142	1878	2000	1673	2135	1671	2074	1679	2876	1720
gene1065	NC_015763.1	7248508	7252144	-	3637	290	304	265	108	305	318	313	247	218	231	275	212	213	232	273	253	261	276
gene1066	NC_015763.1	7252659	7261070	+	8412	521	540	522	195	473	530	640	464	453	450	429	445	424	425	478	455	579	558
gene1067	NC_015763.1	7261801	7266425	+	4625	265	275	241	183	223	230	254	174	236	197	217	210	226	232	210	205	288	232
gene1068	NC_015763.1	7266662	7270778	-	4117	43	56	31	31	34	50	55	37	27	25	42	21	34	31	56	42	47	37
gene1069	NC_015763.1	7271072	7337645	+	66574	1051	1107	1092	533	863	916	1079	769	987	952	892	755	719	832	751	762	1136	812
gene1070	NC_015763.1	7304766	7307553	-	2788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1071	NC_015763.1	7339148	7340932	-	1785	108	104	80	103	101	107	136	82	80	81	102	81	83	89	91	113	98	106
gene1072	NC_015763.1	7341058	7346774	+	5717	19	12	18	29	5	14	13	9	16	10	9	4	9	11	8	6	16	14
gene1073	NC_015763.1	7385283	7394951	+	9669	42	21	25	12	7	14	18	14	13	16	18	8	15	33	18	3	14	16
gene1074	NC_015763.1	7394952	7396274	-	1323	566	594	543	534	532	559	615	499	451	467	525	495	513	510	565	530	612	554
gene1075	NC_015763.1	7396280	7397514	+	1235	235	268	232	218	242	278	316	251	210	234	239	226	260	252	239	250	269	245
gene1076	NC_015763.1	7397472	7400324	-	2853	42	41	32	31	34	42	41	30	34	43	37	39	30	50	43	36	44	44
gene1077	NC_015763.1	7400349	7407376	-	7028	81	75	83	40	50	83	57	84	62	61	69	43	47	61	53	45	58	63
gene1078	NC_015763.1	7405450	7460375	+	54926	2536	3268	2834	1218	2508	2463	2935	2421	2140	2871	2574	2541	2178	2152	2426	2116	3042	2621
gene1079	NC_015763.1	7460929	7538283	-	77355	550	511	540	292	297	420	387	358	356	439	318	287	405	472	517	327	476	425
gene1080	NC_015763.1	7470390	7476873	+	6484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1081	NC_015763.1	7521275	7524187	-	2913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1082	NC_015763.1	7526536	7529924	+	3389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1083	NC_015763.1	7529932	7532068	-	2137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1084	NC_015763.1	7532114	7537731	+	5618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1085	NC_015763.1	7538467	7667001	+	128535	49	48	45	23	32	25	36	31	39	34	28	31	29	19	41	9	32	40
gene1086	NC_015763.1	7551296	7622375	-	71080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1087	NC_015763.1	7659896	7746106	-	86211	185	218	184	43	96	170	158	125	167	167	144	91	105	121	116	96	173	124
gene1088	NC_015763.1	7746886	7760840	-	13955	401	395	321	154	269	377	330	329	265	339	275	230	313	287	307	230	327	249
gene1089	NC_015763.1	7760911	7763570	+	2660	259	274	232	169	278	245	328	242	231	199	232	189	252	214	222	232	294	245
gene1090	NC_015763.1	7763749	7768121	-	4373	154	156	161	95	149	160	167	110	100	136	144	126	137	135	140	137	179	159
gene1091	NC_015763.1	7768080	7771920	+	3841	194	214	159	91	98	68	87	91	94	129	139	103	107	124	109	147	159	135
gene1092	NC_015763.1	7771981	7775417	-	3437	12	21	10	8	5	12	10	28	6	11	10	5	7	8	7	12	8	12
gene1093	NC_015763.1	7773465	7952000	+	178536	380	400	378	158	213	292	260	270	265	281	280	247	215	257	269	245	369	239
gene1094	NC_015763.1	7777802	7784572	-	6771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1095	NC_015763.1	7799133	7802507	-	3375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1096	NC_015763.1	7952760	7956320	+	3561	46	40	47	25	26	61	57	41	33	33	49	21	45	52	41	16	32	37
gene1097	NC_015763.1	7956304	7968890	-	12587	2474	2123	2054	1019	2274	2214	2408	1870	2344	2532	2523	2154	1964	1961	2148	1885	1942	2034
gene1098	NC_015763.1	7972574	7974791	+	2218	138	124	131	132	118	126	128	107	102	119	121	106	121	98	113	88	115	111
gene1099	NC_015763.1	7974892	7977240	+	2349	2	0	0	0	0	0	1	0	1	0	1	1	2	1	0	0	1	0
gene1100	NC_015763.1	7977313	7978466	+	1154	128	126	120	106	109	123	143	95	99	90	95	78	101	123	119	104	135	107
gene1101	NC_015763.1	7978576	7979536	-	961	4	10	18	6	7	3	9	4	7	11	8	2	7	9	7	6	5	8
gene1102	NC_015763.1	7979736	7981062	-	1327	0	2	1	1	1	2	0	2	0	1	0	3	0	0	1	0	0	1
gene1103	NC_015763.1	7981281	7982377	-	1097	0	0	1	2	0	1	0	2	0	1	0	0	0	0	0	1	1	0
gene1105	NC_015763.1	7985866	7987526	-	1661	0	0	0	0	1	2	1	2	1	1	0	0	0	1	0	0	1	1
gene1106	NC_015763.1	7987619	7992374	-	4756	63	58	72	28	37	34	24	36	40	56	27	21	32	60	54	55	52	45
gene1107	NC_015763.1	7994451	7995043	-	593	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0
gene1108	NC_015763.1	7994849	7997782	+	2934	26	19	14	21	14	7	13	24	17	33	15	18	22	35	19	20	21	20
gene1109	NC_015763.1	8000474	8021434	-	20961	754	742	783	272	648	691	689	711	677	830	663	550	649	594	672	527	788	636
gene1110	NC_015763.1	8023879	8027310	-	3432	4	4	4	0	2	0	1	3	3	2	1	2	4	3	2	1	6	3
gene1111	NC_015763.1	8027453	8030697	-	3245	4	1	3	8	3	4	3	4	2	5	0	3	3	5	5	2	3	1
gene1112	NC_015763.1	8031389	8033449	+	2061	2038	2117	2106	1864	2023	2450	2677	2063	2172	1941	2004	1782	1943	1732	1939	1721	2466	2020
gene1113	NC_015763.1	8034005	8035786	-	1782	506	494	502	421	453	450	531	422	368	372	388	338	385	420	456	386	500	438
gene1114	NC_015763.1	8035769	8038144	+	2376	277	295	295	262	283	257	369	236	267	209	267	259	221	257	238	249	284	276
gene1115	NC_015763.1	8038523	8039894	+	1372	326	260	267	263	264	273	337	238	266	214	262	217	239	233	227	237	297	277
