# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "/work/02260/grovesd/lonestar/Ooceraea_biroi_genome/GCF_003672135.1_Obir_v5.4_genomic.gff" "-p" "-t" "gene" "-g" "ID" "-o" "feature_counts_out.tsv" "-T" "64" "--primary" "SRR2969431_dupsRemoved.bam" "SRR2969433_dupsRemoved.bam" "SRR2969435_dupsRemoved.bam" "SRR2969436_dupsRemoved.bam" "SRR2969437_dupsRemoved.bam" "SRR2969438_dupsRemoved.bam" "SRR2969440_dupsRemoved.bam" "SRR2969447_dupsRemoved.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR2969431_dupsRemoved.bam	SRR2969433_dupsRemoved.bam	SRR2969435_dupsRemoved.bam	SRR2969436_dupsRemoved.bam	SRR2969437_dupsRemoved.bam	SRR2969438_dupsRemoved.bam	SRR2969440_dupsRemoved.bam	SRR2969447_dupsRemoved.bam
gene-LOC105283643	NC_039509.1	1250287	1252842	-	2556	0	0	0	0	0	0	0	0
gene-LOC105283645	NC_039509.1	1272587	1278933	-	6347	3585	4753	2267	2308	1945	2301	3127	4166
gene-LOC105283648	NC_039509.1	1279769	1283045	-	3277	855	826	464	534	459	480	899	909
gene-LOC105283647	NC_039509.1	1283191	1286822	+	3632	3209	2892	1558	1602	1448	1607	3277	3060
gene-LOC105283646	NC_039509.1	1286924	1290271	-	3348	12265	11196	6895	6406	8433	8119	14093	12685
gene-LOC105283649	NC_039509.1	1290777	1292694	-	1918	3645	3469	2066	1779	2489	2211	3890	3502
gene-LOC113561819	NC_039509.1	1299380	1300448	-	1069	1	1	1	5	1	0	1	0
gene-LOC105285574	NC_039509.1	1301642	1303161	+	1520	3	3	4	4	3	2	4	2
gene-LOC105285578	NC_039509.1	1309601	1433242	-	123642	984	847	1277	1121	1418	983	942	698
gene-LOC105285577	NC_039509.1	1317667	1435024	+	117358	25	45	20	29	20	30	13	16
gene-LOC105285576	NC_039509.1	1435198	1439093	-	3896	981	998	586	680	564	691	1091	1036
gene-LOC105285579	NC_039509.1	1439296	1447302	+	8007	2874	2680	2107	2580	2202	2161	3420	2238
gene-LOC105285581	NC_039509.1	1447776	1488858	+	41083	7804	6339	5341	5418	6073	4829	10085	5977
gene-LOC105285582	NC_039509.1	1489112	1497175	-	8064	4679	3930	3515	3582	3664	3296	5395	3628
gene-LOC105285610	NC_039509.1	1500550	1501965	-	1416	1680	1729	904	875	1027	930	1766	1635
gene-LOC105285584	NC_039509.1	1502236	1505433	+	3198	1058	980	398	372	442	361	994	928
gene-LOC105285586	NC_039509.1	1505739	1510875	+	5137	2337	1870	1503	1293	1801	1261	3057	1778
gene-LOC105285585	NC_039509.1	1510875	1512017	-	1143	409	389	220	196	282	293	431	403
gene-LOC105285591	NC_039509.1	1512213	1531337	+	19125	20076	24378	17345	21255	16051	23956	22333	21997
gene-LOC105285589	NC_039509.1	1531518	1552451	-	20934	1390	1738	999	1199	893	1065	1019	1263
gene-LOC105285588	NC_039509.1	1539566	1543148	+	3583	0	0	0	0	0	0	0	0
gene-LOC105285587	NC_039509.1	1552560	1553367	-	808	1560	1472	1035	950	751	799	984	1048
gene-LOC105285592	NC_039509.1	1554024	1572225	+	18202	9450	8977	6900	6820	7509	5821	11516	7923
gene-LOC105285594	NC_039509.1	1574265	1601567	+	27303	2964	3863	2071	2198	1781	1831	2912	2838
gene-LOC105285593	NC_039509.1	1601563	1603561	-	1999	1017	1997	797	755	692	1233	1057	1915
gene-LOC105285597	NC_039509.1	1603694	1605362	-	1669	5119	2397	2714	926	4433	1580	6822	2385
gene-LOC105285596	NC_039509.1	1604849	1605611	+	763	69	97	36	40	27	47	29	46
gene-LOC105285598	NC_039509.1	1605552	1607076	-	1525	11968	12878	6233	6023	6297	7490	7755	10866
gene-LOC105285599	NC_039509.1	1607254	1609373	-	2120	34181	55983	18248	21975	25642	42410	26107	49762
gene-LOC105285600	NC_039509.1	1609611	1612715	-	3105	3809	4057	2260	1904	2079	2228	3087	3626
gene-LOC105285601	NC_039509.1	1619377	1621011	+	1635	98	99	83	53	101	47	110	179
gene-LOC105285602	NC_039509.1	1621560	1634471	+	12912	1194	1200	993	875	828	679	1381	853
gene-LOC105285603	NC_039509.1	1637384	1672949	+	35566	1638	899	1851	1594	1271	875	1458	815
gene-LOC105285604	NC_039509.1	1673043	1674418	+	1376	831	796	487	448	593	480	966	830
gene-LOC105285607	NC_039509.1	1674523	1676002	+	1480	632	767	255	371	281	394	546	643
gene-LOC105285605	NC_039509.1	1675932	1678296	-	2365	652	703	317	385	365	402	711	686
gene-LOC105285608	NC_039509.1	1687395	1693282	+	5888	75	55	36	70	64	40	77	49
gene-LOC113561733	NC_039509.1	1727256	1729679	-	2424	827	773	523	457	1121	957	1691	1164
gene-LOC105283852	NC_039509.1	1729888	1737844	+	7957	1989	1450	1133	945	1364	830	2572	1510
gene-LOC105283851	NC_039509.1	1730326	1732211	-	1886	0	0	0	0	0	0	0	0
gene-LOC105283850	NC_039509.1	1738076	1749057	+	10982	3403	2740	2984	2717	3203	2578	3101	2005
gene-LOC105283849	NC_039509.1	1749634	1750382	+	749	719	823	418	439	447	559	657	944
gene-LOC105283847	NC_039509.1	1750527	1752116	-	1590	7874	10538	4051	4104	3556	4931	6597	9625
gene-LOC105283846	NC_039509.1	1752262	1755091	-	2830	338	213	202	161	263	191	562	302
gene-LOC105283844	NC_039509.1	1755270	1770406	-	15137	534	538	270	418	286	396	594	566
gene-LOC113561734	NC_039509.1	1768475	1769298	+	824	0	0	0	0	0	0	0	0
gene-LOC105283845	NC_039509.1	1770552	1773405	-	2854	1780	1572	939	976	1123	1079	1813	1663
gene-LOC105283843	NC_039509.1	1773761	1778495	+	4735	7718	4405	4274	3052	5597	2504	9422	3991
gene-LOC105283842	NC_039509.1	1779215	1781906	-	2692	2345	2185	1649	1861	1124	957	1642	1445
gene-LOC105283840	NC_039509.1	1782221	1785058	+	2838	6977	5471	3506	3683	4284	3692	7686	5676
gene-LOC105283834	NC_039509.1	1785555	1808210	-	22656	6603	5368	4795	5140	4963	3518	6509	4524
gene-LOC105283835	NC_039509.1	1804042	1815495	+	11454	4	4	3	10	3	3	0	2
gene-LOC105283837	NC_039509.1	1808984	1815591	-	6608	1	1	1	1	0	0	0	0
gene-LOC105283838	NC_039509.1	1816350	1818097	+	1748	2254	2575	1122	1268	1184	1492	2272	2660
gene-LOC113561787	NC_039509.1	1869489	1928845	+	59357	1649	1493	1105	1529	944	812	1436	1173
gene-LOC105283839	NC_039509.1	1963366	2001223	+	37858	6090	7021	5548	4778	5209	4656	6321	5430
gene-LOC105283833	NC_039509.1	2001827	2003066	-	1240	2253	1786	1328	932	1654	1425	2819	1813
gene-LOC105283830	NC_039509.1	2003101	2003352	-	252	468	359	272	209	341	281	626	378
gene-LOC105283828	NC_039509.1	2003399	2004140	-	742	602	426	375	313	479	453	851	492
gene-LOC105283829	NC_039509.1	2004362	2006425	+	2064	2372	2202	1290	1297	1377	1410	2415	2115
gene-LOC105287487	NC_039509.1	2006651	2009180	+	2530	4092	4836	2441	2662	2804	3077	4259	5734
gene-LOC105287488	NC_039509.1	2009278	2010513	-	1236	1639	1433	1089	930	1238	1118	1911	1416
gene-LOC105283824	NC_039509.1	2010791	2043265	+	32475	3825	3344	3034	3119	2970	2281	4341	2941
gene-LOC105283825	NC_039509.1	2036252	2037457	-	1206	0	0	0	0	0	0	0	0
gene-LOC105283826	NC_039509.1	2044234	2045732	-	1499	647	553	438	368	516	353	786	568
gene-LOC105283822	NC_039509.1	2047603	2052027	+	4425	223	170	122	130	104	79	201	132
gene-LOC105283823	NC_039509.1	2051909	2054869	-	2961	12	10	58	22	13	11	6	6
gene-LOC105283821	NC_039509.1	2055233	2061261	-	6029	904	1026	620	817	652	776	978	976
gene-LOC105283820	NC_039509.1	2061396	2071053	-	9658	1109	1189	1061	852	874	720	1010	739
gene-LOC105283817	NC_039509.1	2071174	2072482	+	1309	2039	2117	1312	1148	1403	1386	2210	2227
gene-LOC105283818	NC_039509.1	2072593	2082307	-	9715	202	227	122	161	130	125	206	153
gene-LOC105283819	NC_039509.1	2083428	2086594	-	3167	1517	1484	903	880	786	751	1299	1395
gene-LOC113561877	NC_039509.1	2086890	2087323	+	434	4	7	1	9	2	10	7	2
gene-LOC105283815	NC_039509.1	2087495	2090299	-	2805	4162	3947	2567	2172	2471	2621	4477	3836
gene-LOC105283814	NC_039509.1	2090457	2097901	+	7445	7746	6363	4594	4387	5140	3958	9444	6244
gene-LOC105283813	NC_039509.1	2092293	2093604	-	1312	0	0	0	0	0	0	0	0
gene-LOC105283812	NC_039509.1	2098148	2099008	-	861	2165	3970	1519	1886	1419	3100	1948	3715
gene-LOC105283811	NC_039509.1	2100525	2122356	-	21832	10067	10564	8089	7896	8472	7949	9752	8276
gene-LOC105283810	NC_039509.1	2115341	2116044	-	704	0	0	0	0	0	0	0	0
gene-LOC105283809	NC_039509.1	2122461	2126131	-	3671	4748	4541	3199	2992	3838	3482	5161	4856
gene-LOC105283807	NC_039509.1	2126132	2129006	+	2875	4147	3537	2532	1976	3050	2547	4645	3947
gene-LOC105283808	NC_039509.1	2129039	2130551	+	1513	4451	4222	2549	2574	2374	3066	4352	4626
gene-LOC105283854	NC_039509.1	2130793	2133136	-	2344	10646	10104	7190	5188	8869	7130	12496	10690
gene-LOC105283806	NC_039509.1	2133385	2143885	+	10501	7878	6949	7308	6345	8146	6757	7576	5180
gene-LOC105283805	NC_039509.1	2144937	2146944	-	2008	8221	7974	5483	4342	5836	5042	8535	7950
gene-LOC105283804	NC_039509.1	2147446	2151718	+	4273	6880	7998	4191	4706	4220	5759	6595	8206
gene-LOC105283803	NC_039509.1	2152103	2153861	-	1759	3939	2722	2425	1578	3052	1662	4767	2433
gene-LOC105283853	NC_039509.1	2154033	2157859	+	3827	8128	7722	5546	4093	6148	5010	8899	8342
gene-LOC105283802	NC_039509.1	2157756	2159837	-	2082	1566	1166	955	800	847	754	1518	1121
gene-LOC105283801	NC_039509.1	2160270	2162779	-	2510	381	411	222	183	195	143	376	301
gene-LOC105283800	NC_039509.1	2160694	2161564	+	871	0	0	0	0	0	0	0	0
gene-LOC105283798	NC_039509.1	2162946	2165788	+	2843	5069	4659	3325	2770	3783	3401	6266	5386
gene-LOC105283799	NC_039509.1	2165721	2171438	-	5718	3901	3558	2690	2441	2896	2938	4944	3434
gene-LOC105283797	NC_039509.1	2173362	2237652	+	64291	2192	2372	2446	2131	2602	2438	2023	2020
gene-LOC105283795	NC_039509.1	2240091	2244292	+	4202	2947	2803	2339	2048	2474	2437	3602	2753
gene-LOC105283794	NC_039509.1	2246137	2269914	-	23778	5802	6416	4142	4793	4196	4341	5977	5456
gene-LOC113561737	NC_039509.1	2278516	2279341	-	826	8	4	4	4	3	4	4	2
gene-LOC113561742	NC_039509.1	2284746	2287061	+	2316	8	29	21	30	1	3	1	15
gene-LOC113561743	NC_039509.1	2285203	2286312	-	1110	0	0	0	0	0	0	0	0
gene-LOC105283792	NC_039509.1	2287694	2288639	-	946	3	4	0	0	0	3	0	2
gene-LOC113561830	NC_039509.1	2288887	2289968	-	1082	0	1	1	0	2	1	1	1
gene-LOC105287090	NC_039509.1	2292207	2298862	-	6656	0	24	1	35	2	8	1	13
gene-LOC105285366	NC_039509.1	2300323	2307384	-	7062	0	10	2	18	0	10	4	6
gene-LOC105285860	NC_039509.1	2308881	2311990	-	3110	6204	7428	3607	3844	3587	4695	6111	8113
gene-LOC105285862	NC_039509.1	2312633	2358275	+	45643	2457	2375	3190	3020	3322	2738	2365	1727
gene-LOC109611397	NC_039509.1	2332610	2343515	-	10906	0	0	0	0	0	0	0	0
gene-LOC105285865	NC_039509.1	2365507	2377666	+	12160	3032	3238	2008	1883	2239	2060	3469	3623
gene-LOC105285863	NC_039509.1	2367780	2368690	-	911	0	0	0	0	0	0	0	0
gene-LOC105285866	NC_039509.1	2372407	2373273	-	867	0	0	0	0	0	0	0	0
gene-LOC109611394	NC_039509.1	2377565	2380574	-	3010	256	267	190	195	255	196	270	282
gene-LOC105285871	NC_039509.1	2380531	2381181	-	651	1	1	0	5	1	3	1	2
gene-LOC113561384	NC_039509.1	2381074	2384955	-	3882	13	19	4	20	19	15	15	14
gene-LOC105285867	NC_039509.1	2385054	2391699	-	6646	4798	4102	2810	2904	3329	2764	5780	3981
gene-LOC105285870	NC_039509.1	2391972	2397872	+	5901	2805	2230	2348	2180	2533	2351	3042	1974
gene-LOC105285869	NC_039509.1	2399160	2440284	+	41125	16247	12914	10984	9898	11835	7408	16401	10216
gene-LOC105286972	NC_039509.1	2440876	2482290	+	41415	27392	28568	29710	22938	26880	21976	30863	23106
gene-LOC105287221	NC_039509.1	2447806	2449877	-	2072	0	0	0	0	0	0	0	0
gene-LOC105286970	NC_039509.1	2482397	2724669	-	242273	3921	3694	3054	3909	3369	2871	4137	2685
gene-LOC105286963	NC_039509.1	2494214	2497026	+	2813	0	0	0	0	0	0	0	0
gene-LOC105286964	NC_039509.1	2498657	2502890	+	4234	0	0	0	0	0	0	0	0
gene-LOC105286966	NC_039509.1	2505798	2512417	+	6620	0	0	0	0	0	0	0	0
gene-LOC113561831	NC_039509.1	2548773	2554911	+	6139	0	0	0	0	0	0	0	0
gene-LOC105286967	NC_039509.1	2554925	2556137	+	1213	0	0	0	0	0	0	0	0
gene-LOC113561832	NC_039509.1	2556813	2561152	+	4340	0	0	0	0	0	0	0	0
gene-LOC105282591	NC_039509.1	2803032	2804393	-	1362	1	0	0	0	0	0	1	0
gene-LOC105282593	NC_039509.1	2810771	2812585	+	1815	19	0	1	1	0	0	0	1
gene-LOC105282599	NC_039509.1	2816771	2822560	+	5790	12	17	17	18	24	14	34	26
gene-LOC105282590	NC_039509.1	2822574	2825570	-	2997	1970	2054	1212	902	1306	1325	2034	2040
gene-LOC105282589	NC_039509.1	2825666	2828757	+	3092	154	90	100	83	87	85	122	139
gene-LOC105282588	NC_039509.1	2838079	2838793	+	715	300	8	102	143	43	75	8	0
gene-LOC105282587	NC_039509.1	2849099	2849898	+	800	6	0	0	3	0	0	0	0
gene-LOC105282579	NC_039509.1	2852264	3053828	+	201565	1870	1452	1333	1691	1141	785	1469	1084
gene-LOC113561824	NC_039509.1	2924904	2943191	-	18288	0	0	0	0	0	0	0	0
gene-LOC105282582	NC_039509.1	3017026	3019299	-	2274	0	0	0	0	0	0	0	0
gene-LOC109611176	NC_039509.1	3159831	3160800	-	970	3	4	15	9	12	7	0	3
gene-LOC105282584	NC_039509.1	3228305	3229860	-	1556	3293	2978	1750	1612	1880	1828	3447	2983
gene-LOC105282586	NC_039509.1	3275086	3276514	-	1429	11	6	26	5	22	10	8	3
gene-LOC113561786	NC_039509.1	3387446	3392577	-	5132	4397	4865	2834	2612	2951	3327	4939	5082
gene-LOC113561754	NC_039509.1	3399503	3400841	+	1339	0	0	0	0	0	0	0	0
gene-LOC113561755	NC_039509.1	3401569	3402252	-	684	0	0	0	0	0	0	0	0
gene-LOC113561756	NC_039509.1	3408449	3410209	-	1761	0	0	0	0	0	0	0	1
gene-LOC105280960	NC_039509.1	3410974	3413253	-	2280	2	0	0	0	0	0	0	2
gene-LOC113561757	NC_039509.1	3416228	3417181	-	954	0	0	0	0	0	0	0	0
gene-LOC113561758	NC_039509.1	3418705	3419322	-	618	0	0	0	0	0	0	0	0
gene-LOC105280885	NC_039509.1	3435489	3436837	+	1349	3324	2902	2611	2214	3470	3036	4093	3229
gene-LOC105280780	NC_039509.1	3437087	3438701	+	1615	347	499	290	446	347	438	384	529
gene-LOC105280792	NC_039509.1	3438133	3439488	-	1356	237	337	147	364	158	294	201	399
gene-LOC105280798	NC_039509.1	3439595	3443425	+	3831	2660	2416	1200	1470	1328	1285	2603	2527
gene-LOC105280824	NC_039509.1	3443476	3457041	-	13566	139	95	102	75	125	102	106	67
gene-LOC105280851	NC_039509.1	3457561	3461729	-	4169	1735	1500	1159	1111	1236	1182	1658	1325
gene-LOC105280863	NC_039509.1	3461846	3466435	+	4590	37	44	21	23	30	24	29	25
gene-LOC109610669	NC_039509.1	3466378	3468144	-	1767	80	121	56	34	59	41	83	69
gene-LOC113561813	NC_039509.1	3468403	3470618	-	2216	6	7	3	7	2	2	10	2
gene-LOC105280935	NC_039509.1	3470535	3471294	-	760	1	3	2	0	0	0	2	0
gene-LOC105280875	NC_039509.1	3471187	3475716	+	4530	2664	2203	1494	1649	1775	1588	3074	2004
gene-LOC105280751	NC_039509.1	3475518	3478682	-	3165	2999	2644	1775	1572	2090	1916	3619	2527
gene-LOC105280760	NC_039509.1	3479873	3483705	+	3833	20362	17156	12601	10319	15553	10976	24947	15403
gene-LOC105280766	NC_039509.1	3483821	3484562	-	742	74	48	50	67	56	42	56	52
gene-LOC105280771	NC_039509.1	3484299	3490995	+	6697	5078	4114	3234	3398	3624	3061	5886	3769
gene-LOC109611076	NC_039509.1	3491555	3497658	-	6104	50	74	47	183	76	102	70	385
gene-LOC105280928	NC_039509.1	3498198	3510299	-	12102	1749	888	1960	1140	2074	925	2609	875
gene-LOC105280683	NC_039509.1	3510485	3512655	+	2171	1872	1626	948	998	1096	1076	1765	1719
gene-LOC105280696	NC_039509.1	3512573	3514357	-	1785	775	665	375	451	423	414	908	836
gene-LOC105280710	NC_039509.1	3514730	3515944	+	1215	551	392	246	231	293	235	538	417
gene-LOC105280718	NC_039509.1	3515935	3533714	-	17780	8469	11250	10951	13833	13983	19349	15575	18035
gene-LOC105280744	NC_039509.1	3526405	3528058	+	1654	0	0	0	0	0	0	0	0
gene-LOC105280652	NC_039509.1	3534693	3914424	+	379732	12546	11470	10502	11189	10711	8042	11739	9334
gene-LOC105280646	NC_039509.1	3915175	3916347	+	1173	4356	5576	2906	2898	2802	3081	4009	5521
gene-LOC105280635	NC_039509.1	3916608	3921344	+	4737	2686	2802	1543	1796	1826	1832	3259	2591
gene-LOC105280641	NC_039509.1	3921339	3925020	-	3682	640	848	378	602	502	557	675	808
gene-LOC105280619	NC_039509.1	3925156	3928137	+	2982	489	483	215	275	198	223	530	532
gene-LOC105280626	NC_039509.1	3928057	3932590	-	4534	3	682	8	8	2	2	4	5
gene-LOC105280602	NC_039509.1	3940144	4046241	-	106098	8	261	7	21	14	12	8	7
gene-LOC105280539	NC_039509.1	4090212	4104182	-	13971	3601	2879	3424	3540	3844	2551	3632	2768
gene-LOC105280574	NC_039509.1	4109315	4123264	+	13950	4001	3286	2643	2772	2559	1851	4470	3028
gene-LOC105280531	NC_039509.1	4199369	4392329	+	192961	7360	5594	4079	5986	3823	3611	6814	6048
gene-LOC105280920	NC_039509.1	4391620	4394272	-	2653	35	41	12	39	41	53	45	31
gene-LOC105280512	NC_039509.1	4394444	4398092	-	3649	322	312	287	262	235	271	343	309
gene-LOC105280499	NC_039509.1	4399656	4400649	-	994	9	21	6	1	5	4	4	7
gene-LOC105280912	NC_039509.1	4400744	4411205	+	10462	93	64	46	45	38	29	61	31
gene-LOC105280476	NC_039509.1	4409494	4417427	-	7934	2576	2910	1846	2084	1862	1906	2778	2311
gene-LOC105280467	NC_039509.1	4426800	4436611	+	9812	19	19	5	22	6	7	8	17
gene-LOC105280421	NC_039509.1	4462227	4517050	+	54824	4245	3607	3056	3569	3315	2944	4680	2946
gene-LOC105280458	NC_039509.1	4507766	4508658	-	893	0	0	0	0	0	0	0	0
gene-LOC105280414	NC_039509.1	4517219	4645969	+	128751	7690	8945	6508	6411	5590	5617	7194	6759
gene-LOC105280406	NC_039509.1	4551217	4611604	-	60388	0	0	0	0	0	0	0	0
gene-LOC105280392	NC_039509.1	4648485	4768836	-	120352	1015	1327	801	901	751	692	1038	931
gene-LOC113561794	NC_039509.1	4694265	4695063	+	799	0	0	0	0	0	0	0	0
gene-LOC105280379	NC_039509.1	4777018	4778665	+	1648	15764	18602	10157	9151	10576	12934	14721	19624
gene-LOC105280372	NC_039509.1	4778800	4780958	-	2159	672	771	410	418	536	521	703	803
gene-LOC105280365	NC_039509.1	4781088	4781910	+	823	553	650	354	357	356	395	507	659
gene-LOC105286149	NC_039509.1	4782027	4803304	-	21278	802	710	485	523	668	441	818	693
gene-LOC105286152	NC_039509.1	4806359	4825429	-	19071	72	90	115	84	65	40	58	90
gene-LOC105286155	NC_039509.1	4829663	4850219	-	20557	2513	1947	1504	1256	1452	937	2256	1415
gene-LOC105286154	NC_039509.1	4851308	4854263	-	2956	9	5	14	17	7	7	9	17
gene-LOC105286153	NC_039509.1	4855260	4859028	+	3769	2450	2626	1331	1559	1316	1758	2301	2619
gene-LOC105286156	NC_039509.1	4859352	4868361	-	9010	3208	1999	1568	1449	1975	1184	3757	2035
gene-LOC105286159	NC_039509.1	4870455	4878098	+	7644	0	0	1	0	1	0	2	0
gene-LOC109611435	NC_039509.1	4870843	4879378	-	8536	18	16	18	17	9	8	11	11
gene-LOC105286157	NC_039509.1	4879508	4881511	+	2004	3428	3507	2503	2147	2867	2730	3852	3663
gene-LOC105286160	NC_039509.1	4882335	4886409	-	4075	5002	3802	4120	4053	5325	4045	7572	4524
gene-LOC105286163	NC_039509.1	4886778	4888685	+	1908	2828	3267	1521	1607	1685	2077	2814	3281
gene-LOC105286162	NC_039509.1	4889350	4941024	-	51675	9787	10067	7449	7435	7136	6425	11168	8902
gene-LOC113561778	NC_039509.1	4916379	4939529	+	23151	0	0	0	0	0	0	0	0
gene-LOC109611436	NC_039509.1	4943712	4945170	+	1459	25	38	18	18	31	25	39	47
gene-LOC105286164	NC_039509.1	4944461	4950593	-	6133	2779	3312	1605	2002	1313	2169	2652	3152
gene-LOC105286165	NC_039509.1	4951574	4955391	+	3818	6278	5932	3605	4544	4053	4855	7798	7028
gene-LOC105286166	NC_039509.1	4955665	4958714	+	3050	2028	1661	1171	1102	1082	1010	2185	1856
gene-LOC105286168	NC_039509.1	4958867	4967199	-	8333	6872	5494	4213	3868	4697	3591	8313	4721
gene-LOC105286167	NC_039509.1	4962075	4965504	+	3430	0	0	0	0	0	0	0	0
gene-LOC105286170	NC_039509.1	4970946	4973215	+	2270	1688	1748	842	1036	844	1124	1606	1950
gene-LOC105286169	NC_039509.1	4972784	4978303	-	5520	5460	4836	2710	2708	3150	3104	6011	4811
gene-LOC105286172	NC_039509.1	4978450	4982402	+	3953	579	480	1157	1133	1446	1558	576	511
gene-LOC105286171	NC_039509.1	4982776	4989504	+	6729	1240	898	628	647	642	434	1333	868
gene-LOC113561796	NC_039509.1	4996314	4999867	+	3554	1	3	0	2	4	0	0	1
gene-LOC105286174	NC_039509.1	5015298	5022351	-	7054	3	0	1	3	5	1	3	3
gene-LOC105286175	NC_039509.1	5035274	5040743	-	5470	316	123	127	87	160	68	325	79
gene-LOC109611444	NC_039509.1	5051053	5053094	+	2042	20	30	15	20	14	21	16	37
gene-LOC105286176	NC_039509.1	5067567	5093361	+	25795	3917	3896	3982	3734	3840	2788	4735	3331
gene-LOC113561759	NC_039509.1	5218464	5219117	+	654	0	0	0	0	0	0	0	0
gene-LOC105287154	NC_039509.1	5229456	5234492	+	5037	2194	2107	1468	1480	1480	1525	2461	2080
gene-LOC105287152	NC_039509.1	5234600	5236215	+	1616	3608	2783	2479	1615	2780	1786	5274	3095
gene-LOC105287150	NC_039509.1	5237111	5239342	-	2232	16013	8660	8923	6092	13717	7469	21237	7882
gene-LOC105287151	NC_039509.1	5239294	5242769	+	3476	1469	1088	816	707	869	677	1601	1307
gene-LOC113561875	NC_039509.1	5242694	5243272	-	579	144	246	78	120	70	131	97	255
gene-LOC105287149	NC_039509.1	5243393	5247497	+	4105	728	529	476	385	444	370	610	472
gene-LOC105287148	NC_039509.1	5247523	5249029	-	1507	2539	2793	1466	1407	1651	1661	2778	2709
gene-LOC105287147	NC_039509.1	5250307	5257914	-	7608	1407	926	1716	1570	1544	1181	1523	883
gene-LOC105287146	NC_039509.1	5258117	5259406	+	1290	1548	1271	989	707	1153	843	1903	1267
gene-LOC105287145	NC_039509.1	5259879	5265094	+	5216	3448	3458	2751	2505	2862	2756	4260	3507
gene-LOC105287144	NC_039509.1	5265393	5268787	-	3395	6352	6354	3950	3772	4096	4080	6905	6229
gene-LOC105286374	NC_039509.1	5270149	5273507	-	3359	2152	3328	1479	1549	1230	1803	2173	3478
gene-LOC105286386	NC_039509.1	5273625	5276897	+	3273	2063	2001	1327	1281	1265	1248	1960	1743
gene-LOC105287301	NC_039509.1	5276796	5280808	+	4013	762	770	590	655	710	674	873	786
gene-LOC105286375	NC_039509.1	5281440	5284425	+	2986	881	812	553	412	561	454	1046	829
gene-LOC105286376	NC_039509.1	5285200	5289125	+	3926	9706	8012	5247	4707	7115	4699	11342	6895
gene-LOC105286377	NC_039509.1	5289685	5301151	+	11467	848	1037	661	519	709	521	929	786
gene-LOC105286378	NC_039509.1	5309938	5312344	+	2407	2005	2463	1097	1243	1106	1493	1902	2699
gene-LOC105286379	NC_039509.1	5312740	5314958	+	2219	2	969	26	5767	2	202	3	140
gene-LOC105286380	NC_039509.1	5317924	5319283	+	1360	0	163	12	707	3	26	2	15
gene-LOC105286381	NC_039509.1	5320949	5324111	+	3163	0	550	48	3943	1	161	0	16
gene-LOC105286388	NC_039509.1	5326330	5329054	+	2725	2	0	2	0	1	1	0	1
gene-LOC105286382	NC_039509.1	5331550	5333785	+	2236	780	1878	1443	983	1883	564	1637	390
gene-LOC105286383	NC_039509.1	5334466	5335883	-	1418	33	38	23	35	46	33	27	37
gene-LOC105283906	NC_039509.1	5337536	5350791	-	13256	4492	4298	2885	2875	2998	2620	4018	3084
gene-LOC105283908	NC_039509.1	5351385	5355708	+	4324	1435	1220	727	796	832	958	1345	1366
gene-LOC105283907	NC_039509.1	5355678	5359576	-	3899	116	111	71	61	101	64	185	132
gene-LOC105283909	NC_039509.1	5359704	5361937	+	2234	28201	20670	14106	11923	18044	10980	33757	18386
gene-LOC105283913	NC_039509.1	5362162	5364844	-	2683	3920	4502	2203	2541	2317	3026	4237	4481
gene-LOC105283911	NC_039509.1	5365368	5371124	+	5757	2984	2672	1841	1753	1941	2144	3002	2914
gene-LOC105283910	NC_039509.1	5366988	5369784	-	2797	0	0	0	0	0	0	0	0
gene-LOC105283914	NC_039509.1	5371872	5376353	-	4482	2376	2364	1710	1783	1263	1333	1838	1765
gene-LOC105283915	NC_039509.1	5377245	5381427	-	4183	7	12	5	9	6	3	9	7
gene-LOC113561792	NC_039509.1	5387354	5390651	+	3298	55	58	28	10	34	26	38	20
gene-LOC105283919	NC_039509.1	5390637	5460837	-	70201	182	158	94	77	126	75	176	91
gene-LOC105283918	NC_039509.1	5404094	5412016	-	7923	0	0	0	0	0	0	0	0
gene-LOC105280820	NC_039509.1	5465591	5470811	-	5221	2534	2279	1526	1318	1480	1523	2297	2091
gene-LOC105280819	NC_039509.1	5470947	5472585	+	1639	2459	2261	1484	1184	1728	1274	2913	2197
gene-LOC105280818	NC_039509.1	5477078	5479415	-	2338	6	11	4	1	2	4	2	2
gene-LOC105280817	NC_039509.1	5520718	5543478	+	22761	390	287	231	220	350	253	738	316
gene-LOC105280816	NC_039509.1	5543715	5551465	-	7751	522	642	315	273	422	340	557	558
gene-LOC105280814	NC_039509.1	5554490	5555907	+	1418	779	673	452	404	541	429	880	728
gene-LOC105280815	NC_039509.1	5555801	5558590	-	2790	2022	1690	1077	1005	1174	1086	2131	1671
gene-LOC105282474	NC_039509.1	5561452	5571297	-	9846	22242	38089	12487	16646	9342	21383	15373	37891
gene-LOC105282476	NC_039509.1	5575460	5644885	+	69426	1932	1660	1559	1643	1556	1138	1752	1091
gene-LOC105282477	NC_039509.1	5647969	5665657	+	17689	515	527	357	364	391	330	502	462
gene-LOC105282478	NC_039509.1	5666347	5773537	+	107191	1291	1208	837	820	886	664	1382	1105
