# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "/work/02260/grovesd/lonestar/silkworm_genome/GCF_000151625.1_ASM15162v1_genomic.gff" "-p" "-t" "gene" "-g" "ID" "-o" "feature_counts_out.tsv" "-T" "36" "--primary" "SRR10836807_dupsRemoved.bam" "SRR10836808_dupsRemoved.bam" "SRR10836809_dupsRemoved.bam" "SRR10836810_dupsRemoved.bam" "SRR10836811_dupsRemoved.bam" "SRR10836812_dupsRemoved.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR10836807_dupsRemoved.bam	SRR10836808_dupsRemoved.bam	SRR10836809_dupsRemoved.bam	SRR10836810_dupsRemoved.bam	SRR10836811_dupsRemoved.bam	SRR10836812_dupsRemoved.bam
gene-LOC101737436	NW_004581719.1	271034	278910	-	7877	330	381	349	426	0	403
gene-LOC101746324	NW_004581719.1	282648	298047	+	15400	346	339	314	873	0	736
gene-LOC110384978	NW_004581719.1	298712	312704	+	13993	256	270	216	428	0	370
gene-LOC110384979	NW_004581719.1	329453	344755	+	15303	2	7	5	9	0	6
gene-LOC110384974	NW_004581719.1	346648	348093	-	1446	0	0	0	0	0	0
gene-CPR122	NW_004581719.1	429367	430562	+	1196	8	7	6	2	0	5
gene-LOC110384985	NW_004581719.1	437091	438171	-	1081	1	0	0	1	0	0
gene-LOC110384980	NW_004581719.1	445776	446312	+	537	0	0	3	2	0	3
gene-LOC101737576	NW_004581719.1	487900	519778	+	31879	1164	1338	1108	2168	0	2135
gene-LOC101737810	NW_004581719.1	521318	530517	+	9200	866	929	780	968	0	875
gene-Cna	NW_004581719.1	536202	539177	+	2976	879	1053	809	1041	0	963
gene-LOC101738038	NW_004581719.1	555687	556938	-	1252	1034	1159	934	877	0	819
gene-LOC101738436	NW_004581719.1	574859	589005	+	14147	2254	2514	2098	3996	0	3786
gene-LOC101746609	NW_004581719.1	589448	600407	-	10960	199	189	200	479	0	365
gene-LOC101738565	NW_004581719.1	602675	605122	-	2448	74	99	88	109	0	102
gene-LOC101738699	NW_004581719.1	607542	627398	+	19857	1235	1369	1210	1227	0	1106
gene-LOC101738838	NW_004581719.1	628427	635012	+	6586	78	93	66	48	0	28
gene-LOC101746749	NW_004581719.1	636843	658679	-	21837	1472	1568	1303	3061	0	2840
gene-LOC101739118	NW_004581719.1	663229	670911	+	7683	1124	1176	1022	1264	0	1220
gene-LOC101738970	NW_004581719.1	670895	673296	-	2402	154	173	143	213	0	195
gene-LOC692894	NW_004581719.1	734958	825826	+	90869	609	761	671	1184	0	1055
gene-LOC110384981	NW_004581719.1	754945	764088	-	9144	0	0	0	0	0	0
gene-LOC101739258	NW_004581719.1	828087	850258	+	22172	149	163	128	164	0	177
gene-LOC101739496	NW_004581719.1	858976	859699	-	724	275	312	246	397	0	373
gene-Gk-2	NW_004581719.1	860176	868355	+	8180	283	304	285	376	0	333
gene-LOC101739631	NW_004581719.1	868671	871379	-	2709	1358	1568	1302	1381	0	1233
gene-LOC101739775	NW_004581719.1	874691	875469	+	779	1119	1274	1100	1219	0	1180
gene-LOC101739912	NW_004581719.1	876751	886480	-	9730	8	9	9	15	0	18
gene-CPT4	NW_004581719.1	891078	894692	-	3615	2	3	1	0	0	3
gene-LOC101740048	NW_004581719.1	896939	919011	+	22073	10	11	10	8	0	7
gene-LOC101740181	NW_004581719.1	920485	923229	-	2745	1608	1740	1485	1953	0	1911
gene-Mir2804-1	NW_004581719.1	939938	940009	+	72	0	0	0	0	0	0
gene-LOC101740317	NW_004581719.1	940214	946746	+	6533	698	792	703	709	0	658
gene-LOC105841429	NW_004581719.1	946868	949789	-	2922	2	1	0	4	0	3
gene-LOC105841431	NW_004581719.1	955680	956258	+	579	1	7	4	6	0	4
gene-LOC732914	NW_004581719.1	957640	966866	+	9227	1819	2017	1602	1739	0	1579
gene-DnaJ-4	NW_004581719.1	968334	981413	-	13080	1200	1409	1265	1460	0	1413
gene-LOC110384982	NW_004581719.1	981047	982148	+	1102	1	2	2	2	0	0
gene-LOC101740449	NW_004581719.1	985148	1009685	-	24538	454	528	446	845	0	816
gene-LOC105841433	NW_004581719.1	1011453	1015095	+	3643	209	237	221	187	0	156
gene-LOC101740582	NW_004581719.1	1014081	1019113	-	5033	342	365	317	312	0	274
gene-LOC101740915	NW_004581719.1	1020909	1037558	+	16650	876	965	799	1175	0	1074
gene-LOC101741057	NW_004581719.1	1038150	1046026	-	7877	1181	1289	1094	801	0	715
gene-CREB	NW_004581719.1	1057543	1068202	+	10660	1419	1633	1365	1397	0	1334
gene-Rad23	NW_004581719.1	1071674	1072962	-	1289	1528	1686	1410	1806	0	1637
gene-LOC101741800	NW_004581719.1	1077110	1104599	-	27490	1748	1911	1551	3908	0	3633
gene-LOC101741291	NW_004581719.1	1104682	1111198	+	6517	1114	1301	1045	1183	0	1153
gene-LOC101741950	NW_004581719.1	1112672	1155347	-	42676	805	930	813	2141	0	1933
gene-RpS15A	NW_004581719.1	1158573	1161784	+	3212	3308	3609	3180	3068	0	2843
gene-LOC101742095	NW_004581719.1	1166896	1184655	+	17760	2526	2778	2677	1180	0	1119
gene-Mir2782	NW_004581719.1	1176041	1176122	+	82	0	0	0	0	0	0
gene-LOC101742249	NW_004581719.1	1187337	1195302	+	7966	65	85	54	40	0	36
gene-LOC101742442	NW_004581719.1	1205979	1211476	+	5498	3	4	3	5	0	2
gene-LOC101742586	NW_004581719.1	1215259	1237806	+	22548	1334	1475	1315	1520	0	1472
gene-LOC101746893	NW_004581719.1	1237898	1243799	+	5902	90	103	81	78	0	82
gene-LOC101742725	NW_004581719.1	1243776	1257382	-	13607	9554	10877	9130	9964	0	9160
gene-Gal	NW_004581719.1	1262136	1280636	-	18501	574	673	543	602	0	542
gene-LOC101747026	NW_004581719.1	1285752	1298628	+	12877	30	38	33	26	0	14
gene-LOC101742876	NW_004581719.1	1300261	1304407	+	4147	708	806	656	916	0	868
gene-LOC101735369	NW_004581719.1	1305325	1330496	+	25172	398	431	355	1424	0	1349
gene-LOC101747165	NW_004581719.1	1308384	1309420	-	1037	0	0	0	0	0	0
gene-LOC101735499	NW_004581719.1	1330590	1345068	-	14479	645	766	582	1793	0	1542
gene-LOC101743020	NW_004581719.1	1346321	1368561	-	22241	22	23	17	32	0	26
gene-ChiR1	NW_004581719.1	1365801	1379033	+	13233	7	7	10	27	0	27
gene-LOC101743166	NW_004581719.1	1398070	1400548	+	2479	210	202	202	78	0	72
gene-LOC101735637	NW_004581719.1	1402517	1404059	-	1543	606	623	544	701	0	715
gene-LOC101743306	NW_004581719.1	1405507	1411046	+	5540	214	260	223	296	0	274
gene-PDF	NW_004581719.1	1411176	1421673	+	10498	15	14	15	20	0	21
gene-CDC2L1	NW_004581719.1	1421788	1437350	-	15563	2051	2264	1790	3698	0	3464
gene-LOC105841430	NW_004581719.1	1437823	1441802	-	3980	2	1	5	0	0	2
gene-LOC101743448	NW_004581719.1	1444456	1452214	+	7759	409	449	400	508	0	486
gene-Khc	NW_004581719.1	1456658	1468413	-	11756	834	923	760	1603	0	1478
gene-LOC100313947	NW_004581719.1	1471108	1494081	+	22974	1850	2139	1849	1829	0	1654
gene-LOC110384984	NW_004581719.1	1520755	1531036	+	10282	0	1	1	2	0	3
gene-LOC101735780	NW_004581719.1	1535156	1598481	+	63326	3709	3948	3542	6144	0	5781
gene-LOC101736039	NW_004581719.1	1597591	1622254	+	24664	89	82	58	75	0	53
gene-LOC101743585	NW_004581719.1	1622244	1643938	-	21695	1359	1562	1316	1544	0	1570
gene-LOC101743725	NW_004581719.1	1647097	1648267	+	1171	314	326	277	406	0	377
gene-LOC100174852	NW_004581719.1	1653505	1660791	-	7287	694	769	607	1325	0	1307
gene-LOC110384983	NW_004581719.1	1661063	1662161	+	1099	0	2	0	2	0	4
gene-LOC101743970	NW_004581719.1	1663572	1703498	+	39927	786	938	771	1944	0	1719
gene-LOC101736175	NW_004581719.1	1722446	1728625	+	6180	56	65	53	48	0	52
gene-LOC101744359	NW_004581719.1	1729315	1729900	-	586	0	0	0	0	0	0
gene-LOC101744217	NW_004581719.1	1729315	1729865	-	551	0	0	0	0	0	0
gene-LOC101736312	NW_004581719.1	1736065	1750975	+	14911	47	64	45	42	0	39
gene-LOC105841434	NW_004581719.1	1739916	1741182	-	1267	0	0	0	0	0	0
gene-LOC105841435	NW_004581719.1	1741483	1743605	-	2123	0	0	0	0	0	0
gene-LOC767622	NW_004581719.1	1750967	1759921	-	8955	807	936	788	977	0	957
gene-LOC101745075	NW_004581719.1	1760319	1773819	+	13501	859	972	798	793	0	739
gene-LOC101745224	NW_004581719.1	1775330	1787588	-	12259	2	1	3	3	0	4
gene-LOC101745373	NW_004581719.1	1809261	1812711	-	3451	4	3	2	1	0	2
gene-LOC101745517	NW_004581719.1	1815465	1817781	+	2317	196	235	191	321	0	312
gene-LOC732938	NW_004581719.1	1817670	1819486	-	1817	1135	1284	1044	1082	0	974
gene-LOC101745661	NW_004581719.1	1825627	1827901	+	2275	753	925	737	669	0	566
gene-LOC101745811	NW_004581719.1	1833530	1855712	-	22183	226	284	248	349	0	287
gene-LOC101746037	NW_004581719.1	1864315	1867644	-	3330	1353	1523	1259	1468	0	1412
gene-LOC101736434	NW_004581719.1	1869134	1903718	+	34585	3523	3810	3472	3290	0	3096
gene-LOC101746180	NW_004581719.1	1903756	1945525	-	41770	54	75	49	33	0	29
gene-LOC101738656	NW_004581720.1	1782	406619	-	404838	178	176	154	212	0	174
gene-LOC101736839	NW_004581720.1	502955	508616	+	5662	71	78	73	82	0	95
gene-LOC101737054	NW_004581720.1	536327	538704	+	2378	0	0	0	0	0	0
gene-LOC101737193	NW_004581720.1	599956	602933	-	2978	510	545	464	390	0	378
gene-Gklp	NW_004581720.1	606946	655950	-	49005	137	136	132	467	0	396
gene-LOC101737340	NW_004581720.1	658172	660338	+	2167	9	11	11	20	0	19
gene-LOC101737577	NW_004581720.1	663993	667068	+	3076	181	182	139	176	0	182
gene-LOC101738930	NW_004581720.1	667795	674162	+	6368	649	710	587	361	0	355
gene-LOC101739070	NW_004581720.1	678333	852880	-	174548	157	156	145	190	0	170
gene-LOC110384989	NW_004581720.1	729922	733595	+	3674	0	0	0	0	0	0
gene-LOC101737811	NW_004581720.1	858537	879127	-	20591	481	536	463	755	0	625
gene-LOC110384990	NW_004581720.1	887437	898093	-	10657	3	4	9	6	0	8
gene-TRNAA-GGC	NW_004581720.1	910576	910654	-	79	0	0	0	0	0	0
gene-LOC105841439	NW_004581720.1	914258	918009	-	3752	4	1	3	4	0	6
gene-LOC101737942	NW_004581720.1	918967	933875	-	14909	8	6	5	8	0	8
gene-LOC101738075	NW_004581720.1	951439	963803	-	12365	5	7	7	4	0	5
gene-LOC110384988	NW_004581720.1	967145	969817	-	2673	0	0	0	0	0	0
gene-LOC101738202	NW_004581720.1	1038660	1054223	-	15564	5	11	8	7	0	6
gene-LOC101738299	NW_004581720.1	1059820	1063981	+	4162	0	1	0	0	0	0
gene-LOC101739354	NW_004581720.1	1071618	1153926	+	82309	23	15	9	20	0	9
gene-TRNAD-GUC-6	NW_004581720.1	1127012	1127083	-	72	0	0	0	0	0	0
gene-LOC110384987	NW_004581720.1	1165393	1171277	+	5885	5	11	6	5	0	5
gene-LOC101739632	NW_004581720.1	1250359	1251582	-	1224	0	0	0	0	0	2
gene-LOC105841440	NW_004581720.1	1397751	1399611	+	1861	2	5	1	0	0	6
gene-LOC101739776	NW_004581720.1	1408320	1510417	+	102098	45	34	32	139	0	121
gene-LOC105841441	NW_004581720.1	1534335	1604861	+	70527	56	61	57	52	0	43
gene-LOC101738386	NW_004581720.1	1649506	1658353	-	8848	1	1	2	3	0	2
gene-LOC101739913	NW_004581720.1	1748581	1847217	-	98637	207	231	179	433	0	416
gene-LOC101740049	NW_004581720.1	1826188	1835414	-	9227	0	0	0	0	0	0
gene-LOC101738524	NW_004581720.1	1924318	1926175	+	1858	872	928	766	767	0	675
gene-LOC101740182	NW_004581720.1	1928154	2022743	+	94590	260	300	240	716	0	576
gene-LOC110384991	NW_004581720.1	2030407	2032700	+	2294	2	1	0	2	0	1
gene-Mir993b	NW_004581721.1	2625	2743	-	119	0	0	0	0	0	0
gene-LOC101745179	NW_004581721.1	4243	7946	+	3704	0	0	0	0	0	0
gene-LOC105841457	NW_004581721.1	8731	12277	-	3547	7	8	5	5	0	4
gene-Or-3	NW_004581721.1	16643	22591	-	5949	0	0	0	0	0	1
gene-LOC101745324	NW_004581721.1	39633	41129	-	1497	0	0	0	1	0	1
gene-LOC101741565	NW_004581721.1	61745	69278	-	7534	1	0	1	1	0	2
gene-LOC101741710	NW_004581721.1	74170	79612	-	5443	1	0	0	0	0	1
gene-LOC101741858	NW_004581721.1	80896	105909	+	25014	82	102	84	91	0	74
gene-LOC101742096	NW_004581721.1	111620	149903	-	38284	1126	1281	1085	1145	0	1072
gene-LOC105841447	NW_004581721.1	145814	257131	-	111318	157	174	154	182	0	160
gene-LOC101742534	NW_004581721.1	257250	261948	-	4699	2	2	1	11	0	3
gene-LOC100101168	NW_004581721.1	262000	276895	+	14896	356	478	341	672	0	655
gene-Cycb	NW_004581721.1	277763	372905	-	95143	88	95	88	246	0	192
gene-LOC101745607	NW_004581721.1	393421	447494	-	54074	125	139	116	338	0	304
gene-Awh	NW_004581721.1	483519	547572	+	64054	113	115	106	211	0	177
gene-PAH	NW_004581721.1	549535	557714	-	8180	135	174	152	244	0	203
gene-LOC101742678	NW_004581721.1	563206	575149	+	11944	25	30	17	43	0	30
gene-LOC101743217	NW_004581721.1	577152	583844	-	6693	219	233	206	922	0	903
gene-os	NW_004581721.1	585354	606245	-	20892	5153	5877	5035	3999	0	3800
gene-LOC105841451	NW_004581721.1	607877	773273	+	165397	406	472	403	1131	0	1030
gene-LOC101743354	NW_004581721.1	611687	612737	-	1051	0	0	0	0	0	0
gene-NGR-A18	NW_004581721.1	676461	713306	-	36846	0	0	0	0	0	0
gene-LOC101743586	NW_004581721.1	780602	813830	-	33229	403	466	408	660	0	578
gene-LOC105841452	NW_004581721.1	802459	804391	+	1933	0	0	0	0	0	0
gene-LOC101745755	NW_004581721.1	817511	838854	+	21344	729	785	645	1697	0	1488
gene-COPB2	NW_004581721.1	840694	859274	+	18581	2472	2887	2347	4049	0	4023
gene-LOC105841453	NW_004581721.1	864891	914197	+	49307	20	22	20	32	0	30
gene-LOC110384994	NW_004581721.1	901619	904397	-	2779	0	0	0	0	0	0
gene-LOC105841450	NW_004581721.1	914507	917072	-	2566	272	319	256	364	0	372
gene-LOC101743877	NW_004581721.1	933918	1015730	-	81813	967	1195	988	1074	0	966
gene-Mir2762	NW_004581721.1	994724	994806	-	83	0	0	0	0	0	0
gene-LOC101746038	NW_004581721.1	1052394	1130170	+	77777	14	16	12	32	0	30
gene-LOC105841456	NW_004581721.1	1076822	1078744	-	1923	0	0	0	0	0	0
gene-LOC101744218	NW_004581721.1	1132192	1168436	-	36245	929	1124	908	1531	0	1460
gene-LOC101744456	NW_004581721.1	1169512	1188771	-	19260	4	3	1	2	0	0
gene-LOC101746325	NW_004581721.1	1194253	1208225	-	13973	80	71	68	300	0	258
gene-LOC105841444	NW_004581721.1	1211270	1214707	-	3438	5	6	3	6	0	4
gene-LOC101744602	NW_004581721.1	1219908	1241994	+	22087	1273	1394	1258	2721	0	2477
gene-Mir2792	NW_004581721.1	1233111	1233191	+	81	0	0	0	0	0	0
gene-Mir2759	NW_004581721.1	1233366	1233442	+	77	0	0	0	0	0	0
gene-LOC101744744	NW_004581721.1	1244368	1319186	-	74819	14	16	12	29	0	20
gene-LOC101746464	NW_004581721.1	1332270	1419376	-	87107	253	308	273	532	0	485
gene-LOC101744889	NW_004581721.1	1420698	1453281	+	32584	835	952	829	1242	0	1080
gene-LOC105841455	NW_004581721.1	1455136	1461110	-	5975	3	6	1	5	0	4
gene-LOC101745029	NW_004581721.1	1468188	1996368	-	528181	201	219	190	264	0	261
gene-LOC110384997	NW_004581721.1	1737095	1739262	-	2168	0	0	0	0	0	0
gene-LOC110384998	NW_004581721.1	1845322	1848034	-	2713	0	0	0	0	0	0
gene-LOC105841448	NW_004581721.1	1876953	1881179	-	4227	0	0	0	0	0	0
gene-LOC110384996	NW_004581721.1	1975349	1981844	-	6496	0	0	0	0	0	0
gene-LOC105841445	NW_004581721.1	1998144	2006492	-	8349	0	0	1	0	0	1
gene-Mir2776	NW_004581721.1	2005014	2005088	+	75	0	0	0	0	0	0
gene-LOC101743021	NW_004581722.1	12933	14435	+	1503	0	0	0	0	0	0
gene-LOC101743167	NW_004581722.1	15657	16244	+	588	0	1	0	0	0	0
gene-LOC101743307	NW_004581722.1	18017	18874	-	858	0	1	0	0	0	0
gene-LOC101743449	NW_004581722.1	19234	20569	+	1336	0	0	0	0	0	0
gene-LOC101743587	NW_004581722.1	22295	23948	-	1654	0	0	1	0	0	0
gene-LOC101735500	NW_004581722.1	24200	24951	+	752	0	0	0	0	0	0
gene-LOC105841458	NW_004581722.1	26893	27868	-	976	0	0	0	0	0	0
gene-LOC101743727	NW_004581722.1	27965	28691	-	727	0	0	0	0	0	0
gene-LOC101735370	NW_004581722.1	28934	29719	+	786	1	0	0	0	0	0
gene-LOC105841459	NW_004581722.1	33759	38618	+	4860	17	8	14	84	0	80
gene-LOC101735638	NW_004581722.1	38557	39561	-	1005	0	0	0	0	0	0
gene-LOC101743878	NW_004581722.1	39538	40877	+	1340	0	0	1	0	0	0
gene-LOC101735781	NW_004581722.1	43001	45144	-	2144	0	0	0	1	0	1
gene-LOC101744025	NW_004581722.1	45494	46622	+	1129	0	0	0	0	0	0
gene-LOC110385000	NW_004581722.1	49650	51626	-	1977	0	1	0	0	0	0
gene-LOC110385001	NW_004581722.1	51705	52652	+	948	0	0	0	0	0	0
gene-LOC101736040	NW_004581722.1	55106	55999	-	894	0	0	0	0	0	0
gene-LOC101744169	NW_004581722.1	60241	60972	+	732	0	1	0	0	0	0
gene-LOC101736176	NW_004581722.1	68901	71011	-	2111	1	0	0	0	0	0
gene-LOC101736313	NW_004581722.1	84500	87097	-	2598	0	0	0	0	0	0
gene-LOC101744313	NW_004581722.1	88597	91381	-	2785	0	0	0	0	0	0
gene-LOC101736564	NW_004581722.1	113167	114893	+	1727	2	1	2	0	0	0
gene-LOC101736796	NW_004581722.1	118999	120493	-	1495	0	1	0	0	0	0
gene-LOC101736924	NW_004581722.1	124504	128062	-	3559	1	0	1	0	0	0
gene-LOC101737055	NW_004581722.1	130958	139651	-	8694	1	3	2	1	0	1
gene-LOC101737341	NW_004581722.1	159354	161573	-	2220	1	0	0	1	0	1
gene-LOC101737482	NW_004581722.1	163069	166581	-	3513	2	3	4	2	0	4
gene-LOC101737624	NW_004581722.1	169420	173164	-	3745	287	338	277	322	0	317
gene-LOC101737766	NW_004581722.1	174754	175769	-	1016	1	0	0	0	0	0
gene-LOC101737906	NW_004581722.1	180688	182256	+	1569	0	0	0	0	0	0
gene-LOC101738039	NW_004581722.1	182437	189244	-	6808	12	14	11	15	0	9
gene-LOC101738165	NW_004581722.1	205050	206205	+	1156	0	0	0	0	0	0
gene-LOC101738300	NW_004581722.1	210344	212581	+	2238	4	1	0	3	0	3
gene-LOC101738437	NW_004581722.1	215310	219104	-	3795	0	0	1	0	0	1
gene-LOC101738566	NW_004581722.1	222864	226658	-	3795	1	2	2	0	0	1
gene-LOC101738700	NW_004581722.1	234248	235627	+	1380	0	0	0	0	0	0
gene-itg	NW_004581722.1	238763	262129	+	23367	15	20	13	20	0	10
gene-LOC101738839	NW_004581722.1	282693	334347	+	51655	173	158	147	295	0	288
gene-LOC105841468	NW_004581722.1	345613	351043	-	5431	248	267	188	1043	0	964
gene-LOC101744603	NW_004581722.1	351630	370443	-	18814	60	72	67	257	0	185
gene-LOC101738971	NW_004581722.1	359096	360641	+	1546	0	0	0	0	0	0
gene-LOC101739119	NW_004581722.1	406546	411399	-	4854	621	743	599	774	0	738
gene-LOC101739259	NW_004581722.1	411902	415787	-	3886	550	590	474	746	0	732
gene-LOC101739395	NW_004581722.1	416648	421735	-	5088	289	317	299	230	0	282
gene-Pdk	NW_004581722.1	423339	484338	+	61000	1532	1709	1527	1658	0	1526
gene-LOC101739633	NW_004581722.1	489406	518636	+	29231	726	734	643	1266	0	1263
gene-LOC101739777	NW_004581722.1	518776	524855	+	6080	295	330	270	411	0	362
gene-LOC101739914	NW_004581722.1	531832	584121	-	52290	135	152	167	342	0	336
gene-LOC105841466	NW_004581722.1	622833	639679	-	16847	21	20	21	31	0	36
gene-LOC101745030	NW_004581722.1	676268	697802	+	21535	1602	1698	1451	2298	0	2248
gene-LOC105841465	NW_004581722.1	704992	723286	+	18295	43	49	42	51	0	44
gene-Mir282	NW_004581722.1	736220	736304	-	85	0	0	0	0	0	0
gene-LOC101745325	NW_004581722.1	759788	827964	+	68177	64	60	73	181	0	145
gene-LOC101745466	NW_004581722.1	866476	909733	+	43258	12	16	16	22	0	18
gene-LOC101740050	NW_004581722.1	936662	960766	+	24105	149	174	170	252	0	210
gene-LOC101740183	NW_004581722.1	965928	978826	+	12899	132	143	140	269	0	224
gene-Hmg-r	NW_004581722.1	984273	986959	-	2687	195	202	189	503	0	450
gene-LOC101745608	NW_004581722.1	1002338	1023542	+	21205	230	265	192	338	0	290
gene-LOC110385007	NW_004581722.1	1026464	1036445	-	9982	3	10	4	4	0	12
gene-LOC101745756	NW_004581722.1	1042147	1067717	-	25571	7	14	7	19	0	11
gene-LOC101740401	NW_004581722.1	1070990	1073469	-	2480	110	114	118	223	0	213
gene-LOC101740538	NW_004581722.1	1090915	1097753	+	6839	4	1	1	1	0	3
gene-LOC101740674	NW_004581722.1	1108299	1122152	-	13854	18	19	17	64	0	49
gene-LOC101746039	NW_004581722.1	1131781	1148988	+	17208	1	7	4	5	0	12
gene-LOC101740962	NW_004581722.1	1155126	1219894	+	64769	935	990	841	1890	0	1773
gene-LOC105841470	NW_004581722.1	1221680	1246365	-	24686	13	18	18	11	0	16
gene-LOC101741103	NW_004581722.1	1261514	1293655	+	32142	23	17	22	18	0	30
gene-LOC101746182	NW_004581722.1	1295168	1327490	-	32323	2383	2634	2262	2775	0	2765
gene-LOC101746326	NW_004581722.1	1343785	1356843	+	13059	196	236	173	211	0	157
gene-LOC110385002	NW_004581722.1	1354023	1354206	-	184	0	0	0	0	0	0
gene-LOC110385003	NW_004581722.1	1354477	1358104	-	3628	0	0	0	2	0	6
gene-LOC101741243	NW_004581722.1	1358566	1376864	+	18299	29	45	33	31	0	23
gene-LOC101741519	NW_004581722.1	1381242	1385912	-	4671	497	597	491	777	0	682
gene-LOC101741660	NW_004581722.1	1386282	1402114	+	15833	638	641	592	600	0	542
gene-LOC101741801	NW_004581722.1	1405569	1416538	-	10970	4709	5049	4598	3131	0	2976
gene-LOC101746465	NW_004581722.1	1417304	1420979	+	3676	1381	1499	1218	1513	0	1384
gene-LOC105841464	NW_004581722.1	1425307	1426642	+	1336	20	9	21	19	0	14
gene-LOC101746611	NW_004581722.1	1434359	1495143	-	60785	40	44	40	68	0	60
gene-LOC101742051	NW_004581722.1	1511343	1517166	+	5824	2	1	0	3	0	1
gene-LOC105841469	NW_004581722.1	1513105	1515603	-	2499	0	0	0	0	0	0
gene-LOC101746751	NW_004581722.1	1537366	1541848	-	4483	6	11	9	9	0	3
gene-LOC101742200	NW_004581722.1	1543185	1546101	+	2917	510	615	496	660	0	609
gene-LOC101742339	NW_004581722.1	1548188	1561889	-	13702	1627	1779	1672	1815	0	1737
gene-LOC101746894	NW_004581722.1	1679030	1688615	+	9586	765	793	662	1639	0	1554
gene-LOC101742491	NW_004581722.1	1689311	1703538	-	14228	1551	1661	1493	2994	0	2898
gene-LOC101747027	NW_004581722.1	1705037	1714988	-	9952	271	327	280	296	0	270
gene-LOC101747166	NW_004581722.1	1715188	1807535	+	92348	186	175	148	556	0	424
gene-LOC110385004	NW_004581722.1	1769940	1770863	+	924	0	0	0	0	0	0
gene-LOC110385005	NW_004581722.1	1816867	1858848	+	41982	257	277	242	500	0	427
gene-LOC110385006	NW_004581722.1	1845277	1846144	-	868	0	0	0	0	0	0
gene-LOC101735501	NW_004581722.1	1860113	1867121	+	7009	164	209	193	259	0	314
gene-LOC101742726	NW_004581722.1	1887440	1893046	-	5607	172	187	169	263	0	246
gene-LOC101742877	NW_004581722.1	1895629	1902064	-	6436	53	50	43	11	0	17
gene-Or-17	NW_004581723.1	2529	8974	-	6446	10	7	7	2	0	2
gene-LOC101741566	NW_004581723.1	11953	31016	-	19064	540	578	501	243	0	288
gene-LOC101736314	NW_004581723.1	34379	52871	-	18493	207	245	205	58	0	61
gene-LOC101736436	NW_004581723.1	62035	74463	-	12429	15	25	35	38	0	30
gene-LOC101741711	NW_004581723.1	86641	102578	-	15938	952	1105	848	1159	0	1017
gene-LOC100101159	NW_004581723.1	98275	107618	+	9344	4	9	11	18	0	21
gene-LOC110385014	NW_004581723.1	106352	106729	-	378	0	0	0	0	0	0
gene-LOC101736656	NW_004581723.1	111982	113698	-	1717	426	467	396	846	0	761
gene-LOC105841473	NW_004581723.1	116467	120309	-	3843	60	57	45	305	0	252
gene-LOC101741859	NW_004581723.1	145386	147954	-	2569	365	384	337	877	0	746
gene-LOC101736797	NW_004581723.1	158578	164312	+	5735	693	794	661	887	0	821
gene-LOC101737100	NW_004581723.1	166783	179184	+	12402	717	847	795	917	0	816
gene-LOC101737245	NW_004581723.1	183476	192469	+	8994	1672	1838	1511	3585	0	3363
gene-LOC101742150	NW_004581723.1	194938	207834	-	12897	372	400	342	374	0	341
gene-LOC101742294	NW_004581723.1	208223	227739	+	19517	879	1002	870	1566	0	1617
gene-LOC101742443	NW_004581723.1	231818	281619	-	49802	125	163	146	505	0	411
gene-LOC101737534	NW_004581723.1	282594	285347	+	2754	1621	1789	1450	1164	0	1083
gene-LOC101737392	NW_004581723.1	284064	286392	-	2329	259	315	280	303	0	282
gene-LOC101737678	NW_004581723.1	286867	288604	-	1738	512	549	440	432	0	438
gene-LOC101737812	NW_004581723.1	290395	293511	+	3117	762	826	692	670	0	650
gene-LOC101737943	NW_004581723.1	294312	304157	-	9846	1385	1581	1376	1408	0	1299
gene-LOC101738076	NW_004581723.1	310625	317244	-	6620	744	880	754	809	0	736
gene-LOC101738203	NW_004581723.1	323582	343492	+	19911	694	756	642	1278	0	1208
gene-LOC101738335	NW_004581723.1	343477	346070	-	2594	984	1012	929	691	0	727
gene-LOC101743022	NW_004581723.1	349940	386275	-	36336	282	312	322	312	0	334
gene-Ras1	NW_004581723.1	352702	359625	-	6924	0	0	0	0	0	0
gene-LOC110385008	NW_004581723.1	362614	362967	-	354	0	0	0	0	0	0
gene-LOC101742727	NW_004581723.1	364681	366526	+	1846	0	0	0	0	0	0
gene-LOC101738473	NW_004581723.1	385041	402028	+	16988	4	6	5	7	0	12
gene-NGR-A29	NW_004581723.1	426869	514546	-	87678	98	126	104	120	0	92
gene-LOC101743168	NW_004581723.1	531796	556787	+	24992	486	568	501	780	0	764
gene-LOC101743308	NW_004581723.1	559049	563545	-	4497	329	330	262	698	0	673
gene-LOC101738603	NW_004581723.1	565988	584976	+	18989	10	5	9	5	0	2
gene-LOC110385013	NW_004581723.1	575015	582564	-	7550	0	0	0	0	0	0
gene-LOC101738735	NW_004581723.1	595969	603641	+	7673	4	3	4	2	0	1
gene-LOC101738878	NW_004581723.1	605026	619563	-	14538	1164	1322	1173	1652	0	1600
gene-LOC101739299	NW_004581723.1	622446	664046	-	41601	968	1132	948	1491	0	1358
gene-LOC101739445	NW_004581723.1	666991	668668	+	1678	287	305	266	302	0	313
gene-LOC101743450	NW_004581723.1	670338	703228	-	32891	441	497	407	595	0	537
gene-LOC101739584	NW_004581723.1	703894	705225	+	1332	389	435	389	397	0	358
